2026TH,15,,Antonides van der Goesstraat,Haarlem
2026TJ,16,,Antonides van der Goesstraat,Haarlem
2026TH,17,,Antonides van der Goesstraat,Haarlem
2026TJ,18,,Antonides van der Goesstraat,Haarlem
2026TH,19,,Antonides van der Goesstraat,Haarlem
2026TJ,20,,Antonides van der Goesstraat,Haarlem
2026TH,21,,Antonides van der Goesstraat,Haarlem
2026TJ,22,,Antonides van der Goesstraat,Haarlem
2026TH,23,,Antonides van der Goesstraat,Haarlem
2026TJ,24,,Antonides van der Goesstraat,Haarlem
2026TH,25,,Antonides van der Goesstraat,Haarlem
2026TJ,26,,Antonides van der Goesstraat,Haarlem
2026TH,27,,Antonides van der Goesstraat,Haarlem
2026TJ,28,,Antonides van der Goesstraat,Haarlem
2026TH,29,,Antonides van der Goesstraat,Haarlem
2026TJ,30,,Antonides van der Goesstraat,Haarlem
2026TH,31,,Antonides van der Goesstraat,Haarlem
2026TJ,32,,Antonides van der Goesstraat,Haarlem
2026TH,33,,Antonides van der Goesstraat,Haarlem
2026TJ,34,,Antonides van der Goesstraat,Haarlem
2026TH,35,,Antonides van der Goesstraat,Haarlem
2026TJ,36,,Antonides van der Goesstraat,Haarlem
2026TH,37,,Antonides van der Goesstraat,Haarlem
2026TJ,38,,Antonides van der Goesstraat,Haarlem
2011CN,1,RD,Antoniestraat,Haarlem
2011CR,2,,Antoniestraat,Haarlem
2011CR,2,RD,Antoniestraat,Haarlem
2011CN,3,,Antoniestraat,Haarlem
2011CR,4,0001,Antoniestraat,Haarlem
2011CR,4,0002,Antoniestraat,Haarlem
2011CR,4,0011,Antoniestraat,Haarlem
2011CR,4,0012,Antoniestraat,Haarlem
2011CR,4,0021,Antoniestraat,Haarlem
2011CR,4,0022,Antoniestraat,Haarlem
2011CN,5,,Antoniestraat,Haarlem
2011CR,6,,Antoniestraat,Haarlem
2011CN,7,,Antoniestraat,Haarlem
2011CR,8,,Antoniestraat,Haarlem
2011CN,9,,Antoniestraat,Haarlem
2011CR,10,,Antoniestraat,Haarlem
2011CR,12,0001,Antoniestraat,Haarlem
2011CR,12,0002,Antoniestraat,Haarlem
2011CR,12,0003,Antoniestraat,Haarlem
2011CR,12,0004,Antoniestraat,Haarlem
2011CR,12,0005,Antoniestraat,Haarlem
2011CR,12,0006,Antoniestraat,Haarlem
2011CR,12,0007,Antoniestraat,Haarlem
2011CR,12,0008,Antoniestraat,Haarlem
2011CR,12,0009,Antoniestraat,Haarlem
2011CR,12,0011,Antoniestraat,Haarlem
2011CR,12,0012,Antoniestraat,Haarlem
2011CR,12,0013,Antoniestraat,Haarlem
2011CR,12,0014,Antoniestraat,Haarlem
2011CR,12,0015,Antoniestraat,Haarlem
2011CR,12,0016,Antoniestraat,Haarlem
2011CR,12,0017,Antoniestraat,Haarlem
2011CR,12,0018,Antoniestraat,Haarlem
2011CR,12,0019,Antoniestraat,Haarlem
2011CR,12,0021,Antoniestraat,Haarlem
2011CR,12,0022,Antoniestraat,Haarlem
2011CR,12,0023,Antoniestraat,Haarlem
2011CR,12,0024,Antoniestraat,Haarlem
2011CR,12,0025,Antoniestraat,Haarlem
2011CR,12,0026,Antoniestraat,Haarlem
2011CR,12,0031,Antoniestraat,Haarlem
2011CN,13,,Antoniestraat,Haarlem
2011CR,16,,Antoniestraat,Haarlem
2011CN,19,,Antoniestraat,Haarlem
2011CN,21,,Antoniestraat,Haarlem
2011CN,23,,Antoniestraat,Haarlem
2011CN,25,,Antoniestraat,Haarlem
2011CR,26,28,Antoniestraat,Haarlem
2011CR,28,,Antoniestraat,Haarlem
2011CN,27,,Antoniestraat,Haarlem
2011CN,29,,Antoniestraat,Haarlem
2011CR,30,,Antoniestraat,Haarlem
2011CN,31,,Antoniestraat,Haarlem
2011CR,32,RD,Antoniestraat,Haarlem
2011CR,32,ZW,Antoniestraat,Haarlem
2011CN,33,RD,Antoniestraat,Haarlem
2011CN,33,ZW,Antoniestraat,Haarlem
2011CN,35,,Antoniestraat,Haarlem
2011CN,37,,Antoniestraat,Haarlem
2011CN,39,,Antoniestraat,Haarlem
2011CN,41,,Antoniestraat,Haarlem
2011CN,43,,Antoniestraat,Haarlem
2011CN,45,RD,Antoniestraat,Haarlem
2011CN,45,ZW,Antoniestraat,Haarlem
2011CN,47,RD,Antoniestraat,Haarlem
2011CN,47,ZW,Antoniestraat,Haarlem
2011CN,49,RD,Antoniestraat,Haarlem
2011CN,49,ZW,Antoniestraat,Haarlem
2011CP,51,,Antoniestraat,Haarlem
2011CP,53,,Antoniestraat,Haarlem
2011CP,55,,Antoniestraat,Haarlem
2011CP,57,ZW,Antoniestraat,Haarlem
2011CP,57,RD,Antoniestraat,Haarlem
2011CP,59,ZW,Antoniestraat,Haarlem
2011CP,59,,Antoniestraat,Haarlem
2011CP,61,,Antoniestraat,Haarlem
2011CP,63,RD,Antoniestraat,Haarlem
2011CP,63,ZW,Antoniestraat,Haarlem
2011CP,65,RD,Antoniestraat,Haarlem
2011CP,65,ZW,Antoniestraat,Haarlem
2011CP,67,,Antoniestraat,Haarlem
2011CP,69,,Antoniestraat,Haarlem
2011CP,71,,Antoniestraat,Haarlem
2011CP,75,,Antoniestraat,Haarlem
2011CP,77,,Antoniestraat,Haarlem
2011CP,79,,Antoniestraat,Haarlem
2011CP,81,RD,Antoniestraat,Haarlem
2011CP,81,ZW,Antoniestraat,Haarlem
2011CP,83,,Antoniestraat,Haarlem
2011CP,85,RD,Antoniestraat,Haarlem
2011CP,85,ZW,Antoniestraat,Haarlem
2011CP,87,,Antoniestraat,Haarlem
2011CG,193,,Spaarne,Haarlem
2011CR,4,,Antoniestraat,Haarlem
2033DP,1,,Antonio Netostraat,Haarlem
2033DP,2,,Antonio Netostraat,Haarlem
2033DP,3,,Antonio Netostraat,Haarlem
2033DP,4,,Antonio Netostraat,Haarlem
2033DP,5,,Antonio Netostraat,Haarlem
2033DP,6,,Antonio Netostraat,Haarlem
2033DP,7,,Antonio Netostraat,Haarlem
2033DP,8,,Antonio Netostraat,Haarlem
2033DP,9,,Antonio Netostraat,Haarlem
2033DP,10,,Antonio Netostraat,Haarlem
2033DP,11,,Antonio Netostraat,Haarlem
2033DP,12,,Antonio Netostraat,Haarlem
2033DP,13,,Antonio Netostraat,Haarlem
2033DP,14,,Antonio Netostraat,Haarlem
2033DP,16,,Antonio Netostraat,Haarlem
2033DP,18,,Antonio Netostraat,Haarlem
2033DP,20,,Antonio Netostraat,Haarlem
2034RS,2,,Antwerpenstraat,Haarlem
2034RS,4,,Antwerpenstraat,Haarlem
2034RS,6,,Antwerpenstraat,Haarlem
2034RS,8,,Antwerpenstraat,Haarlem
2034RS,10,,Antwerpenstraat,Haarlem
2034RS,14,,Antwerpenstraat,Haarlem
2034RS,16,,Antwerpenstraat,Haarlem
2034RS,18,,Antwerpenstraat,Haarlem
2034RS,20,,Antwerpenstraat,Haarlem
2034RS,22,,Antwerpenstraat,Haarlem
2034RS,24,,Antwerpenstraat,Haarlem
2034RS,26,,Antwerpenstraat,Haarlem
2034RS,28,,Antwerpenstraat,Haarlem
2034RS,30,,Antwerpenstraat,Haarlem
2034RS,32,,Antwerpenstraat,Haarlem
2034RS,34,,Antwerpenstraat,Haarlem
2034RS,36,,Antwerpenstraat,Haarlem
2034RS,38,,Antwerpenstraat,Haarlem
2034RS,40,,Antwerpenstraat,Haarlem
2034RS,42,,Antwerpenstraat,Haarlem
2034RS,44,,Antwerpenstraat,Haarlem
2034RS,46,,Antwerpenstraat,Haarlem
2022TC,1,,Archipelstraat,Haarlem
2022TE,2,,Archipelstraat,Haarlem
2022TC,3,,Archipelstraat,Haarlem
2022TE,4,,Archipelstraat,Haarlem
2022TC,5,,Archipelstraat,Haarlem
2022TE,6,,Archipelstraat,Haarlem
2022TC,7,,Archipelstraat,Haarlem
2022TE,8,,Archipelstraat,Haarlem
2022TC,9,,Archipelstraat,Haarlem
2022TE,10,,Archipelstraat,Haarlem
2022TC,11,,Archipelstraat,Haarlem
2022TE,12,,Archipelstraat,Haarlem
2022TC,13,,Archipelstraat,Haarlem
2022TE,14,,Archipelstraat,Haarlem
2022TC,15,,Archipelstraat,Haarlem
2022TE,16,,Archipelstraat,Haarlem
2022TC,17,,Archipelstraat,Haarlem
2022TE,18,,Archipelstraat,Haarlem
2022TC,19,,Archipelstraat,Haarlem
2022TE,20,,Archipelstraat,Haarlem
2022TC,21,,Archipelstraat,Haarlem
2022TE,22,,Archipelstraat,Haarlem
2022TC,23,,Archipelstraat,Haarlem
2022TE,24,,Archipelstraat,Haarlem
2022TC,25,,Archipelstraat,Haarlem
2022TC,27,,Archipelstraat,Haarlem
2022TC,29,,Archipelstraat,Haarlem
2022TC,31,,Archipelstraat,Haarlem
2022TC,33,,Archipelstraat,Haarlem
2022TC,35,,Archipelstraat,Haarlem
2022TC,37,,Archipelstraat,Haarlem
2022TC,39,,Archipelstraat,Haarlem
2022TG,40,,Archipelstraat,Haarlem
2022TD,41,,Archipelstraat,Haarlem
2022TG,42,,Archipelstraat,Haarlem
2022TD,43,,Archipelstraat,Haarlem
2022TG,44,,Archipelstraat,Haarlem
2022TD,45,,Archipelstraat,Haarlem
2022TG,46,,Archipelstraat,Haarlem
2022TD,47,,Archipelstraat,Haarlem
2022TG,48,,Archipelstraat,Haarlem
2022TD,49,,Archipelstraat,Haarlem
2022TG,50,,Archipelstraat,Haarlem
2022TD,51,,Archipelstraat,Haarlem
2022TG,52,,Archipelstraat,Haarlem
2022TD,53,,Archipelstraat,Haarlem
2022TG,54,,Archipelstraat,Haarlem
2022TD,55,,Archipelstraat,Haarlem
2022TG,56,,Archipelstraat,Haarlem
2022TD,57,,Archipelstraat,Haarlem
2022TG,58,,Archipelstraat,Haarlem
2022TD,59,,Archipelstraat,Haarlem
2022TG,60,,Archipelstraat,Haarlem
2022TD,61,,Archipelstraat,Haarlem
2022TG,62,,Archipelstraat,Haarlem
2022TD,63,,Archipelstraat,Haarlem
2022TG,64,,Archipelstraat,Haarlem
2022TD,65,,Archipelstraat,Haarlem
2022TD,67,,Archipelstraat,Haarlem
2022TD,69,,Archipelstraat,Haarlem
2022TD,71,,Archipelstraat,Haarlem
2022TD,73,,Archipelstraat,Haarlem
2022TD,75,,Archipelstraat,Haarlem
2022TD,77,,Archipelstraat,Haarlem
2022TD,79,,Archipelstraat,Haarlem
2022TD,81,,Archipelstraat,Haarlem
2022TD,83,,Archipelstraat,Haarlem
2022TD,85,,Archipelstraat,Haarlem
2022TD,87,,Archipelstraat,Haarlem
2022TD,89,,Archipelstraat,Haarlem
2024VG,1,,Arnoldystraat,Haarlem
2024VH,2,,Arnoldystraat,Haarlem
2024VG,3,,Arnoldystraat,Haarlem
2024VH,4,,Arnoldystraat,Haarlem
2024VG,5,,Arnoldystraat,Haarlem
2024VH,6,,Arnoldystraat,Haarlem
2024VG,7,,Arnoldystraat,Haarlem
2024VH,8,,Arnoldystraat,Haarlem
2024VG,9,,Arnoldystraat,Haarlem
2024VH,10,,Arnoldystraat,Haarlem
2024VG,11,,Arnoldystraat,Haarlem
2024VH,12,,Arnoldystraat,Haarlem
2024VG,13,,Arnoldystraat,Haarlem
2024VH,14,,Arnoldystraat,Haarlem
2024VG,15,,Arnoldystraat,Haarlem
2024VH,16,,Arnoldystraat,Haarlem
2024VG,17,,Arnoldystraat,Haarlem
2024VH,18,,Arnoldystraat,Haarlem
2024VG,19,,Arnoldystraat,Haarlem
2024VH,20,,Arnoldystraat,Haarlem
2024VG,21,,Arnoldystraat,Haarlem
2024VH,22,,Arnoldystraat,Haarlem
2024VG,23,,Arnoldystraat,Haarlem
2024VH,24,,Arnoldystraat,Haarlem
2024VG,25,,Arnoldystraat,Haarlem
2024VH,26,,Arnoldystraat,Haarlem
2024VG,27,,Arnoldystraat,Haarlem
2033MA,1,,Arnulfstraat,Haarlem
2033MB,2,,Arnulfstraat,Haarlem
2033MA,3,,Arnulfstraat,Haarlem
2033MB,4,,Arnulfstraat,Haarlem
2033MA,5,,Arnulfstraat,Haarlem
2033MB,6,,Arnulfstraat,Haarlem
2033MA,7,,Arnulfstraat,Haarlem
2033MB,8,,Arnulfstraat,Haarlem
2033MA,9,,Arnulfstraat,Haarlem
2033MB,10,,Arnulfstraat,Haarlem
2033MA,11,,Arnulfstraat,Haarlem
2033MB,12,,Arnulfstraat,Haarlem
2033MA,13,,Arnulfstraat,Haarlem
2033MB,14,,Arnulfstraat,Haarlem
2033MA,15,,Arnulfstraat,Haarlem
2033MB,16,,Arnulfstraat,Haarlem
2033MA,17,,Arnulfstraat,Haarlem
2033MB,18,,Arnulfstraat,Haarlem
2033MA,19,,Arnulfstraat,Haarlem
2033MB,20,,Arnulfstraat,Haarlem
2033MA,21,,Arnulfstraat,Haarlem
2033MB,22,,Arnulfstraat,Haarlem
2033MA,23,,Arnulfstraat,Haarlem
2033MB,24,,Arnulfstraat,Haarlem
2033MB,26,,Arnulfstraat,Haarlem
2033MB,28,,Arnulfstraat,Haarlem
2033MB,30,,Arnulfstraat,Haarlem
2033MB,32,,Arnulfstraat,Haarlem
2033MB,34,,Arnulfstraat,Haarlem
2033MB,36,,Arnulfstraat,Haarlem
2033MB,38,,Arnulfstraat,Haarlem
2013SH,1,,Assendelverstraat,Haarlem
2013SK,2,,Assendelverstraat,Haarlem
2013SH,3,,Assendelverstraat,Haarlem
2013SK,4,,Assendelverstraat,Haarlem
2013SH,5,,Assendelverstraat,Haarlem
2013SK,6,,Assendelverstraat,Haarlem
2013SH,7,,Assendelverstraat,Haarlem
2013SK,8,,Assendelverstraat,Haarlem
2013SH,9,,Assendelverstraat,Haarlem
2013SK,10,,Assendelverstraat,Haarlem
2013SH,11,,Assendelverstraat,Haarlem
2013SK,12,,Assendelverstraat,Haarlem
2013SH,13,,Assendelverstraat,Haarlem
2013SK,14,,Assendelverstraat,Haarlem
2013SH,15,,Assendelverstraat,Haarlem
2013SK,16,,Assendelverstraat,Haarlem
2013SH,17,,Assendelverstraat,Haarlem
2013SK,18,,Assendelverstraat,Haarlem
2013SH,19,,Assendelverstraat,Haarlem
2013SK,20,,Assendelverstraat,Haarlem
2013SH,21,,Assendelverstraat,Haarlem
2013SK,22,,Assendelverstraat,Haarlem
2013SH,23,,Assendelverstraat,Haarlem
2013SK,24,,Assendelverstraat,Haarlem
2013SH,25,,Assendelverstraat,Haarlem
2013SK,26,,Assendelverstraat,Haarlem
2013SH,27,,Assendelverstraat,Haarlem
2013SH,29,,Assendelverstraat,Haarlem
2013SK,30,,Assendelverstraat,Haarlem
2013SH,31,RD,Assendelverstraat,Haarlem
2013SH,31,ZW,Assendelverstraat,Haarlem
2013SK,32,,Assendelverstraat,Haarlem
2013SH,33,RD,Assendelverstraat,Haarlem
2013SH,33,ZW,Assendelverstraat,Haarlem
2013SH,35,RD,Assendelverstraat,Haarlem
2013SH,35,ZW,Assendelverstraat,Haarlem
2013SK,36,,Assendelverstraat,Haarlem
2013SJ,37,,Assendelverstraat,Haarlem
2013SK,38,,Assendelverstraat,Haarlem
2013SJ,39,,Assendelverstraat,Haarlem
2013SK,40,RD,Assendelverstraat,Haarlem
2013SK,40,ZW,Assendelverstraat,Haarlem
2013SJ,41,,Assendelverstraat,Haarlem
2013SK,42,,Assendelverstraat,Haarlem
2013SJ,43,,Assendelverstraat,Haarlem
2013SK,44,,Assendelverstraat,Haarlem
2013SJ,45,,Assendelverstraat,Haarlem
2013SK,46,,Assendelverstraat,Haarlem
2013SJ,47,,Assendelverstraat,Haarlem
2013SK,48,,Assendelverstraat,Haarlem
2013SJ,49,,Assendelverstraat,Haarlem
2013SK,50,,Assendelverstraat,Haarlem
2013SJ,51,,Assendelverstraat,Haarlem
2013SK,52,,Assendelverstraat,Haarlem
2013SJ,53,,Assendelverstraat,Haarlem
2013SK,54,,Assendelverstraat,Haarlem
2013SJ,55,,Assendelverstraat,Haarlem
2013SK,56,,Assendelverstraat,Haarlem
2013SJ,57,,Assendelverstraat,Haarlem
2013SK,58,,Assendelverstraat,Haarlem
2013SJ,59,,Assendelverstraat,Haarlem
2013SK,60,,Assendelverstraat,Haarlem
2013SJ,61,,Assendelverstraat,Haarlem
2013SK,62,,Assendelverstraat,Haarlem
2013SJ,63,,Assendelverstraat,Haarlem
2036JA,1,,Assumburg,Haarlem
2036JB,2,,Assumburg,Haarlem
2036JA,3,,Assumburg,Haarlem
2036JB,4,,Assumburg,Haarlem
2036JA,5,,Assumburg,Haarlem
2036JB,6,,Assumburg,Haarlem
2036JA,7,,Assumburg,Haarlem
2036JB,8,,Assumburg,Haarlem
2036JA,9,,Assumburg,Haarlem
2036JB,10,,Assumburg,Haarlem
2036JA,11,,Assumburg,Haarlem
2036JB,12,,Assumburg,Haarlem
2036JA,13,,Assumburg,Haarlem
2036JB,14,,Assumburg,Haarlem
2036JA,15,,Assumburg,Haarlem
2036JB,16,,Assumburg,Haarlem
