1541XG,26,,Schotstreep,Koog aan de Zaan
1541XG,24,,Schotstreep,Koog aan de Zaan
1541XG,22,,Schotstreep,Koog aan de Zaan
1541XG,20,,Schotstreep,Koog aan de Zaan
1541XG,18,,Schotstreep,Koog aan de Zaan
1541XG,16,,Schotstreep,Koog aan de Zaan
1541XG,14,,Schotstreep,Koog aan de Zaan
1541XG,12,,Schotstreep,Koog aan de Zaan
1541XG,10,,Schotstreep,Koog aan de Zaan
1541SG,5,,Veeringveld,Koog aan de Zaan
1541SC,34,,Veeringzoom,Koog aan de Zaan
1541SH,22,,Veeringveld,Koog aan de Zaan
1541SG,21,,Veeringveld,Koog aan de Zaan
1541SB,30,,Woldeveld,Koog aan de Zaan
1541XJ,6,,Voorvisser,Koog aan de Zaan
1541SG,25,,Veeringveld,Koog aan de Zaan
1541SG,27,,Veeringveld,Koog aan de Zaan
1541SG,29,,Veeringveld,Koog aan de Zaan
1541SG,31,,Veeringveld,Koog aan de Zaan
1541SG,33,,Veeringveld,Koog aan de Zaan
1541SC,24,,Veeringzoom,Koog aan de Zaan
1541SC,26,,Veeringzoom,Koog aan de Zaan
1541SC,28,,Veeringzoom,Koog aan de Zaan
1541SE,74,,Veeringzoom,Koog aan de Zaan
1541SC,32,,Veeringzoom,Koog aan de Zaan
1541SE,72,,Veeringzoom,Koog aan de Zaan
1541SC,36,,Veeringzoom,Koog aan de Zaan
1541SC,38,,Veeringzoom,Koog aan de Zaan
1541SC,48,,Veeringzoom,Koog aan de Zaan
1541SC,50,,Veeringzoom,Koog aan de Zaan
1541SC,52,,Veeringzoom,Koog aan de Zaan
1541SC,56,,Veeringzoom,Koog aan de Zaan
1541SC,58,,Veeringzoom,Koog aan de Zaan
1541SC,60,,Veeringzoom,Koog aan de Zaan
1541SE,62,,Veeringzoom,Koog aan de Zaan
1541SE,64,,Veeringzoom,Koog aan de Zaan
1541SE,66,,Veeringzoom,Koog aan de Zaan
1541SH,6,,Veeringveld,Koog aan de Zaan
1541SC,30,,Veeringzoom,Koog aan de Zaan
1541XG,3,,Schotstreep,Koog aan de Zaan
1541SH,8,,Veeringveld,Koog aan de Zaan
1541XG,7,,Schotstreep,Koog aan de Zaan
1541XG,1,,Schotstreep,Koog aan de Zaan
1541XG,2,,Schotstreep,Koog aan de Zaan
1541SG,13,,Veeringveld,Koog aan de Zaan
1541XG,4,,Schotstreep,Koog aan de Zaan
1541SH,14,,Veeringveld,Koog aan de Zaan
1541NR,5,,Henneland,Koog aan de Zaan
1541NR,3,,Henneland,Koog aan de Zaan
1541XK,1,,Ellekamp,Koog aan de Zaan
1541XC,20,,Kogerwatering,Koog aan de Zaan
1541NT,14,,Henneland,Koog aan de Zaan
1541XB,71,,Kogerwatering,Koog aan de Zaan
1541JJ,18,,Badhuisstraat,Koog aan de Zaan
1541NV,15,,Middenland,Koog aan de Zaan
1541JJ,20,,Badhuisstraat,Koog aan de Zaan
1541SK,16,,Molenveld,Koog aan de Zaan
1541SK,18,,Molenveld,Koog aan de Zaan
1541XK,27,,Ellekamp,Koog aan de Zaan
1541XA,19,,Kogerwatering,Koog aan de Zaan
1541XB,73,,Kogerwatering,Koog aan de Zaan
1541NV,11,,Middenland,Koog aan de Zaan
1541XB,69,,Kogerwatering,Koog aan de Zaan
1541XB,67,,Kogerwatering,Koog aan de Zaan
1541XB,65,,Kogerwatering,Koog aan de Zaan
1541XB,63,,Kogerwatering,Koog aan de Zaan
1541XB,61,,Kogerwatering,Koog aan de Zaan
1541XC,58,,Kogerwatering,Koog aan de Zaan
1541XD,58,,Kogerwatering,Koog aan de Zaan
1566NK,71,,Genieweg,Assendelft
1541XK,25,,Ellekamp,Koog aan de Zaan
1541GT,10,,Kruisstraat,Koog aan de Zaan
1541GP,21,,Kruisstraat,Koog aan de Zaan
1541GP,19,,Kruisstraat,Koog aan de Zaan
1541GP,17,,Kruisstraat,Koog aan de Zaan
1541GT,16,,Kruisstraat,Koog aan de Zaan
1541GP,15,,Kruisstraat,Koog aan de Zaan
1541GT,14,,Kruisstraat,Koog aan de Zaan
1541GP,13,,Kruisstraat,Koog aan de Zaan
1541NV,13,,Middenland,Koog aan de Zaan
1541GP,11,,Kruisstraat,Koog aan de Zaan
1541JJ,16,,Badhuisstraat,Koog aan de Zaan
1541GP,9,,Kruisstraat,Koog aan de Zaan
1541GT,8,,Kruisstraat,Koog aan de Zaan
1541GT,6,,Kruisstraat,Koog aan de Zaan
1541NV,7,,Middenland,Koog aan de Zaan
1541JJ,6,,Badhuisstraat,Koog aan de Zaan
1541NV,9,,Middenland,Koog aan de Zaan
1541XB,55,,Kogerwatering,Koog aan de Zaan
1541GT,12,,Kruisstraat,Koog aan de Zaan
1541XC,28,,Kogerwatering,Koog aan de Zaan
1541XD,28,,Kogerwatering,Koog aan de Zaan
1541XB,57,,Kogerwatering,Koog aan de Zaan
1541XL,24,,Ellekamp,Koog aan de Zaan
1541XC,34,,Kogerwatering,Koog aan de Zaan
1541XD,34,,Kogerwatering,Koog aan de Zaan
1541XA,33,,Kogerwatering,Koog aan de Zaan
1541XC,32,,Kogerwatering,Koog aan de Zaan
1541XD,32,,Kogerwatering,Koog aan de Zaan
1507CX,18,,De Spil,Zaandam
1507CX,2,,De Spil,Zaandam
1509WC,49,,Koningsdiep,Zaandam
1509WC,63,,Koningsdiep,Zaandam
1509WC,45,,Koningsdiep,Zaandam
1509WC,61,,Koningsdiep,Zaandam
1509WC,59,,Koningsdiep,Zaandam
1509WC,57,,Koningsdiep,Zaandam
1509WC,55,,Koningsdiep,Zaandam
1509WC,53,,Koningsdiep,Zaandam
1509AM,5,,De Kuil,Zaandam
1509WB,15,,Koningsdiep,Zaandam
1509WC,69,,Koningsdiep,Zaandam
1509AM,1,,De Kuil,Zaandam
1509AM,3,,De Kuil,Zaandam
1509WB,1,,Koningsdiep,Zaandam
1509WB,3,,Koningsdiep,Zaandam
1509WB,5,,Koningsdiep,Zaandam
1509WB,7,,Koningsdiep,Zaandam
1504AW,38,,Zuiderven,Zaandam
1504AW,40,,Zuiderven,Zaandam
1504AW,42,,Zuiderven,Zaandam
1504AW,44,,Zuiderven,Zaandam
1504AW,46,,Zuiderven,Zaandam
1504AW,48,,Zuiderven,Zaandam
1504AW,28,,Zuiderven,Zaandam
1544VT,10,,Veenboerstraat,Zaandijk
1544VT,12,,Veenboerstraat,Zaandijk
1544VT,8,,Veenboerstraat,Zaandijk
1544VT,16,,Veenboerstraat,Zaandijk
1544VT,20,,Veenboerstraat,Zaandijk
1544VT,14,,Veenboerstraat,Zaandijk
1544VT,6,,Veenboerstraat,Zaandijk
1544VT,4,,Veenboerstraat,Zaandijk
1544VR,7,,Tweebeen,Zaandijk
1544VT,22,,Veenboerstraat,Zaandijk
1544VR,1,,Tweebeen,Zaandijk
1544VR,9,,Tweebeen,Zaandijk
1544VR,11,,Tweebeen,Zaandijk
1544VR,3,,Tweebeen,Zaandijk
1544VR,5,,Tweebeen,Zaandijk
1544VT,2,,Veenboerstraat,Zaandijk
1544VT,18,,Veenboerstraat,Zaandijk
1507XS,1,,Anna Bijnsstraat,Zaandam
1507XS,3,,Anna Bijnsstraat,Zaandam
1507XS,4,,Anna Bijnsstraat,Zaandam
1507XS,5,,Anna Bijnsstraat,Zaandam
1562TW,10,,Arianehof,Krommenie
1506ZJ,35,,Vlielandstraat,Zaandam
1544VX,4,,Fortuinweg,Zaandijk
1544VX,2,,Fortuinweg,Zaandijk
1562TW,16,,Arianehof,Krommenie
1562TW,8,,Arianehof,Krommenie
1562TW,17,,Arianehof,Krommenie
1544XG,17,,Jan Steijnstraat,Zaandijk
1544XM,16,,Jan Steijnstraat,Zaandijk
1544XG,15,,Jan Steijnstraat,Zaandijk
1544XM,14,,Jan Steijnstraat,Zaandijk
1544XG,13,,Jan Steijnstraat,Zaandijk
