1,2984BK,Leerlooierstraat,Ridderkerk
1,2983BA,Bernhard Zweersstraat,Ridderkerk
62,2983BD,Bizetstraat,Ridderkerk
3,2983BA,Bernhard Zweersstraat,Ridderkerk
50,2984XD,Christine Mohrmannstraat,Ridderkerk
47,2984XD,Christine Mohrmannstraat,Ridderkerk
39,2984XD,Christine Mohrmannstraat,Ridderkerk
44,2984XD,Christine Mohrmannstraat,Ridderkerk
6,2984XE,Clara Wichmannstraat,Ridderkerk
7,2984XE,Clara Wichmannstraat,Ridderkerk
14,2984XE,Clara Wichmannstraat,Ridderkerk
15,2984XE,Clara Wichmannstraat,Ridderkerk
18,2984XE,Clara Wichmannstraat,Ridderkerk
13,2984XE,Clara Wichmannstraat,Ridderkerk
93,2983HN,Oranjestraat,Ridderkerk
118,2983RK,Nassaustraat,Ridderkerk
114,2983RK,Nassaustraat,Ridderkerk
12,2983EB,Churchillplein,Ridderkerk
120,2983RK,Nassaustraat,Ridderkerk
103,2983HN,Oranjestraat,Ridderkerk
101,2983HN,Oranjestraat,Ridderkerk
35,2986ES,Watermolen,Ridderkerk
34,2986ES,Watermolen,Ridderkerk
38,2986ES,Watermolen,Ridderkerk
28,2986ES,Watermolen,Ridderkerk
3,2983BC,Bizetstraat,Ridderkerk
3,2983BK,Mendelssohnstraat,Ridderkerk
16,2983BM,Ravelstraat,Ridderkerk
13,2987EC,Haringvliethof,Ridderkerk
50,2987EE,Haringvliethof,Ridderkerk
25,2987EC,Haringvliethof,Ridderkerk
44,2987EE,Haringvliethof,Ridderkerk
40,2987EE,Haringvliethof,Ridderkerk
160,2985SX,Kloosplantsoen,Ridderkerk
68,2982NB,Prunusplantsoen,Ridderkerk
76,2982NB,Prunusplantsoen,Ridderkerk
85,2982NB,Prunusplantsoen,Ridderkerk
58,2982NB,Prunusplantsoen,Ridderkerk
64,2982NB,Prunusplantsoen,Ridderkerk
49,2982NB,Prunusplantsoen,Ridderkerk
67,2982NB,Prunusplantsoen,Ridderkerk
61,2982NB,Prunusplantsoen,Ridderkerk
29,2985CK,Klooslaan,Ridderkerk
