2612AJ,64,,Bankastraat,Delft
2612AJ,66,,Bankastraat,Delft
2612CB,95,,Brasserskade,Delft
2612CB,97,,Brasserskade,Delft
2612CB,99,,Brasserskade,Delft
2612CB,101,,Brasserskade,Delft
2612CB,107,,Brasserskade,Delft
2612CB,109,,Brasserskade,Delft
2612CB,111,,Brasserskade,Delft
2612CB,113,,Brasserskade,Delft
2612CB,103,,Brasserskade,Delft
2612CB,105,,Brasserskade,Delft
2612AE,31,,Bankastraat,Delft
2612AE,3,,Bankastraat,Delft
2612AE,5,,Bankastraat,Delft
2612AE,7,,Bankastraat,Delft
2612AE,9,,Bankastraat,Delft
2612AE,11,,Bankastraat,Delft
2612AE,13,,Bankastraat,Delft
2612AE,15,,Bankastraat,Delft
2612AE,17,,Bankastraat,Delft
2612AE,19,,Bankastraat,Delft
2612AE,21,,Bankastraat,Delft
2612AE,23,,Bankastraat,Delft
2612AE,25,,Bankastraat,Delft
2612AE,27,,Bankastraat,Delft
2612AE,29,,Bankastraat,Delft
2612AJ,70,,Bankastraat,Delft
2612AJ,92,,Bankastraat,Delft
2612AJ,72,,Bankastraat,Delft
2612AJ,74,,Bankastraat,Delft
2612AJ,76,,Bankastraat,Delft
2612AJ,78,,Bankastraat,Delft
2612AJ,80,,Bankastraat,Delft
2612AJ,82,,Bankastraat,Delft
2612AJ,84,,Bankastraat,Delft
2612AJ,86,,Bankastraat,Delft
2612AJ,88,,Bankastraat,Delft
2612AJ,90,,Bankastraat,Delft
2612AA,2,,Lombokstraat,Delft
2612AA,4,,Lombokstraat,Delft
2612AA,6,,Lombokstraat,Delft
2612AA,8,,Lombokstraat,Delft
2612AA,10,,Lombokstraat,Delft
2612AA,12,,Lombokstraat,Delft
2612AA,14,,Lombokstraat,Delft
2612AA,16,,Lombokstraat,Delft
2612AA,18,,Lombokstraat,Delft
2612AA,20,,Lombokstraat,Delft
2612AA,22,,Lombokstraat,Delft
2612AA,24,,Lombokstraat,Delft
2612AA,26,,Lombokstraat,Delft
2612AB,28,,Lombokstraat,Delft
2612AB,30,,Lombokstraat,Delft
2612AB,32,,Lombokstraat,Delft
2612AB,34,,Lombokstraat,Delft
2612AB,36,,Lombokstraat,Delft
2612AB,38,,Lombokstraat,Delft
2612AB,40,,Lombokstraat,Delft
2612AB,42,,Lombokstraat,Delft
2612AB,44,,Lombokstraat,Delft
2612AB,54,,Lombokstraat,Delft
2612AB,56,,Lombokstraat,Delft
2612AB,58,,Lombokstraat,Delft
2612AB,60,,Lombokstraat,Delft
2612AL,1,,Sumatrastraat,Delft
2612AL,3,,Sumatrastraat,Delft
2612AL,5,,Sumatrastraat,Delft
2612AL,7,,Sumatrastraat,Delft
2612AL,9,,Sumatrastraat,Delft
2612AL,11,,Sumatrastraat,Delft
2612AL,13,,Sumatrastraat,Delft
2612AL,15,,Sumatrastraat,Delft
2612AL,17,,Sumatrastraat,Delft
2612AL,19,,Sumatrastraat,Delft
2612AL,21,,Sumatrastraat,Delft
2612AL,23,,Sumatrastraat,Delft
2612AL,25,,Sumatrastraat,Delft
2612AL,27,,Sumatrastraat,Delft
2612AL,29,,Sumatrastraat,Delft
2612AL,31,,Sumatrastraat,Delft
2612AL,33,,Sumatrastraat,Delft
2612AL,35,,Sumatrastraat,Delft
2612AL,37,,Sumatrastraat,Delft
2612AL,39,,Sumatrastraat,Delft
2612AM,8,,Sumatrastraat,Delft
