1433SH,3,,Giekstraat,Kudelstaart
1433SH,5,,Giekstraat,Kudelstaart
1433SH,7,,Giekstraat,Kudelstaart
1433SH,9,,Giekstraat,Kudelstaart
1433SH,11,,Giekstraat,Kudelstaart
1433SH,13,,Giekstraat,Kudelstaart
1433SH,2,,Giekstraat,Kudelstaart
1433SH,4,,Giekstraat,Kudelstaart
1433SH,6,,Giekstraat,Kudelstaart
1433SH,8,,Giekstraat,Kudelstaart
1433SH,10,,Giekstraat,Kudelstaart
1433SH,12,,Giekstraat,Kudelstaart
1433SH,14,,Giekstraat,Kudelstaart
1433SE,31,,Stuurboordstraat,Kudelstaart
1433SE,33,,Stuurboordstraat,Kudelstaart
1433SE,35,,Stuurboordstraat,Kudelstaart
1433AP,65,,Mijnsherenweg,Kudelstaart
1433AP,67,,Mijnsherenweg,Kudelstaart
1433DG,2,,Midvoordreef,Kudelstaart
1433DG,4,,Midvoordreef,Kudelstaart
1433DG,6,,Midvoordreef,Kudelstaart
1433DG,8,,Midvoordreef,Kudelstaart
1433DG,10,,Midvoordreef,Kudelstaart
1433DG,12,,Midvoordreef,Kudelstaart
1433DG,14,,Midvoordreef,Kudelstaart
1433DG,16,,Midvoordreef,Kudelstaart
1433DG,18,,Midvoordreef,Kudelstaart
1433DG,20,,Midvoordreef,Kudelstaart
1433DG,22,,Midvoordreef,Kudelstaart
1433DG,24,,Midvoordreef,Kudelstaart
1433DG,26,,Midvoordreef,Kudelstaart
1433DG,28,,Midvoordreef,Kudelstaart
1433DG,30,,Midvoordreef,Kudelstaart
1433DG,32,,Midvoordreef,Kudelstaart
1433DG,34,,Midvoordreef,Kudelstaart
1433DG,36,,Midvoordreef,Kudelstaart
1433DG,38,,Midvoordreef,Kudelstaart
1433DG,40,,Midvoordreef,Kudelstaart
1433DG,42,,Midvoordreef,Kudelstaart
1433DG,44,,Midvoordreef,Kudelstaart
1433DG,46,,Midvoordreef,Kudelstaart
1433DG,48,,Midvoordreef,Kudelstaart
1433DG,50,,Midvoordreef,Kudelstaart
1433DG,52,,Midvoordreef,Kudelstaart
1433DG,54,,Midvoordreef,Kudelstaart
1433DG,56,,Midvoordreef,Kudelstaart
1433DG,58,,Midvoordreef,Kudelstaart
1433DG,60,,Midvoordreef,Kudelstaart
1433DG,62,,Midvoordreef,Kudelstaart
1433DG,64,,Midvoordreef,Kudelstaart
1433DH,1,,Midvoordreef,Kudelstaart
1433DH,3,,Midvoordreef,Kudelstaart
1433DH,5,,Midvoordreef,Kudelstaart
1433DH,7,,Midvoordreef,Kudelstaart
1433DH,9,,Midvoordreef,Kudelstaart
1433DH,11,,Midvoordreef,Kudelstaart
1433DH,13,,Midvoordreef,Kudelstaart
1433DH,15,,Midvoordreef,Kudelstaart
1433DH,17,,Midvoordreef,Kudelstaart
1433DH,19,,Midvoordreef,Kudelstaart
1433DH,21,,Midvoordreef,Kudelstaart
1433DH,23,,Midvoordreef,Kudelstaart
1433DH,25,,Midvoordreef,Kudelstaart
1433DH,27,,Midvoordreef,Kudelstaart
1433DH,29,,Midvoordreef,Kudelstaart
1433DH,31,,Midvoordreef,Kudelstaart
1433DH,33,,Midvoordreef,Kudelstaart
1433DH,35,,Midvoordreef,Kudelstaart
1433DH,37,,Midvoordreef,Kudelstaart
1433DH,39,,Midvoordreef,Kudelstaart
1433DH,41,,Midvoordreef,Kudelstaart
1433DH,43,,Midvoordreef,Kudelstaart
1433DH,45,,Midvoordreef,Kudelstaart
1433DH,47,,Midvoordreef,Kudelstaart
1433DH,49,,Midvoordreef,Kudelstaart
1433DH,51,,Midvoordreef,Kudelstaart
1433DH,53,,Midvoordreef,Kudelstaart
1433DH,55,,Midvoordreef,Kudelstaart
1433DH,57,,Midvoordreef,Kudelstaart
1433DH,59,,Midvoordreef,Kudelstaart
1433DH,61,,Midvoordreef,Kudelstaart
1433DH,63,,Midvoordreef,Kudelstaart
1433DR,1,,Linksbuitenstraat,Kudelstaart
1433DR,3,,Linksbuitenstraat,Kudelstaart
1433DR,5,,Linksbuitenstraat,Kudelstaart
1433DR,7,,Linksbuitenstraat,Kudelstaart
1433DR,9,,Linksbuitenstraat,Kudelstaart
1433DS,2,,Rechtsbuitenstraat,Kudelstaart
1433DS,4,,Rechtsbuitenstraat,Kudelstaart
1433DS,6,,Rechtsbuitenstraat,Kudelstaart
1433DS,8,,Rechtsbuitenstraat,Kudelstaart
1433DS,10,,Rechtsbuitenstraat,Kudelstaart
1433DH,65,,Midvoordreef,Kudelstaart
1433DH,67,,Midvoordreef,Kudelstaart
1433DH,69,,Midvoordreef,Kudelstaart
1433DG,66,,Midvoordreef,Kudelstaart
1433DG,68,,Midvoordreef,Kudelstaart
1433DG,70,,Midvoordreef,Kudelstaart
1433DK,2,,Rechtsachterstraat,Kudelstaart
1433DK,4,,Rechtsachterstraat,Kudelstaart
1433DK,6,,Rechtsachterstraat,Kudelstaart
1433DK,8,,Rechtsachterstraat,Kudelstaart
1433DK,10,,Rechtsachterstraat,Kudelstaart
1433DK,12,,Rechtsachterstraat,Kudelstaart
1433DJ,1,,Linksachterstraat,Kudelstaart
1433DJ,3,,Linksachterstraat,Kudelstaart
1433DJ,5,,Linksachterstraat,Kudelstaart
1433DJ,7,,Linksachterstraat,Kudelstaart
1433DJ,9,,Linksachterstraat,Kudelstaart
1433DJ,11,,Linksachterstraat,Kudelstaart
1433DC,2,,Zijlijnstraat,Kudelstaart
1433DC,4,,Zijlijnstraat,Kudelstaart
1433DC,6,,Zijlijnstraat,Kudelstaart
1433DC,8,,Zijlijnstraat,Kudelstaart
1433DC,10,,Zijlijnstraat,Kudelstaart
1433DC,12,,Zijlijnstraat,Kudelstaart
1433DC,14,,Zijlijnstraat,Kudelstaart
1433DC,16,,Zijlijnstraat,Kudelstaart
1433DC,18,,Zijlijnstraat,Kudelstaart
1433DB,1,,Middencirkelstraat,Kudelstaart
1433DB,3,,Middencirkelstraat,Kudelstaart
1433DB,5,,Middencirkelstraat,Kudelstaart
1433DB,7,,Middencirkelstraat,Kudelstaart
1433DB,9,,Middencirkelstraat,Kudelstaart
1433DB,2,,Middencirkelstraat,Kudelstaart
1433DB,4,,Middencirkelstraat,Kudelstaart
1433DB,6,,Middencirkelstraat,Kudelstaart
1433DB,8,,Middencirkelstraat,Kudelstaart
1433DB,10,,Middencirkelstraat,Kudelstaart
1433DE,1,,Korfstraat,Kudelstaart
1433DE,3,,Korfstraat,Kudelstaart
1433DE,5,,Korfstraat,Kudelstaart
1433DE,7,,Korfstraat,Kudelstaart
1433DE,9,,Korfstraat,Kudelstaart
1433DE,11,,Korfstraat,Kudelstaart
1433DE,13,,Korfstraat,Kudelstaart
1433DE,15,,Korfstraat,Kudelstaart
1433DE,17,,Korfstraat,Kudelstaart
1433DE,19,,Korfstraat,Kudelstaart
1433DE,21,,Korfstraat,Kudelstaart
1433DE,23,,Korfstraat,Kudelstaart
1433DE,25,,Korfstraat,Kudelstaart
1433DE,27,,Korfstraat,Kudelstaart
1433DE,29,,Korfstraat,Kudelstaart
1433DE,31,,Korfstraat,Kudelstaart
1433DE,33,,Korfstraat,Kudelstaart
1433DE,35,,Korfstraat,Kudelstaart
1433DD,2,,Korfstraat,Kudelstaart
1433DD,4,,Korfstraat,Kudelstaart
1433DD,6,,Korfstraat,Kudelstaart
1433DD,8,,Korfstraat,Kudelstaart
1433DD,10,,Korfstraat,Kudelstaart
1433DD,12,,Korfstraat,Kudelstaart
1433DD,14,,Korfstraat,Kudelstaart
1433DD,16,,Korfstraat,Kudelstaart
1433DD,18,,Korfstraat,Kudelstaart
1433DD,20,,Korfstraat,Kudelstaart
1433DD,22,,Korfstraat,Kudelstaart
1433DD,24,,Korfstraat,Kudelstaart
1433DD,26,,Korfstraat,Kudelstaart
1433DD,28,,Korfstraat,Kudelstaart
1433DD,30,,Korfstraat,Kudelstaart
1433DD,32,,Korfstraat,Kudelstaart
1433DD,34,,Korfstraat,Kudelstaart
1433DD,36,,Korfstraat,Kudelstaart
1433DD,38,,Korfstraat,Kudelstaart
1433DD,40,,Korfstraat,Kudelstaart
1433DD,42,,Korfstraat,Kudelstaart
1433DD,44,,Korfstraat,Kudelstaart
1433DD,46,,Korfstraat,Kudelstaart
1433DD,48,,Korfstraat,Kudelstaart
1433DD,50,,Korfstraat,Kudelstaart
1433DD,52,,Korfstraat,Kudelstaart
1433DD,54,,Korfstraat,Kudelstaart
1433DD,56,,Korfstraat,Kudelstaart
1433DD,58,,Korfstraat,Kudelstaart
1433DD,60,,Korfstraat,Kudelstaart
1433DD,62,,Korfstraat,Kudelstaart
1433DD,64,,Korfstraat,Kudelstaart
1433DD,66,,Korfstraat,Kudelstaart
1433DD,68,,Korfstraat,Kudelstaart
1433DD,70,,Korfstraat,Kudelstaart
1433DD,72,,Korfstraat,Kudelstaart
1433DD,74,,Korfstraat,Kudelstaart
1433DD,76,,Korfstraat,Kudelstaart
1433DD,78,,Korfstraat,Kudelstaart
1433DD,80,,Korfstraat,Kudelstaart
1433DD,82,,Korfstraat,Kudelstaart
1433DD,84,,Korfstraat,Kudelstaart
1433DD,86,,Korfstraat,Kudelstaart
1433DE,37,,Korfstraat,Kudelstaart
1433DE,39,,Korfstraat,Kudelstaart
1433DE,41,,Korfstraat,Kudelstaart
1433DE,43,,Korfstraat,Kudelstaart
1433DE,45,,Korfstraat,Kudelstaart
1433DE,47,,Korfstraat,Kudelstaart
1433DE,49,,Korfstraat,Kudelstaart
1433DE,51,,Korfstraat,Kudelstaart
1433DE,53,,Korfstraat,Kudelstaart
1433HD,1,,Spilstraat,Kudelstaart
1433HD,3,,Spilstraat,Kudelstaart
1433HD,5,,Spilstraat,Kudelstaart
1433HD,9,,Spilstraat,Kudelstaart
1433HD,11,,Spilstraat,Kudelstaart
1433HD,13,,Spilstraat,Kudelstaart
1433HD,15,,Spilstraat,Kudelstaart
1433HD,17,,Spilstraat,Kudelstaart
1433HD,19,,Spilstraat,Kudelstaart
1433HD,21,,Spilstraat,Kudelstaart
1433HD,23,,Spilstraat,Kudelstaart
1433HD,25,,Spilstraat,Kudelstaart
1433HD,27,,Spilstraat,Kudelstaart
1433HD,29,,Spilstraat,Kudelstaart
1433HD,31,,Spilstraat,Kudelstaart
