6165AP,19,,Marisstraat,Geleen
6165AS,20,,Marisstraat,Geleen
6165AP,21,,Marisstraat,Geleen
6165AS,22,,Marisstraat,Geleen
6165AP,23,,Marisstraat,Geleen
6165AP,25,,Marisstraat,Geleen
6165AS,26,,Marisstraat,Geleen
6165AR,27,,Marisstraat,Geleen
6165AS,28,,Marisstraat,Geleen
6165AR,29,,Marisstraat,Geleen
6165AT,30,,Marisstraat,Geleen
6165AR,31,,Marisstraat,Geleen
6165AT,32,,Marisstraat,Geleen
6165AR,33,,Marisstraat,Geleen
6165AT,34,,Marisstraat,Geleen
6165AR,35,,Marisstraat,Geleen
6165AT,36,,Marisstraat,Geleen
6165AR,37,,Marisstraat,Geleen
6165AT,38,,Marisstraat,Geleen
6165AR,39,,Marisstraat,Geleen
6165AT,40,,Marisstraat,Geleen
6165AR,41,,Marisstraat,Geleen
6165AR,43,,Marisstraat,Geleen
6165AT,44,,Marisstraat,Geleen
6165AR,45,,Marisstraat,Geleen
6165AT,46,,Marisstraat,Geleen
6165AR,47,,Marisstraat,Geleen
6165AT,48,,Marisstraat,Geleen
6165AR,49,,Marisstraat,Geleen
6165AT,50,,Marisstraat,Geleen
6165AR,51,,Marisstraat,Geleen
6165AT,52,,Marisstraat,Geleen
6165AR,53,,Marisstraat,Geleen
6165AT,54,,Marisstraat,Geleen
6165AR,55,,Marisstraat,Geleen
6165AT,56,,Marisstraat,Geleen
6165AR,57,,Marisstraat,Geleen
6165AR,59,,Marisstraat,Geleen
6165AR,61,,Marisstraat,Geleen
6165AR,63,,Marisstraat,Geleen
6165AT,64,,Marisstraat,Geleen
6161GE,1,,Markt,Geleen
6127EH,2,,Meester Speestraat,Grevenbicht
6127EH,3,,Meester Speestraat,Grevenbicht
6127EH,4,,Meester Speestraat,Grevenbicht
6127EH,5,,Meester Speestraat,Grevenbicht
6127EH,6,,Meester Speestraat,Grevenbicht
6127EH,7,,Meester Speestraat,Grevenbicht
6127EH,8,,Meester Speestraat,Grevenbicht
6127EH,9,,Meester Speestraat,Grevenbicht
6127EH,10,,Meester Speestraat,Grevenbicht
6127EH,11,,Meester Speestraat,Grevenbicht
6127EH,12,,Meester Speestraat,Grevenbicht
6127EH,13,,Meester Speestraat,Grevenbicht
6127EH,14,,Meester Speestraat,Grevenbicht
6127EH,15,,Meester Speestraat,Grevenbicht
6127EH,16,,Meester Speestraat,Grevenbicht
6165ST,1,,Meeuwenlaan,Geleen
6165SW,2,,Meeuwenlaan,Geleen
6165ST,3,,Meeuwenlaan,Geleen
6165SW,4,,Meeuwenlaan,Geleen
6165ST,5,,Meeuwenlaan,Geleen
6165SW,6,,Meeuwenlaan,Geleen
6165ST,7,,Meeuwenlaan,Geleen
6165SW,8,,Meeuwenlaan,Geleen
6165ST,9,,Meeuwenlaan,Geleen
6165SW,10,,Meeuwenlaan,Geleen
6165ST,11,,Meeuwenlaan,Geleen
6165SW,12,,Meeuwenlaan,Geleen
6165ST,13,,Meeuwenlaan,Geleen
6165SW,14,,Meeuwenlaan,Geleen
6165ST,15,,Meeuwenlaan,Geleen
6165SW,16,,Meeuwenlaan,Geleen
6165ST,17,,Meeuwenlaan,Geleen
6165SW,18,,Meeuwenlaan,Geleen
6165ST,19,,Meeuwenlaan,Geleen
6165SW,20,,Meeuwenlaan,Geleen
6165ST,21,,Meeuwenlaan,Geleen
6165ST,23,,Meeuwenlaan,Geleen
6165SW,24,,Meeuwenlaan,Geleen
6165ST,25,,Meeuwenlaan,Geleen
6165ST,27,,Meeuwenlaan,Geleen
6165SW,28,,Meeuwenlaan,Geleen
6165SV,29,,Meeuwenlaan,Geleen
6165SV,31,,Meeuwenlaan,Geleen
6165SV,33,,Meeuwenlaan,Geleen
6165SV,35,,Meeuwenlaan,Geleen
6165SV,37,,Meeuwenlaan,Geleen
6165SV,39,,Meeuwenlaan,Geleen
6165SV,41,,Meeuwenlaan,Geleen
6165SV,43,,Meeuwenlaan,Geleen
6165SV,45,,Meeuwenlaan,Geleen
6165SV,47,,Meeuwenlaan,Geleen
6165SV,49,,Meeuwenlaan,Geleen
6165SV,51,,Meeuwenlaan,Geleen
6165SV,53,,Meeuwenlaan,Geleen
6165SV,55,,Meeuwenlaan,Geleen
6165SV,57,,Meeuwenlaan,Geleen
6165SV,59,,Meeuwenlaan,Geleen
6165SV,61,,Meeuwenlaan,Geleen
6165SV,63,,Meeuwenlaan,Geleen
6165SV,65,,Meeuwenlaan,Geleen
6163EM,1,,Meidoornstraat,Geleen
6164VX,4,,Leeuwenhoekstraat,Geleen
6164VS,5,,Leeuwenhoekstraat,Geleen
6164VX,6,,Leeuwenhoekstraat,Geleen
6164VS,7,,Leeuwenhoekstraat,Geleen
6164VX,8,,Leeuwenhoekstraat,Geleen
6164VS,9,,Leeuwenhoekstraat,Geleen
6164VX,10,,Leeuwenhoekstraat,Geleen
6164VS,11,,Leeuwenhoekstraat,Geleen
6164VX,12,,Leeuwenhoekstraat,Geleen
6164VS,13,,Leeuwenhoekstraat,Geleen
6164VX,14,,Leeuwenhoekstraat,Geleen
6164VS,15,,Leeuwenhoekstraat,Geleen
6164VX,16,,Leeuwenhoekstraat,Geleen
6164VT,17,,Leeuwenhoekstraat,Geleen
6164VZ,18,,Leeuwenhoekstraat,Geleen
6164VT,19,,Leeuwenhoekstraat,Geleen
6164VZ,20,,Leeuwenhoekstraat,Geleen
6164VT,21,,Leeuwenhoekstraat,Geleen
6164VZ,22,,Leeuwenhoekstraat,Geleen
6164VT,23,,Leeuwenhoekstraat,Geleen
6164VZ,24,,Leeuwenhoekstraat,Geleen
6164VT,25,,Leeuwenhoekstraat,Geleen
6164VZ,26,,Leeuwenhoekstraat,Geleen
6164VT,27,,Leeuwenhoekstraat,Geleen
6164VZ,28,,Leeuwenhoekstraat,Geleen
6164VT,29,,Leeuwenhoekstraat,Geleen
6164VZ,30,,Leeuwenhoekstraat,Geleen
6164VT,31,,Leeuwenhoekstraat,Geleen
6164VZ,32,,Leeuwenhoekstraat,Geleen
6164VT,33,,Leeuwenhoekstraat,Geleen
6164VZ,34,,Leeuwenhoekstraat,Geleen
6164VT,35,,Leeuwenhoekstraat,Geleen
6164VZ,36,,Leeuwenhoekstraat,Geleen
6164VT,37,,Leeuwenhoekstraat,Geleen
6164VZ,38,,Leeuwenhoekstraat,Geleen
6164VT,39,,Leeuwenhoekstraat,Geleen
6164VZ,40,,Leeuwenhoekstraat,Geleen
6164VT,41,,Leeuwenhoekstraat,Geleen
6164VZ,42,,Leeuwenhoekstraat,Geleen
6164VT,43,,Leeuwenhoekstraat,Geleen
6164VZ,44,,Leeuwenhoekstraat,Geleen
6164VT,45,,Leeuwenhoekstraat,Geleen
6164VZ,46,,Leeuwenhoekstraat,Geleen
6164VT,47,,Leeuwenhoekstraat,Geleen
6164VZ,48,,Leeuwenhoekstraat,Geleen
6164VV,49,,Leeuwenhoekstraat,Geleen
6164VZ,50,,Leeuwenhoekstraat,Geleen
6164VV,51,,Leeuwenhoekstraat,Geleen
6164VZ,52,,Leeuwenhoekstraat,Geleen
6164VV,53,,Leeuwenhoekstraat,Geleen
6164VZ,54,,Leeuwenhoekstraat,Geleen
6164VV,55,,Leeuwenhoekstraat,Geleen
6164VZ,56,,Leeuwenhoekstraat,Geleen
6164VV,57,,Leeuwenhoekstraat,Geleen
6164VZ,58,,Leeuwenhoekstraat,Geleen
6164VV,59,,Leeuwenhoekstraat,Geleen
6164VV,61,,Leeuwenhoekstraat,Geleen
6164VV,63,,Leeuwenhoekstraat,Geleen
6164VV,65,,Leeuwenhoekstraat,Geleen
6164VV,67,,Leeuwenhoekstraat,Geleen
6164VV,69,,Leeuwenhoekstraat,Geleen
6164VV,71,,Leeuwenhoekstraat,Geleen
6164VV,73,,Leeuwenhoekstraat,Geleen
6164VV,75,,Leeuwenhoekstraat,Geleen
6164VV,77,,Leeuwenhoekstraat,Geleen
6164VV,79,,Leeuwenhoekstraat,Geleen
6164VV,79,G15,Leeuwenhoekstraat,Geleen
6141MB,2,,Lintjeshaag,Limbricht
6141MB,3,,Lintjeshaag,Limbricht
6141MB,4,,Lintjeshaag,Limbricht
6141MB,5,,Lintjeshaag,Limbricht
6141MB,6,,Lintjeshaag,Limbricht
6141MB,7,,Lintjeshaag,Limbricht
6141MB,8,,Lintjeshaag,Limbricht
6141MB,9,,Lintjeshaag,Limbricht
6141MB,10,,Lintjeshaag,Limbricht
6141MB,12,,Lintjeshaag,Limbricht
6141MB,13,,Lintjeshaag,Limbricht
6141MB,14,,Lintjeshaag,Limbricht
6141MB,15,,Lintjeshaag,Limbricht
6141MB,16,,Lintjeshaag,Limbricht
6141MB,17,,Lintjeshaag,Limbricht
6141MB,18,,Lintjeshaag,Limbricht
6141MB,19,,Lintjeshaag,Limbricht
6141MB,20,,Lintjeshaag,Limbricht
6141MB,22,,Lintjeshaag,Limbricht
6141MB,24,,Lintjeshaag,Limbricht
6141MB,26,,Lintjeshaag,Limbricht
6141MB,28,,Lintjeshaag,Limbricht
6141MB,30,,Lintjeshaag,Limbricht
6141MB,32,,Lintjeshaag,Limbricht
6141MB,34,,Lintjeshaag,Limbricht
6141MB,36,,Lintjeshaag,Limbricht
6141MB,38,,Lintjeshaag,Limbricht
6141MB,40,,Lintjeshaag,Limbricht
6141MB,42,,Lintjeshaag,Limbricht
6141MB,44,,Lintjeshaag,Limbricht
6141MB,46,,Lintjeshaag,Limbricht
6141MB,48,,Lintjeshaag,Limbricht
6141MB,50,,Lintjeshaag,Limbricht
6141MB,52,,Lintjeshaag,Limbricht
6141MB,54,,Lintjeshaag,Limbricht
6151LA,2,,Lintjesweg,Munstergeleen
6151LA,10,,Lintjesweg,Munstergeleen
6135LE,2,,Lissabonlaan,Sittard
6135LE,6,,Lissabonlaan,Sittard
6135LE,10,,Lissabonlaan,Sittard
6135LE,20,,Lissabonlaan,Sittard
6135LE,30,,Lissabonlaan,Sittard
