8606XT,26,,Woudvaartkade,Sneek
8603BC,3,,Thorbeckestraat,Sneek
8602CX,25,,Vliestroom,Sneek
8606CB,21,,1e Woudstraat,Sneek
8606CB,23,,1e Woudstraat,Sneek
8603AD,7,,Steenklip,Sneek
8603VV,38,,Monnikstraat,Sneek
8603BC,8,,Thorbeckestraat,Sneek
8603VV,48,,Monnikstraat,Sneek
8603AC,5,,Looxmadwarsstraat,Sneek
8603AC,9,,Looxmadwarsstraat,Sneek
8603AL,56,,Kapelstraat,Sneek
8603BC,6,,Thorbeckestraat,Sneek
8603VV,36,,Monnikstraat,Sneek
8606CG,7,,2e Woudstraat,Sneek
8603AD,5,,Steenklip,Sneek
8606CD,14,,1e Woudstraat,Sneek
8603AJ,35,,Kapelstraat,Sneek
8601BT,1,,Stokvissteeg,Sneek
8601BT,20,,Oosterdijk,Sneek
8603AL,58,,Kapelstraat,Sneek
8603VP,37,,Priorstraat,Sneek
8602CX,23,,Vliestroom,Sneek
8603AD,1,,Steenklip,Sneek
8603VV,34,,Monnikstraat,Sneek
8602DC,3,,Vogelzwin,Sneek
8601BH,16,,Kleinzand,Sneek
8603AD,3,,Steenklip,Sneek
8606XT,24,,Woudvaartkade,Sneek
8606CB,17,,1e Woudstraat,Sneek
8606CD,12,,1e Woudstraat,Sneek
8603VV,32,,Monnikstraat,Sneek
8603AL,60,,Kapelstraat,Sneek
8601BP,27,,Oosterdijk,Sneek
8603AJ,39,,Kapelstraat,Sneek
8603VX,47,,Vesperstraat,Sneek
8606XT,22,,Woudvaartkade,Sneek
8601BP,23,,Oosterdijk,Sneek
8602VR,24,,Spitaal,Sneek
8603AL,62,,Kapelstraat,Sneek
8603VV,30,,Monnikstraat,Sneek
8603VN,35,,Priorstraat,Sneek
8603AC,15,,Looxmadwarsstraat,Sneek
8603AC,17,,Looxmadwarsstraat,Sneek
8606CD,10,,1e Woudstraat,Sneek
8603AJ,45,,Kapelstraat,Sneek
8606XT,20,,Woudvaartkade,Sneek
8603AC,19,,Looxmadwarsstraat,Sneek
8606CB,15,,1e Woudstraat,Sneek
8606CB,13,,1e Woudstraat,Sneek
8601BH,14,,Kleinzand,Sneek
8602DC,27,,Vogelzwin,Sneek
8602DC,29,,Vogelzwin,Sneek
8602VR,25,,Spitaal,Sneek
8603VN,33,,Priorstraat,Sneek
8603AJ,41,,Kapelstraat,Sneek
8601AP,7,,Hooiblokstraat,Sneek
8602CX,21,,Vliestroom,Sneek
8601BT,18,,Oosterdijk,Sneek
8601AP,13,,Hooiblokstraat,Sneek
8606CD,8,,1e Woudstraat,Sneek
8606XT,18,,Woudvaartkade,Sneek
8602CK,58,,Breewijd,Sneek
8602CK,56,,Breewijd,Sneek
8603BC,11,,Thorbeckestraat,Sneek
8603AC,21,,Looxmadwarsstraat,Sneek
8603XT,54,,Looxmastraat,Sneek
8603VN,31,,Priorstraat,Sneek
8602VR,56,,Spitaal,Sneek
8603VN,29,,Priorstraat,Sneek
8602DC,9,,Vogelzwin,Sneek
8601BT,12,,Oosterdijk,Sneek
8601BT,14,,Oosterdijk,Sneek
8603BC,19,,Thorbeckestraat,Sneek
8603VN,25,,Priorstraat,Sneek
8602VR,26,,Spitaal,Sneek
8602VR,27,,Spitaal,Sneek
8606CD,6,,1e Woudstraat,Sneek
8601BP,25,,Oosterdijk,Sneek
8606XT,16,,Woudvaartkade,Sneek
8602CX,19,,Vliestroom,Sneek
8602VP,22,,Spitaal,Sneek
