5688TL,6,,St. Sebastiaanstraat,Oirschot
5688BG,2,,Begijnhof,Oirschot
5688NK,1,,de Bollen,Oirschot
5688PR,10,,Stapakker,Oirschot
5688NG,9,,de Fransman,Oirschot
5688CL,60,,Michiel de Ruyterlaan,Oirschot
5688HX,14,,Boterwijksestraat,Oirschot
5688PC,24,,Cloete,Oirschot
5688DK,5,,Raffendonkstraat,Oirschot
5688PC,8,,Cloete,Oirschot
5688CG,12,,Kortenaarlaan,Oirschot
5688SH,16,,de Wieg,Oirschot
5688NG,8,,de Fransman,Oirschot
5688TG,1,,Keizerweg,Oirschot
5688AX,40,,Gasthuisstraat,Oirschot
5688DH,4,,Hoppenbrouwerstraat,Oirschot
5688NB,43,,Notel,Oirschot
5688DB,28,,van Tuldenstraat,Oirschot
5688RR,18,,de Dries,Oirschot
5688MA,6,,Oude Grintweg,Oirschot
5688VK,16,,de Schout,Oirschot
5688KE,118,,Spoordonkseweg,Oirschot
5688CH,22,,de Helleweikes,Oirschot
5688SB,23,,de Baansteen,Oirschot
5688NC,3,,Schansstraat,Oirschot
5688SN,16,,de Beempd,Oirschot
5688BE,2,,Nieuwstraat,Oirschot
5688PG,54,,Castaert,Oirschot
5688KK,3,,Pandgat,Oirschot
5688VH,6,,de Schutter,Oirschot
5688GH,19,,Slingerbos,Oirschot
5688KM,39,,Sweerts de Landasstraat,Oirschot
5688EG,7,,Pochelarij,Oirschot
5688NG,11,,de Fransman,Oirschot
5688SK,22,,het Luiwerk,Oirschot
5688AT,29,,Agnes van Kleefstraat,Oirschot
5688VJ,21,,de Vorster,Oirschot
5688NH,1,,'t Laar,Oirschot
5688TT,12,,de Toog,Oirschot
5688AW,13,,Gasthuisstraat,Oirschot
5688MA,16,,Oude Grintweg,Oirschot
5688AJ,10,,Markt,Oirschot
5688AM,8,,Torenstraat,Oirschot
5688DK,15,,Raffendonkstraat,Oirschot
5688PN,1,,Elsenwas,Oirschot
5688VH,16,,de Schutter,Oirschot
5688NB,55,,Notel,Oirschot
5688LT,3,,Meierijsebaan,Oirschot
5688JT,1,,Geeneindseweg,Oirschot
5688HK,14,,Papenvoorden,Oirschot
5688CE,25,,Kortenaarlaan,Oirschot
5688CE,37,,Kortenaarlaan,Oirschot
5688TG,36,,Keizerweg,Oirschot
5688NS,3,,Akkerweg,Oirschot
5688AC,51,,Molenstraat,Oirschot
5688VL,20,,de Baljuw,Oirschot
5688TS,58,,de Korenaar,Oirschot
5688TG,12,,Keizerweg,Oirschot
5688TR,1,,de Gaanderij,Oirschot
5688MA,27,,Oude Grintweg,Oirschot
5688RJ,2,,Snijdersstraat,Oirschot
5688DP,5,,Industrieweg,Oirschot
5688TL,2,,St. Sebastiaanstraat,Oirschot
5688GN,2,,Eindhovensedijk,Oirschot
5688BP,15,,Karel Doormanlaan,Oirschot
5688BT,2,,Maarten Tromplaan,Oirschot
5688KK,20,,Pandgat,Oirschot
5688MB,69,,Oude Grintweg,Oirschot
5688RC,32,,van Mellincrodestraat,Oirschot
5688PW,9,,Reeck,Oirschot
5688BV,6,,Helpad,Oirschot
5688KA,32,,Leeuwerikstraat,Oirschot
5688TS,1,,de Korenaar,Oirschot
5688VN,4,,de Rentmeester,Oirschot
5688RE,18,,van Aerlestraat,Oirschot
5688JD,4,,Beerseveld,Oirschot
5688HX,3,,Boterwijksestraat,Oirschot
5688KK,16,,Pandgat,Oirschot
5688SR,148,,Spoordonkseweg,Oirschot
5688SE,21,,het Bovenwiel,Oirschot
5688EJ,26,,Kanaalstraat,Oirschot
5688GH,29,,Slingerbos,Oirschot
5688CM,19,,Jan van Speyklaan,Oirschot
5688VK,10,,de Schout,Oirschot
5688DD,18,,Schoemekerstraat,Oirschot
5688VA,7,,de korte Spruit,Oirschot
5688LG,1,,Priemsteeg,Oirschot
5688GH,10,,Slingerbos,Oirschot
5688TX,15,,de Kruibok,Oirschot
5688NP,58,,Bestseweg,Oirschot
5688GN,22,,Eindhovensedijk,Oirschot
5688SR,144,,Spoordonkseweg,Oirschot
5688CZ,6,,Snellaertsstraat,Oirschot
5688PH,11,,Garstakker,Oirschot
5688LK,43,,Nieuwedijk,Oirschot
5688NH,2,,Pallande,Oirschot
5688BW,15,,Moosbroek,Oirschot
5688PH,23,,Garstakker,Oirschot
5688JX,31,,Broekstraat,Oirschot
5688PH,22,,Castaert,Oirschot
5688LT,7,,Meierijsebaan,Oirschot
5688KB,17,,Spoordonkseweg,Oirschot
5688GH,27,,Slingerbos,Oirschot
5688SJ,7,,het Luiwerk,Oirschot
5688TC,4,,Koningstraat,Oirschot
5688VT,43,,den Bongerd,Oirschot
5688PB,43,,Cloete,Oirschot
5688VM,3,,de Schepen,Oirschot
5688MA,35,,Oude Grintweg,Oirschot
5688DJ,17,,Steenakkerstraat,Oirschot
5688CL,72,,Michiel de Ruyterlaan,Oirschot
5688CL,18,,Michiel de Ruyterlaan,Oirschot
5688GH,20,,Slingerbos,Oirschot
5688KE,114,,Spoordonkseweg,Oirschot
5688TS,20,,de Korenaar,Oirschot
5688TM,7,,St. Barbarastraat,Oirschot
5688KE,124,,Spoordonkseweg,Oirschot
5688HD,5,,Beerseweg,Oirschot
5688VV,16,,Goudrenet,Oirschot
5688JH,10,,Proosbroekweg,Oirschot
5688DM,22,,Oude Bestseweg,Oirschot
5688SM,29,,de Beempd,Oirschot
5688BM,13,,Lindenlaan,Oirschot
5688AG,43,,Koestraat,Oirschot
5688TR,25,,de Gaanderij,Oirschot
5688GH,41,,Slingerbos,Oirschot
5688KL,22,,Merodelaan,Oirschot
5688VV,5,,Goudrenet,Oirschot
5688PP,11,,Stapakker,Oirschot
5688EH,15,,Parallelweg,Oirschot
5688MJ,1,,Mortelsgraaf,Oirschot
5688NP,12,,Bestseweg,Oirschot
5688MK,2,,Lopensestraat,Oirschot
5688CJ,7,,Piet Heinstraat,Oirschot
5688HD,8,,Beerseweg,Oirschot
5688KD,60,,Spoordonkseweg,Oirschot
5688AR,1,,Dekanijstraat,Oirschot
5688GK,2,,de Kemmer,Oirschot
5688TS,47,,de Korenaar,Oirschot
5688BG,10,,Begijnhof,Oirschot
5688SH,8,,de Wieg,Oirschot
5688EK,10,,Wilhelminakade,Oirschot
5688VT,35,,den Bongerd,Oirschot
5688NH,7,,Pallande,Oirschot
5688RT,31,,de Donk,Oirschot
5688HX,25,,Boterwijksestraat,Oirschot
5688VA,8,,de korte Spruit,Oirschot
5688BR,52,,Karel Doormanlaan,Oirschot
