4247ES,1,,Michiel van Loonstraat,Kedichem
4163LH,4,,Kerkelaantje,Oosterwijk
4143AW,3,,Mussenpad,Leerdam
4141MB,79,,Horndijk,Leerdam
4143CZ,12,,Hazeleger,Leerdam
4141JH,7,,Hendrik van Nassaustraat,Leerdam
4141JH,13,,Hendrik van Nassaustraat,Leerdam
4141JH,21,,Hendrik van Nassaustraat,Leerdam
4142BJ,26,,Jacoba van Beijerenstraat,Leerdam
4142BE,31,,Jacoba van Beijerenstraat,Leerdam
4142BJ,38,,Jacoba van Beijerenstraat,Leerdam
4142BG,43,,Jacoba van Beijerenstraat,Leerdam
4141CX,13,,Jan van Arkelstraat,Leerdam
4141CX,19,,Jan van Arkelstraat,Leerdam
4141EW,2,,Juliana van Stolbergstraat,Leerdam
4141EW,7,,Juliana van Stolbergstraat,Leerdam
4141EW,13,,Juliana van Stolbergstraat,Leerdam
4141EX,19,,Juliana van Stolbergstraat,Leerdam
4142CM,66,,Johan van Oldenbarneveltstraat,Leerdam
4142CM,78,,Johan van Oldenbarneveltstraat,Leerdam
4142CM,88,,Johan van Oldenbarneveltstraat,Leerdam
4142CM,100,,Johan van Oldenbarneveltstraat,Leerdam
4142CN,112,,Johan van Oldenbarneveltstraat,Leerdam
4142BJ,2,,Jacoba van Beijerenstraat,Leerdam
4142AB,9,,Jeekelstraat,Leerdam
4142AC,14,,Jeekelstraat,Leerdam
4142AC,20,,Jeekelstraat,Leerdam
4142AB,25,,Jeekelstraat,Leerdam
4142AC,32,,Jeekelstraat,Leerdam
4142AC,38,,Jeekelstraat,Leerdam
4141AX,60,,Kerkstraat,Leerdam
4141AV,79,,Kerkstraat,Leerdam
4142AV,37,,Joost de Jongestraat,Leerdam
4142AX,46,,Joost de Jongestraat,Leerdam
4142AX,56,,Joost de Jongestraat,Leerdam
4142AV,63,,Joost de Jongestraat,Leerdam
4141EE,106,,Koningin Emmalaan,Leerdam
4141EE,112,,Koningin Emmalaan,Leerdam
4141GG,13,,Kruiswerf,Leerdam
4142ZG,21,,Leliestraat,Leerdam
4142ZH,26,,Leliestraat,Leerdam
4141GG,35,,Kruiswerf,Leerdam
4141GG,47,,Kruiswerf,Leerdam
4142ER,6,,Laantje van Van Iperen,Leerdam
4142ER,12,,Laantje van Van Iperen,Leerdam
4142EP,67,,Laantje van Van Iperen,Leerdam
4142EP,79,,Laantje van Van Iperen,Leerdam
4142EP,89,,Laantje van Van Iperen,Leerdam
4142EP,101,,Laantje van Van Iperen,Leerdam
4142EP,115,,Laantje van Van Iperen,Leerdam
4142EP,129,,Laantje van Van Iperen,Leerdam
4143GP,7,,Lansier,Leerdam
4143GJ,3,,Lebeaustraat,Leerdam
4142ZH,2,,Leliestraat,Leerdam
4145KB,61,,Dorpsstraat,Schoonrewoerd
4141AC,30,,Meent,Leerdam
4142WL,45,,Esdoornstraat,Leerdam
4142WN,45,,Esdoornstraat,Leerdam
4141AT,3,,Kerkstraat,Leerdam
4141JC,22,,Prins Mauritsstraat,Leerdam
4247ET,4,,Nieuweweg,Kedichem
4247ET,8,,Nieuweweg,Kedichem
4247ET,10,,Nieuweweg,Kedichem
4247ES,2,,Michiel van Loonstraat,Kedichem
4247ES,3,,Michiel van Loonstraat,Kedichem
4247ES,4,,Michiel van Loonstraat,Kedichem
4247ES,5,,Michiel van Loonstraat,Kedichem
4247ES,6,,Michiel van Loonstraat,Kedichem
4247ES,7,,Michiel van Loonstraat,Kedichem
