1114BC,19,,MediArena,Amsterdam-Duivendrecht
1114BC,20,,MediArena,Amsterdam-Duivendrecht
1114AB,196,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AB,197,,Joop Geesinkweg,Amsterdam-Duivendrecht
1114AK,60,TRAF,Ellermanstraat,Amsterdam-Duivendrecht
1191KJ,45,,Waver,Ouderkerk aan de Amstel
1191AV,3,,Brugstraat,Ouderkerk aan de Amstel
1114AB,205,,Joop Geesinkweg,Amsterdam-Duivendrecht
1115CW,54,,Dorpsplein,Duivendrecht
1191JT,100,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,102,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,104,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,106,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,108,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,110,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,112,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,114,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,116,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,118,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,120,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,122,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,124,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,126,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,128,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,130,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,132,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,134,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,136,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,138,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,140,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,142,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,144,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,146,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,148,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,150,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,152,,Theresiastraat,Ouderkerk aan de Amstel
1191JT,200,,Theresiastraat,Ouderkerk aan de Amstel
