11,1231LM,'t BreukeleveenseMeentje,Loosdrecht
12,1231LM,'t BreukeleveenseMeentje,Loosdrecht
1,1231KJ,'t Jagerspaadje,Loosdrecht
2,1231KJ,'t Jagerspaadje,Loosdrecht
3,1231KJ,'t Jagerspaadje,Loosdrecht
4,1231KJ,'t Jagerspaadje,Loosdrecht
5,1231KJ,'t Jagerspaadje,Loosdrecht
6,1231KJ,'t Jagerspaadje,Loosdrecht
7,1231KJ,'t Jagerspaadje,Loosdrecht
8,1231KJ,'t Jagerspaadje,Loosdrecht
9,1231KJ,'t Jagerspaadje,Loosdrecht
10,1231KJ,'t Jagerspaadje,Loosdrecht
11,1231KJ,'t Jagerspaadje,Loosdrecht
12,1231KJ,'t Jagerspaadje,Loosdrecht
13,1231KJ,'t Jagerspaadje,Loosdrecht
14,1231KJ,'t Jagerspaadje,Loosdrecht
15,1231KJ,'t Jagerspaadje,Loosdrecht
16,1231KJ,'t Jagerspaadje,Loosdrecht
17,1231KJ,'t Jagerspaadje,Loosdrecht
18,1231KJ,'t Jagerspaadje,Loosdrecht
19,1231KJ,'t Jagerspaadje,Loosdrecht
20,1231KJ,'t Jagerspaadje,Loosdrecht
21,1231KJ,'t Jagerspaadje,Loosdrecht
22,1231KJ,'t Jagerspaadje,Loosdrecht
23,1231KJ,'t Jagerspaadje,Loosdrecht
24,1231KJ,'t Jagerspaadje,Loosdrecht
25,1231KJ,'t Jagerspaadje,Loosdrecht
26,1231KJ,'t Jagerspaadje,Loosdrecht
27,1231KJ,'t Jagerspaadje,Loosdrecht
28,1231KJ,'t Jagerspaadje,Loosdrecht
29,1231KJ,'t Jagerspaadje,Loosdrecht
30,1231KJ,'t Jagerspaadje,Loosdrecht
32,1231KJ,'t Jagerspaadje,Loosdrecht
34,1231KJ,'t Jagerspaadje,Loosdrecht
1,1231LL,'t Laantje,Loosdrecht
3,1231LL,'t Laantje,Loosdrecht
4,1231LL,'t Laantje,Loosdrecht
137,1394AH,Middenweg,Nederhorst den Berg
37,1241LN,Kortenhoefsedijk,Kortenhoef
7,1394GL,Vaartweg,Nederhorst den Berg
44,1243HW,Stichtse Kade,'s-Graveland
33,1243LC,Beresteinseweg,'s-Graveland
9,1243JA,Loodijk,'s-Graveland
49,1243HW,Stichtse Kade,'s-Graveland
51,1243HW,Stichtse Kade,'s-Graveland
53,1243HW,Stichtse Kade,'s-Graveland
168,1394AP,Middenweg,Nederhorst den Berg
24,1231NZ,Kromme Rade,Loosdrecht
215,1231KV,Nieuw-Loosdrechtsedijk,Loosdrecht
4,1241ND,Gabriëlweg,Kortenhoef
6,1241ND,Gabriëlweg,Kortenhoef
4,1241BG,Parklaan,Kortenhoef
79,1394GR,Dammerweg,Nederhorst den Berg
2,1231KE,Dominee Versteegtstraat,Loosdrecht
114,1394PE,Nieuw Walden,Nederhorst den Berg
51,1394GJ,Pieter de Hooghlaan,Nederhorst den Berg
9,1394AX,Dwarsweg,Nederhorst den Berg
172,1241GD,Bernard van Beeklaan,Kortenhoef
174,1241GD,Bernard van Beeklaan,Kortenhoef
176,1241GD,Bernard van Beeklaan,Kortenhoef
178,1241GD,Bernard van Beeklaan,Kortenhoef
180,1241GD,Bernard van Beeklaan,Kortenhoef
182,1241GD,Bernard van Beeklaan,Kortenhoef
58,1241CV,Koninginneweg,Kortenhoef
35,1241JN,Zandheuvel,Kortenhoef
166,1231KE,Rading,Loosdrecht
1,1231KE,Dominee Versteegtstraat,Loosdrecht
3,1231KE,Dominee Versteegtstraat,Loosdrecht
4,1231KE,Dominee Versteegtstraat,Loosdrecht
5,1231KE,Dominee Versteegtstraat,Loosdrecht
6,1231KE,Dominee Versteegtstraat,Loosdrecht
7,1231KE,Dominee Versteegtstraat,Loosdrecht
8,1231KE,Dominee Versteegtstraat,Loosdrecht
9,1231KE,Dominee Versteegtstraat,Loosdrecht
10,1231KE,Dominee Versteegtstraat,Loosdrecht
11,1231KE,Dominee Versteegtstraat,Loosdrecht
12,1231KE,Dominee Versteegtstraat,Loosdrecht
13,1231KE,Dominee Versteegtstraat,Loosdrecht
31,1243JG,Noordereinde,'s-Graveland
45,1231CR,Nootweg,Loosdrecht
47,1231CR,Nootweg,Loosdrecht
49,1231CR,Nootweg,Loosdrecht
51,1231CR,Nootweg,Loosdrecht
2,1241AX,Oudergaarde,Kortenhoef
3,1241AX,Oudergaarde,Kortenhoef
4,1241AX,Oudergaarde,Kortenhoef
5,1241AX,Oudergaarde,Kortenhoef
11,1394JA,Spiegelweg,Nederhorst den Berg
13,1394JA,Spiegelweg,Nederhorst den Berg
185,1231KS,Nieuw-Loosdrechtsedijk,Loosdrecht
123,3624AD,Herenweg,Breukeleveen
74,3625AD,Herenweg,Breukeleveen
76,3625AD,Herenweg,Breukeleveen
78,3625AD,Herenweg,Breukeleveen
80,3625AD,Herenweg,Breukeleveen
12,3625AD,'t BreukeleveenseMeentje,Loosdrecht
10,1231KX,Nieuw-Loosdrechtsedijk,Loosdrecht
2,1231HA,Spinaker,Loosdrecht
22,1231AZ,Bloklaan,Loosdrecht
50,1231KB,Rading,Loosdrecht
23,1241NC,Zuwe,Kortenhoef
22,1243HV,De Boomgaard,'s-Graveland
24,1243HV,De Boomgaard,'s-Graveland
26,1243HV,De Boomgaard,'s-Graveland
28,1243HV,De Boomgaard,'s-Graveland
30,1243HV,De Boomgaard,'s-Graveland
32,1243HV,De Boomgaard,'s-Graveland
12,1243HV,De Boomgaard,'s-Graveland
9,1394BZ,Meidoornlaan,Nederhorst den Berg
11,1394BZ,Meidoornlaan,Nederhorst den Berg
25,1394BZ,Meidoornlaan,Nederhorst den Berg
27,1394BZ,Meidoornlaan,Nederhorst den Berg
29,1394BZ,Meidoornlaan,Nederhorst den Berg
4,1231HA,Spinaker,Loosdrecht
7,3625AA,Herenweg,Breukeleveen
18,1394AK,Middenweg,Nederhorst den Berg
48,1241LD,De Kwakel,Kortenhoef
3,1244RL,Trapgans,Ankeveen
3,1243HV,De Boomgaard,'s-Graveland
1,1394JR,Platanenlaan,Nederhorst den Berg
3,1394JR,Platanenlaan,Nederhorst den Berg
15,1241NL,Vreelandseweg,Kortenhoef
46,1241LH,Emmaweg,Kortenhoef
20,1243JB,Loodijk,'s-Graveland
79,1394BN,Vreelandseweg,Nederhorst den Berg
5,3625AA,Herenweg,Breukeleveen
6,1244RL,Trapgans,Ankeveen
8,1244RL,Trapgans,Ankeveen
153,1231KR,Nieuw-Loosdrechtsedijk,Loosdrecht
247,1231KR,Nieuw-Loosdrechtsedijk,Loosdrecht
50,1231PV,Wijde Blik,Kortenhoef
19,1394AS,Machineweg,Nederhorst den Berg
30,1241CM,Kerklaan,Kortenhoef
7,1231HC,Boegspriet,Loosdrecht
9,1231HC,Boegspriet,Loosdrecht
66,1241NK,Moleneind,Kortenhoef
11,1231HC,Boegspriet,Loosdrecht
92,1394GS,Dammerweg,Nederhorst den Berg
3,1231AZ,Bloklaan,Loosdrecht
218,1231LE,Nieuw-Loosdrechtsedijk,Loosdrecht
2,1394JV,Cederlaan,Nederhorst den Berg
4,1394JV,Cederlaan,Nederhorst den Berg
6,1394JV,Cederlaan,Nederhorst den Berg
8,1394JV,Cederlaan,Nederhorst den Berg
10,1394JV,Cederlaan,Nederhorst den Berg
12,1394JV,Cederlaan,Nederhorst den Berg
14,1394JV,Cederlaan,Nederhorst den Berg
16,1394JV,Cederlaan,Nederhorst den Berg
18,1394JV,Cederlaan,Nederhorst den Berg
20,1394JV,Cederlaan,Nederhorst den Berg
22,1394JV,Cederlaan,Nederhorst den Berg
24,1394JV,Cederlaan,Nederhorst den Berg
26,1394JV,Cederlaan,Nederhorst den Berg
23,1394JT,Olmenlaan,Nederhorst den Berg
25,1394JT,Olmenlaan,Nederhorst den Berg
27,1394JT,Olmenlaan,Nederhorst den Berg
29,1394JT,Olmenlaan,Nederhorst den Berg
31,1394JT,Olmenlaan,Nederhorst den Berg
33,1394JT,Olmenlaan,Nederhorst den Berg
35,1394JT,Olmenlaan,Nederhorst den Berg
37,1394JT,Olmenlaan,Nederhorst den Berg
