1076SP,56,,Herculesstraat,Amsterdam
1076SC,57,1,Herculesstraat,Amsterdam
1076SC,57,2,Herculesstraat,Amsterdam
1076SP,58,,Herculesstraat,Amsterdam
1076SC,59,,Herculesstraat,Amsterdam
1076SP,60,,Herculesstraat,Amsterdam
1076SC,61,,Herculesstraat,Amsterdam
1076SC,61,1,Herculesstraat,Amsterdam
1076SC,61,2,Herculesstraat,Amsterdam
1076SP,62,,Herculesstraat,Amsterdam
1076SC,63,1,Herculesstraat,Amsterdam
1076SC,63,2,Herculesstraat,Amsterdam
1076SP,64,,Herculesstraat,Amsterdam
1076SC,65,,Herculesstraat,Amsterdam
1076SP,66,,Herculesstraat,Amsterdam
1076SC,67,,Herculesstraat,Amsterdam
1076SR,68,,Herculesstraat,Amsterdam
1076SE,69,,Herculesstraat,Amsterdam
1076SR,70,,Herculesstraat,Amsterdam
1076SE,71,H,Herculesstraat,Amsterdam
1076SE,71,2,Herculesstraat,Amsterdam
1076SR,72,,Herculesstraat,Amsterdam
1076SE,73,H,Herculesstraat,Amsterdam
1076SE,73,1,Herculesstraat,Amsterdam
1076SE,73,2,Herculesstraat,Amsterdam
1076SR,74,,Herculesstraat,Amsterdam
1076SE,75,H,Herculesstraat,Amsterdam
1076SE,75,1,Herculesstraat,Amsterdam
1076SE,75,2,Herculesstraat,Amsterdam
1076SR,76,,Herculesstraat,Amsterdam
1076SE,77,H,Herculesstraat,Amsterdam
1076SE,77,1,Herculesstraat,Amsterdam
1076SE,77,2,Herculesstraat,Amsterdam
1076SR,78,,Herculesstraat,Amsterdam
1076SE,79,H,Herculesstraat,Amsterdam
1076SE,79,1,Herculesstraat,Amsterdam
1076SE,79,2,Herculesstraat,Amsterdam
1076SR,80,,Herculesstraat,Amsterdam
1076SE,81,H,Herculesstraat,Amsterdam
1076SE,81,1,Herculesstraat,Amsterdam
1076SE,81,2,Herculesstraat,Amsterdam
1076SR,82,,Herculesstraat,Amsterdam
1076SE,83,H,Herculesstraat,Amsterdam
1076SE,83,1,Herculesstraat,Amsterdam
1076SE,83,2,Herculesstraat,Amsterdam
1076ST,84,,Herculesstraat,Amsterdam
1076SG,85,H,Herculesstraat,Amsterdam
