2931RG,1,,Behouden Huis,Krimpen aan de Lek
2931XC,1,,Constantijn Huijgensstraat,Krimpen aan de Lek
2941XP,232,,Koninginneweg,Lekkerkerk
2941GB,65,,Berlagestraat,Lekkerkerk
2941EX,150,,Voorstraat,Lekkerkerk
2931AC,25,,Buitenweg,Krimpen aan de Lek
2931CG,73,,Hoofdstraat,Krimpen aan de Lek
2931CK,18,,Hoofdstraat,Krimpen aan de Lek
2941RG,25,,Patrijspad,Lekkerkerk
2931CV,1,,Oranje Nassauplein,Krimpen aan de Lek
2941TP,40,,Nicolaas Beetsstraat,Lekkerkerk
2941VE,56,,Lorentzweg,Lekkerkerk
2941BB,43,,Julianastraat,Lekkerkerk
2941GH,8,,Bilderdijkstraat,Lekkerkerk
2931TC,20,,Florastraat,Krimpen aan de Lek
2931LE,26,,Meent,Krimpen aan de Lek
2941PD,23,,Watersniplaan,Lekkerkerk
2931CW,10,,Pieter de Hooghstraat,Krimpen aan de Lek
2941RH,34,,Reigerlaan,Lekkerkerk
2931GS,10,,Schoenerstraat,Krimpen aan de Lek
2931TA,4,,Boterbloemstraat,Krimpen aan de Lek
2931PE,2,,Noorderlicht,Krimpen aan de Lek
2941BX,2,,van Markenstraat,Lekkerkerk
2941BG,25,,Kerkweg,Lekkerkerk
2941ER,1000,,Tiendweg-West,Lekkerkerk
2941ER,12,NG01,Tiendweg-West,Lekkerkerk
2931AN,34,,Ooster Lekdijk,Krimpen aan de Lek
2931SL,97,,Noord,Krimpen aan de Lek
2941XD,18,,Emmastraat,Lekkerkerk
2931TR,6,,Papaverhof,Krimpen aan de Lek
2931PE,20,,Noorderlicht,Krimpen aan de Lek
2941PA,4,,Kievithof,Lekkerkerk
2931TN,5,,Leliestraat,Krimpen aan de Lek
2941VN,4,,Willem Dreeshof,Lekkerkerk
2931EB,5,,Vincent van Goghplein,Krimpen aan de Lek
2931EA,49,,van Ostadestraat,Krimpen aan de Lek
2941RN,1,,Roggetiende,Lekkerkerk
2941RN,3,,Roggetiende,Lekkerkerk
2941RN,5,,Roggetiende,Lekkerkerk
2941RN,7,,Roggetiende,Lekkerkerk
2941RN,9,,Roggetiende,Lekkerkerk
2941RN,11,,Roggetiende,Lekkerkerk
2941RN,13,,Roggetiende,Lekkerkerk
2941RN,15,,Roggetiende,Lekkerkerk
2941RN,17,,Roggetiende,Lekkerkerk
2941RN,19,,Roggetiende,Lekkerkerk
2941RN,21,,Roggetiende,Lekkerkerk
2941RN,23,,Roggetiende,Lekkerkerk
2941RN,25,,Roggetiende,Lekkerkerk
2941RN,27,,Roggetiende,Lekkerkerk
2941RN,29,,Roggetiende,Lekkerkerk
2941RN,31,,Roggetiende,Lekkerkerk
2941RN,33,,Roggetiende,Lekkerkerk
2941RN,35,,Roggetiende,Lekkerkerk
2941RN,37,,Roggetiende,Lekkerkerk
2941RN,39,,Roggetiende,Lekkerkerk
2941RN,41,,Roggetiende,Lekkerkerk
