2,1506BB,Nicolaasstraat,Zaandam
220,1502BN,Oostzijde,Zaandam
2,1506HG,1e Harenmakersdwarsstraat,Zaandam
4,1567KM,Laurentiden,Assendelft
5,1567KM,Laurentiden,Assendelft
6,1567KM,Laurentiden,Assendelft
7,1567KM,Laurentiden,Assendelft
8,1567KM,Laurentiden,Assendelft
9,1567KM,Laurentiden,Assendelft
16,1544KL,Louis Armstrongstraat,Zaandijk
59,1507DE,Penningweg,Zaandam
23,1551BB,Watermolenstraat,Westzaan
28,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
45,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
26,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
33,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
10,1567KM,Laurentiden,Assendelft
11,1567KM,Laurentiden,Assendelft
12,1567KM,Laurentiden,Assendelft
13,1567KM,Laurentiden,Assendelft
14,1567KM,Laurentiden,Assendelft
12,1521TP,Goudastraat,Wormerveer
10,1521TP,Goudastraat,Wormerveer
63,1507DE,Penningweg,Zaandam
41,1521TN,Goudastraat,Wormerveer
34,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
35,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
36,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
37,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
90,1562GN,Krommeniedijk,Krommenie
70,1502BJ,Oostzijde,Zaandam
15,1567KM,Laurentiden,Assendelft
16,1567KM,Laurentiden,Assendelft
17,1567KM,Laurentiden,Assendelft
18,1567KM,Laurentiden,Assendelft
39,1525RG,Handelsweg,Westknollendam
43,1509BT,Kalverringdijk,Zaandam
3,1541JA,Raadhuisstraat,Koog aan de Zaan
38,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
39,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
40,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
41,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
42,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
31,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
19,1567KM,Laurentiden,Assendelft
20,1567KM,Laurentiden,Assendelft
11,1541KM,Jan Bestevaerstraat,Koog aan de Zaan
21,1567KM,Laurentiden,Assendelft
22,1567KM,Laurentiden,Assendelft
194,1521MX,Herman Gorterstraat,Wormerveer
196,1521MX,Herman Gorterstraat,Wormerveer
198,1521MX,Herman Gorterstraat,Wormerveer
200,1521MX,Herman Gorterstraat,Wormerveer
202,1521MX,Herman Gorterstraat,Wormerveer
23,1502CA,H Gerhardstraat,Zaandam
21,1502CA,H Gerhardstraat,Zaandam
19,1502CA,H Gerhardstraat,Zaandam
73,1502CB,H Gerhardstraat,Zaandam
71,1502CB,H Gerhardstraat,Zaandam
69,1502CB,H Gerhardstraat,Zaandam
31,1502CB,H Gerhardstraat,Zaandam
33,1502CB,H Gerhardstraat,Zaandam
37,1502CB,H Gerhardstraat,Zaandam
39,1502CB,H Gerhardstraat,Zaandam
49,1502CB,H Gerhardstraat,Zaandam
41,1502CB,H Gerhardstraat,Zaandam
3,1561VR,Josua Gekeerstraat,Krommenie
17,1502CA,H Gerhardstraat,Zaandam
67,1502CB,H Gerhardstraat,Zaandam
13,1566RA,Kaasmaker,Assendelft
68,1506TG,Botenmakersstraat,Zaandam
66,1506TG,Botenmakersstraat,Zaandam
64,1506TG,Botenmakersstraat,Zaandam
60,1506TG,Botenmakersstraat,Zaandam
1,1561VT,Willem van Saendenstraat,Krommenie
3,1561VT,Willem van Saendenstraat,Krommenie
79,1502GR,De Kiel,Zaandam
209,1566AH,Dorpsstraat,Assendelft
372,1566BR,Dorpsstraat,Assendelft
51,1509BT,Kalverringdijk,Zaandam
82,1544KM,Louis Armstrongstraat,Zaandijk
1,1566LE,Augustijnenstraat,Assendelft
2,1566LD,Franciscanenstraat,Assendelft
32,1507HP,Kapzaag,Zaandam
120,1507HS,Kapzaag,Zaandam
86,1507HS,Kapzaag,Zaandam
374,1566BR,Dorpsstraat,Assendelft
376,1566BR,Dorpsstraat,Assendelft
1,1521HT,Dick Laanplein,Wormerveer
380,1566BR,Dorpsstraat,Assendelft
378,1566BR,Dorpsstraat,Assendelft
8,1507HP,Kapzaag,Zaandam
116,1507HS,Kapzaag,Zaandam
88,1507HS,Kapzaag,Zaandam
90,1507HS,Kapzaag,Zaandam
30,1507HP,Kapzaag,Zaandam
118,1507HS,Kapzaag,Zaandam
171,1566AG,Dorpsstraat,Assendelft
5,1566NZ,Bus en Dam,Assendelft
96,1507HS,Kapzaag,Zaandam
98,1507HS,Kapzaag,Zaandam
100,1507HS,Kapzaag,Zaandam
102,1507HS,Kapzaag,Zaandam
104,1507HS,Kapzaag,Zaandam
26,1507HP,Kapzaag,Zaandam
108,1507HS,Kapzaag,Zaandam
124,1507HS,Kapzaag,Zaandam
112,1507HS,Kapzaag,Zaandam
114,1507HS,Kapzaag,Zaandam
122,1507HS,Kapzaag,Zaandam
18,1506ZW,Ameland,Zaandam
255,1551EH,Zuideinde,Westzaan
8,1541KX,Hoogstraat,Koog aan de Zaan
4,1507HP,Kapzaag,Zaandam
126,1507HS,Kapzaag,Zaandam
128,1507HS,Kapzaag,Zaandam
130,1507HS,Kapzaag,Zaandam
106,1507HS,Kapzaag,Zaandam
24,1507HP,Kapzaag,Zaandam
181,1562GT,Krommeniedijk,Krommenie
22,1521PV,Witte Paardweg,Wormerveer
24,1521PV,Witte Paardweg,Wormerveer
22,1507HP,Kapzaag,Zaandam
16,1507HP,Kapzaag,Zaandam
20,1507HP,Kapzaag,Zaandam
14,1507HP,Kapzaag,Zaandam
7,1507HN,Kapzaag,Zaandam
26,1521PV,Witte Paardweg,Wormerveer
28,1521PV,Witte Paardweg,Wormerveer
30,1521PV,Witte Paardweg,Wormerveer
32,1521PV,Witte Paardweg,Wormerveer
5,1507HN,Kapzaag,Zaandam
6,1507HP,Kapzaag,Zaandam
18,1507HP,Kapzaag,Zaandam
1,1507HT,Handzaag,Zaandam
44,1507HR,Kapzaag,Zaandam
56,1507HR,Kapzaag,Zaandam
42,1507HR,Kapzaag,Zaandam
20,1506GP,Hollandsepad,Zaandam
28,1507HP,Kapzaag,Zaandam
12,1507HP,Kapzaag,Zaandam
10,1507HP,Kapzaag,Zaandam
86,1562GN,Krommeniedijk,Krommenie
50,1541CE,Zuideinde,Koog aan de Zaan
9,1506CA,Gedempte Gracht,Zaandam
4,1507HV,Fineerzaag,Zaandam
3,1507HV,Fineerzaag,Zaandam
2,1507HV,Fineerzaag,Zaandam
1,1507HV,Fineerzaag,Zaandam
9,1507HT,Handzaag,Zaandam
7,1507HT,Handzaag,Zaandam
86,1501VV,Jonge Arnoldusstraat,Zaandam
9,1507HV,Fineerzaag,Zaandam
6,1507HT,Handzaag,Zaandam
92,1502BK,Oostzijde,Zaandam
66,1501AE,Prins Hendrikkade,Zaandam
9,1541KM,Jan Bestevaerstraat,Koog aan de Zaan
8,1507HT,Handzaag,Zaandam
5,1507HV,Fineerzaag,Zaandam
6,1507HV,Fineerzaag,Zaandam
1,1507HN,Kapzaag,Zaandam
8,1507HV,Fineerzaag,Zaandam
10,1507HV,Fineerzaag,Zaandam
5,1507HT,Handzaag,Zaandam
2,1507HP,Kapzaag,Zaandam
65,1501AE,Prins Hendrikkade,Zaandam
16,1521DV,Karnemelkspad,Wormerveer
28,1551AD,Kerkbuurt,Westzaan
54,1506NS,Archangelstraat,Zaandam
56,1506NS,Archangelstraat,Zaandam
160,1509BA,Kalf,Zaandam
7,1507HV,Fineerzaag,Zaandam
3,1507HN,Kapzaag,Zaandam
4,1507HT,Handzaag,Zaandam
2,1507HT,Handzaag,Zaandam
3,1507HT,Handzaag,Zaandam
110,1507HS,Kapzaag,Zaandam
92,1507HS,Kapzaag,Zaandam
94,1507HS,Kapzaag,Zaandam
2,1506EL,Hazepad,Zaandam
570,1566BZ,Dorpsstraat,Assendelft
117,1521DR,Zaanweg,Wormerveer
58,1502BJ,Oostzijde,Zaandam
39,1502SZ,Klampersstraat,Zaandam
37,1502SZ,Klampersstraat,Zaandam
35,1502SZ,Klampersstraat,Zaandam
51,1502SZ,Klampersstraat,Zaandam
23,1567KM,Laurentiden,Assendelft
24,1567KM,Laurentiden,Assendelft
44,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
30,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
46,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
47,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
48,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
49,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
50,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
56,1506XN,Ooievaarstraat,Zaandam
58,1506XN,Ooievaarstraat,Zaandam
25,1567KM,Laurentiden,Assendelft
170,1509BA,Kalf,Zaandam
45,1509BT,Kalverringdijk,Zaandam
49,1509BT,Kalverringdijk,Zaandam
4,1561XD,Weiver,Krommenie
82,1506CJ,Gedempte Gracht,Zaandam
51,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
52,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
53,1506JZ,Jacob Cornelisz van Oostsanenhof,Zaandam
104,1506AZ,Rustenburg,Zaandam
55,1521TA,Weverstraat,Wormerveer
18,1541WR,Molenwerf,Koog aan de Zaan
27,1507CG,Grote Tocht,Zaandam
198,1503NG,Indigostraat,Zaandam
113,1504EK,Lobeliusstraat,Zaandam
76,1503NC,Indigostraat,Zaandam
111,1504EK,Lobeliusstraat,Zaandam
109,1504EK,Lobeliusstraat,Zaandam
178,1503NG,Indigostraat,Zaandam
180,1503NG,Indigostraat,Zaandam
182,1503NG,Indigostraat,Zaandam
184,1503NG,Indigostraat,Zaandam
165,1504EL,Lobeliusstraat,Zaandam
188,1503NG,Indigostraat,Zaandam
192,1503NG,Indigostraat,Zaandam
115,1504EK,Lobeliusstraat,Zaandam
196,1503NG,Indigostraat,Zaandam
186,1503NG,Indigostraat,Zaandam
200,1503NG,Indigostraat,Zaandam
202,1503NG,Indigostraat,Zaandam
204,1503NG,Indigostraat,Zaandam
206,1503NG,Indigostraat,Zaandam
208,1503NG,Indigostraat,Zaandam
210,1503NG,Indigostraat,Zaandam
212,1503NG,Indigostraat,Zaandam
115,1566AD,Dorpsstraat,Assendelft
433,1566BH,Dorpsstraat,Assendelft
37,1541CV,De Ruyterstraat,Koog aan de Zaan
227,1508EN,Oostzijde,Zaandam
51,1541AJ,Machinistenstraat,Koog aan de Zaan
27,1561HG,Blauwe Arendstraat,Krommenie
3,1506GR,Papenpad,Zaandam
224,1502BP,Oostzijde,Zaandam
33,1502TV,Schoolmeestersstraat,Zaandam
291,1566BB,Dorpsstraat,Assendelft
4,1566AK,Dorpsstraat,Assendelft
205,1566AH,Dorpsstraat,Assendelft
490,1566BW,Dorpsstraat,Assendelft
492,1566BW,Dorpsstraat,Assendelft
431,1566BH,Dorpsstraat,Assendelft
6,1541GX,Zuiderkerkstraat,Koog aan de Zaan
13,1501PL,Klaas Katerstraat,Zaandam
12,1566AK,Dorpsstraat,Assendelft
35,1541CV,De Ruyterstraat,Koog aan de Zaan
49,1541AJ,Machinistenstraat,Koog aan de Zaan
4,1502PX,Kopermolenstraat,Zaandam
78,1507BK,Ringweg,Zaandam
168,1566TX,Rode Ring,Assendelft
169,1566TW,Rode Ring,Assendelft
111,1506DR,Herengracht,Zaandam
110,1506DW,Herengracht,Zaandam
109,1506DR,Herengracht,Zaandam
48,1506PJ,Havenstraat,Zaandam
113,1506DR,Herengracht,Zaandam
51,1506PJ,Havenstraat,Zaandam
134,1506PP,Havenstraat,Zaandam
135,1506DR,Herengracht,Zaandam
133,1506DR,Herengracht,Zaandam
17,1506TA,Botenmakersstraat,Zaandam
13,1561ZA,Padlaan,Krommenie
131,1506DR,Herengracht,Zaandam
52,1506PJ,Havenstraat,Zaandam
49,1506PJ,Havenstraat,Zaandam
135,1506PP,Havenstraat,Zaandam
53,1506PJ,Havenstraat,Zaandam
19,1521HR,Vaartdijk,Wormerveer
77,1521CL,Warmoesstraat,Wormerveer
82,1501WE,Hanenpad,Zaandam
26,1561HJ,Blauwe Arendstraat,Krommenie
8,1541GN,Wilhelminastraat,Koog aan de Zaan
40,1501AC,Prins Hendrikkade,Zaandam
20,1521EG,Oversluispad,Wormerveer
79,1521CL,Warmoesstraat,Wormerveer
38,1521TB,Weverstraat,Wormerveer
19,1521EG,Oversluispad,Wormerveer
12,1521AS,Oost-Indischekade,Wormerveer
5,1521VL,Houtkade,Wormerveer
170,1566TX,Rode Ring,Assendelft
26,1541KP,Jan Bestevaerstraat,Koog aan de Zaan
131,1506AG,Hogendijk,Zaandam
7,1521VL,Houtkade,Wormerveer
9,1521VL,Houtkade,Wormerveer
11,1521VL,Houtkade,Wormerveer
8,1521CD,Javastraat,Wormerveer
3,1521VL,Houtkade,Wormerveer
7,1521BD,Floresstraat,Wormerveer
5,1521BD,Floresstraat,Wormerveer
22,1541KP,Jan Bestevaerstraat,Koog aan de Zaan
28,1541KP,Jan Bestevaerstraat,Koog aan de Zaan
171,1566TW,Rode Ring,Assendelft
190,1566TX,Rode Ring,Assendelft
34,1541KP,Jan Bestevaerstraat,Koog aan de Zaan
84,1501WE,Hanenpad,Zaandam
78,1551PB,Overtoom,Westzaan
9,1521WD,Hyacintstraat,Wormerveer
11,1521WD,Hyacintstraat,Wormerveer
23,1521WD,Hyacintstraat,Wormerveer
30,1521WH,Dahliastraat,Wormerveer
29,1521WD,Hyacintstraat,Wormerveer
174,1566TX,Rode Ring,Assendelft
198,1566TX,Rode Ring,Assendelft
178,1566TX,Rode Ring,Assendelft
24,1506SC,Rozengracht,Zaandam
180,1566TX,Rode Ring,Assendelft
108,1506NV,Archangelstraat,Zaandam
32,1521WH,Dahliastraat,Wormerveer
86,1501WE,Hanenpad,Zaandam
136,1506PP,Havenstraat,Zaandam
137,1506PP,Havenstraat,Zaandam
12,1541GN,Wilhelminastraat,Koog aan de Zaan
23,1506SC,Rozengracht,Zaandam
23,1506RB,Czarinastraat,Zaandam
