6941DS,1,,Prinses Irenestraat,Didam
6941BP,46,,Roncallistraat,Didam
6942AJ,34,,Schoolstraat,Didam
6942EC,12,,Spoorstraat,Didam
6942PE,4,,Tolweg,Didam
7047CW,2,,Zeddamseweg,Braamt
7038BR,9,,Schapenweg,Zeddam
7047CV,5,,Ir B Kersjesweg,Braamt
7047CX,2,,Koppelstraat,Braamt
7038DE,2,,Gildebongerd,Zeddam
7038DE,30,,Gildebongerd,Zeddam
7038DE,4,,Gildebongerd,Zeddam
7038DG,54,,Gildebongerd,Zeddam
7038DG,78,,Gildebongerd,Zeddam
7038DC,89,,Gildebongerd,Zeddam
7038ED,3,,Groeneweg,Zeddam
7038AT,1,,Jacob Reviusstraat,Zeddam
7038CG,20,,Kerkweg,Zeddam
7041ZS,13,,van Rooijenstraat,'s-Heerenberg
7041ZS,24,,van Rooijenstraat,'s-Heerenberg
7041ZN,15,,Victor de Stuersstraat,'s-Heerenberg
7041BM,4,,Villersgengske,'s-Heerenberg
7041AT,9,,Walsteeg,'s-Heerenberg
7041GW,9,,Weteringstraat,'s-Heerenberg
7041SP,20,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,30,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,7,,Willem Schuurmanlaan,'s-Heerenberg
7041CW,4,,Willem van den Berghstraat,'s-Heerenberg
7041SR,18,,Witte Paters,'s-Heerenberg
7041SR,37,,Witte Paters,'s-Heerenberg
7041CM,11,,Zeddamseweg,'s-Heerenberg
7041CP,2,,Zeddamseweg,'s-Heerenberg
7041CM,29,,Zeddamseweg,'s-Heerenberg
7041CR,40,,Zeddamseweg,'s-Heerenberg
7041CR,52,,Zeddamseweg,'s-Heerenberg
7041CN,69,,Zeddamseweg,'s-Heerenberg
7041CT,88,,Zeddamseweg,'s-Heerenberg
7041DC,7,,Zonneweide,'s-Heerenberg
7041CL,5,,Zwarte Kolkseweg,'s-Heerenberg
7039AV,30,,Barlhezestraat,Stokkum
7039AX,4,,De Sprung,Stokkum
7047CM,2,,Korteweg,Braamt
7038CD,42,,'s-Heerenbergseweg,Zeddam
7038AA,11,,Tolhuisstraat,Zeddam
7038AA,9,,Tolhuisstraat,Zeddam
7038EK,12,,Vinkebroeksestraat,Zeddam
7038GC,17,,Vinkhof,Zeddam
7038GC,9,,Vinkhof,Zeddam
6942SE,5,,Aalsbergen,Didam
6942GE,2,,Bierboomstraat,Didam
7038BN,11,,Violenstraat,Zeddam
7038AB,17,,Wittejufferstraat,Zeddam
7038AB,3,,Wittejufferstraat,Zeddam
7038AC,43,,Wittejufferstraat,Zeddam
7038GA,8,,Zuivelweg,Zeddam
7037BL,27,,Averbeek,Beek
7037AV,9,,Kleefsestraat,Beek
7047AB,12,,Hiedenbrinkstraat,Braamt
7041DP,32,,Lengelseweg,'s-Heerenberg
7041DL,33,,Lengelseweg,'s-Heerenberg
7041DP,34,,Lengelseweg,'s-Heerenberg
7041DL,35,,Lengelseweg,'s-Heerenberg
7041DL,37,,Lengelseweg,'s-Heerenberg
7041DL,39,,Lengelseweg,'s-Heerenberg
7041DN,4,,Lengelseweg,'s-Heerenberg
7041DP,42,,Lengelseweg,'s-Heerenberg
7041DL,43,,Lengelseweg,'s-Heerenberg
7041DM,45,,Lengelseweg,'s-Heerenberg
7041DM,49,,Lengelseweg,'s-Heerenberg
7041DL,5,,Lengelseweg,'s-Heerenberg
7041DP,50,,Lengelseweg,'s-Heerenberg
7041DM,51,,Lengelseweg,'s-Heerenberg
7041DS,52,,Lengelseweg,'s-Heerenberg
7041DM,53,,Lengelseweg,'s-Heerenberg
7041DM,55,,Lengelseweg,'s-Heerenberg
7041DM,57,,Lengelseweg,'s-Heerenberg
7041DS,58,,Lengelseweg,'s-Heerenberg
7041DM,59,,Lengelseweg,'s-Heerenberg
7041DS,60,,Lengelseweg,'s-Heerenberg
7041DM,61,,Lengelseweg,'s-Heerenberg
7041DS,62,,Lengelseweg,'s-Heerenberg
7041DS,64,,Lengelseweg,'s-Heerenberg
7041DM,65,,Lengelseweg,'s-Heerenberg
7041DS,66,,Lengelseweg,'s-Heerenberg
7041DM,67,,Lengelseweg,'s-Heerenberg
7041DL,7,,Lengelseweg,'s-Heerenberg
7041DS,70,,Lengelseweg,'s-Heerenberg
7041DM,71,,Lengelseweg,'s-Heerenberg
7041DS,72,,Lengelseweg,'s-Heerenberg
7041DS,74,,Lengelseweg,'s-Heerenberg
7041DR,75,,Lengelseweg,'s-Heerenberg
7041DS,76,,Lengelseweg,'s-Heerenberg
7041DR,77,,Lengelseweg,'s-Heerenberg
7041DS,78,,Lengelseweg,'s-Heerenberg
7041DS,80,,Lengelseweg,'s-Heerenberg
7041DR,81,,Lengelseweg,'s-Heerenberg
7041DR,83,,Lengelseweg,'s-Heerenberg
7041DR,85,,Lengelseweg,'s-Heerenberg
7041DS,86,,Lengelseweg,'s-Heerenberg
7041DR,87,,Lengelseweg,'s-Heerenberg
7041DR,89,,Lengelseweg,'s-Heerenberg
7041DL,9,,Lengelseweg,'s-Heerenberg
7041DR,91,,Lengelseweg,'s-Heerenberg
7041DR,93,,Lengelseweg,'s-Heerenberg
7041DS,94,,Lengelseweg,'s-Heerenberg
7041DR,95,,Lengelseweg,'s-Heerenberg
7041DR,97,,Lengelseweg,'s-Heerenberg
7041DR,99,,Lengelseweg,'s-Heerenberg
7041DT,1,,Lisbloemstraat,'s-Heerenberg
7041DT,3,,Lisbloemstraat,'s-Heerenberg
7041JL,2,,Loveringbos,'s-Heerenberg
7041JL,3,,Loveringbos,'s-Heerenberg
7041JL,6,,Loveringbos,'s-Heerenberg
7041JL,7,,Loveringbos,'s-Heerenberg
7041JL,9,,Loveringbos,'s-Heerenberg
7041EG,1,,Lutgardastraat,'s-Heerenberg
7041EG,11,,Lutgardastraat,'s-Heerenberg
7041EG,13,,Lutgardastraat,'s-Heerenberg
7041EG,15,,Lutgardastraat,'s-Heerenberg
7041EG,17,,Lutgardastraat,'s-Heerenberg
7041EG,19,,Lutgardastraat,'s-Heerenberg
7041EG,3,,Lutgardastraat,'s-Heerenberg
7041EG,5,,Lutgardastraat,'s-Heerenberg
7041EG,7,,Lutgardastraat,'s-Heerenberg
7041EG,9,,Lutgardastraat,'s-Heerenberg
7041CX,1,,Maria Manciastraat,'s-Heerenberg
7041CX,10,,Maria Manciastraat,'s-Heerenberg
7041CX,11,,Maria Manciastraat,'s-Heerenberg
7041CX,12,,Maria Manciastraat,'s-Heerenberg
7041CX,13,,Maria Manciastraat,'s-Heerenberg
7041CX,14,,Maria Manciastraat,'s-Heerenberg
7041CX,16,,Maria Manciastraat,'s-Heerenberg
7041CX,2,,Maria Manciastraat,'s-Heerenberg
7041CX,3,,Maria Manciastraat,'s-Heerenberg
7041CX,4,,Maria Manciastraat,'s-Heerenberg
7041CX,5,,Maria Manciastraat,'s-Heerenberg
7041CX,6,,Maria Manciastraat,'s-Heerenberg
7041CX,7,,Maria Manciastraat,'s-Heerenberg
7041CX,8,,Maria Manciastraat,'s-Heerenberg
7041CX,9,,Maria Manciastraat,'s-Heerenberg
7041EA,10,,Maria van Nassaulaan,'s-Heerenberg
7041EC,102,,Maria van Nassaulaan,'s-Heerenberg
7041EC,104,,Maria van Nassaulaan,'s-Heerenberg
7041EC,106,,Maria van Nassaulaan,'s-Heerenberg
7041EC,108,,Maria van Nassaulaan,'s-Heerenberg
7041EC,110,,Maria van Nassaulaan,'s-Heerenberg
7041EC,112,,Maria van Nassaulaan,'s-Heerenberg
7041ED,114,,Maria van Nassaulaan,'s-Heerenberg
7041ED,116,,Maria van Nassaulaan,'s-Heerenberg
7041ED,118,,Maria van Nassaulaan,'s-Heerenberg
7041EA,12,,Maria van Nassaulaan,'s-Heerenberg
7041ED,122,,Maria van Nassaulaan,'s-Heerenberg
7041ED,124,,Maria van Nassaulaan,'s-Heerenberg
7041ED,126,,Maria van Nassaulaan,'s-Heerenberg
7041ED,128,,Maria van Nassaulaan,'s-Heerenberg
7041ED,130,,Maria van Nassaulaan,'s-Heerenberg
7041ED,132,,Maria van Nassaulaan,'s-Heerenberg
7041ED,134,,Maria van Nassaulaan,'s-Heerenberg
7041ED,136,,Maria van Nassaulaan,'s-Heerenberg
7041ED,138,,Maria van Nassaulaan,'s-Heerenberg
7041EA,14,,Maria van Nassaulaan,'s-Heerenberg
7041ED,140,,Maria van Nassaulaan,'s-Heerenberg
7041EE,144,,Maria van Nassaulaan,'s-Heerenberg
7041EE,146,,Maria van Nassaulaan,'s-Heerenberg
7041EE,148,,Maria van Nassaulaan,'s-Heerenberg
7041EE,150,,Maria van Nassaulaan,'s-Heerenberg
7041EE,152,,Maria van Nassaulaan,'s-Heerenberg
7041EE,154,,Maria van Nassaulaan,'s-Heerenberg
7041EE,156,,Maria van Nassaulaan,'s-Heerenberg
7041EE,158,,Maria van Nassaulaan,'s-Heerenberg
7041EA,16,,Maria van Nassaulaan,'s-Heerenberg
7041EE,160,,Maria van Nassaulaan,'s-Heerenberg
7041EE,164,,Maria van Nassaulaan,'s-Heerenberg
7041EE,166,,Maria van Nassaulaan,'s-Heerenberg
7041EE,168,,Maria van Nassaulaan,'s-Heerenberg
7041EE,170,,Maria van Nassaulaan,'s-Heerenberg
7041EE,172,,Maria van Nassaulaan,'s-Heerenberg
7041EE,174,,Maria van Nassaulaan,'s-Heerenberg
7041EE,176,,Maria van Nassaulaan,'s-Heerenberg
7041EE,178,,Maria van Nassaulaan,'s-Heerenberg
7041EA,18,,Maria van Nassaulaan,'s-Heerenberg
7041EE,180,,Maria van Nassaulaan,'s-Heerenberg
7041EE,182,,Maria van Nassaulaan,'s-Heerenberg
7041EA,2,,Maria van Nassaulaan,'s-Heerenberg
7041EA,20,,Maria van Nassaulaan,'s-Heerenberg
7041EA,22,,Maria van Nassaulaan,'s-Heerenberg
7041EA,24,,Maria van Nassaulaan,'s-Heerenberg
7041EA,26,,Maria van Nassaulaan,'s-Heerenberg
7041EA,28,,Maria van Nassaulaan,'s-Heerenberg
7041EA,30,,Maria van Nassaulaan,'s-Heerenberg
7041EA,32,,Maria van Nassaulaan,'s-Heerenberg
7041EA,34,,Maria van Nassaulaan,'s-Heerenberg
7038CE,3,,Kerkweg,Zeddam
7038CG,30,,Kerkweg,Zeddam
7038CG,34,,Kerkweg,Zeddam
7038CG,38,,Kerkweg,Zeddam
7041ZS,14,,van Rooijenstraat,'s-Heerenberg
7041ZS,15,,van Rooijenstraat,'s-Heerenberg
7041ZS,16,,van Rooijenstraat,'s-Heerenberg
7041ZS,17,,van Rooijenstraat,'s-Heerenberg
7041ZS,18,,van Rooijenstraat,'s-Heerenberg
7041ZS,19,,van Rooijenstraat,'s-Heerenberg
7041ZS,2,,van Rooijenstraat,'s-Heerenberg
7041ZS,20,,van Rooijenstraat,'s-Heerenberg
7041ZS,21,,van Rooijenstraat,'s-Heerenberg
7041ZS,22,,van Rooijenstraat,'s-Heerenberg
7041ZS,23,,van Rooijenstraat,'s-Heerenberg
7041ZS,3,,van Rooijenstraat,'s-Heerenberg
7041ZS,4,,van Rooijenstraat,'s-Heerenberg
7041ZS,5,,van Rooijenstraat,'s-Heerenberg
7041ZS,6,,van Rooijenstraat,'s-Heerenberg
7041ZS,7,,van Rooijenstraat,'s-Heerenberg
7041ZS,8,,van Rooijenstraat,'s-Heerenberg
7041ZS,9,,van Rooijenstraat,'s-Heerenberg
7041VR,8,,Veenseweg,'s-Heerenberg
7041ZN,11,,Victor de Stuersstraat,'s-Heerenberg
7041ZN,13,,Victor de Stuersstraat,'s-Heerenberg
7041ZN,3,,Victor de Stuersstraat,'s-Heerenberg
7041ZN,7,,Victor de Stuersstraat,'s-Heerenberg
7041ZN,9,,Victor de Stuersstraat,'s-Heerenberg
7041BM,1,,Villersgengske,'s-Heerenberg
7041BM,11,,Villersgengske,'s-Heerenberg
7041BM,15,,Villersgengske,'s-Heerenberg
7041BM,17,,Villersgengske,'s-Heerenberg
7041BM,19,,Villersgengske,'s-Heerenberg
7041BM,2,,Villersgengske,'s-Heerenberg
7041BM,23,,Villersgengske,'s-Heerenberg
7041BM,7,,Villersgengske,'s-Heerenberg
7041EK,1,,Vorst Leopoldstraat,'s-Heerenberg
7041EK,3,,Vorst Leopoldstraat,'s-Heerenberg
7041EK,5,,Vorst Leopoldstraat,'s-Heerenberg
7041EK,7,,Vorst Leopoldstraat,'s-Heerenberg
7041EK,9,,Vorst Leopoldstraat,'s-Heerenberg
7041AT,13,,Walsteeg,'s-Heerenberg
7041AT,3,,Walsteeg,'s-Heerenberg
7041AT,5,,Walsteeg,'s-Heerenberg
7041AT,7,,Walsteeg,'s-Heerenberg
7041GW,10,,Weteringstraat,'s-Heerenberg
7041GW,11,,Weteringstraat,'s-Heerenberg
7041GW,15,,Weteringstraat,'s-Heerenberg
7041GW,17,,Weteringstraat,'s-Heerenberg
7041GW,21,,Weteringstraat,'s-Heerenberg
7041GW,23,,Weteringstraat,'s-Heerenberg
7041GW,25,,Weteringstraat,'s-Heerenberg
7041GW,5,,Weteringstraat,'s-Heerenberg
7041GW,6,,Weteringstraat,'s-Heerenberg
7041GW,7,,Weteringstraat,'s-Heerenberg
7041GW,8,,Weteringstraat,'s-Heerenberg
7041SP,1,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,10,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,11,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,13,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,14,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,15,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,16,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,18,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,19,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,2,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,21,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,22,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,23,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,24,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,25,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,26,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,27,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,28,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,29,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,3,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,31,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,32,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,33,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,34,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,35,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,37,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,38,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,4,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,5,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,6,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,8,,Willem Schuurmanlaan,'s-Heerenberg
7041SP,9,,Willem Schuurmanlaan,'s-Heerenberg
7041CW,1,,Willem van den Berghstraat,'s-Heerenberg
7041CW,10,,Willem van den Berghstraat,'s-Heerenberg
7041CW,12,,Willem van den Berghstraat,'s-Heerenberg
7041CW,14,,Willem van den Berghstraat,'s-Heerenberg
7041CW,16,,Willem van den Berghstraat,'s-Heerenberg
7041CW,2,,Willem van den Berghstraat,'s-Heerenberg
7041CW,20,,Willem van den Berghstraat,'s-Heerenberg
7041CW,22,,Willem van den Berghstraat,'s-Heerenberg
7041CW,24,,Willem van den Berghstraat,'s-Heerenberg
7041CW,6,,Willem van den Berghstraat,'s-Heerenberg
7041CW,8,,Willem van den Berghstraat,'s-Heerenberg
7041SR,1,,Witte Paters,'s-Heerenberg
7041SR,10,,Witte Paters,'s-Heerenberg
7041SR,11,,Witte Paters,'s-Heerenberg
7041SR,12,,Witte Paters,'s-Heerenberg
7041SR,13,,Witte Paters,'s-Heerenberg
7041SR,15,,Witte Paters,'s-Heerenberg
7041SR,16,,Witte Paters,'s-Heerenberg
7041SR,17,,Witte Paters,'s-Heerenberg
7041SR,19,,Witte Paters,'s-Heerenberg
7041SR,2,,Witte Paters,'s-Heerenberg
7041SR,20,,Witte Paters,'s-Heerenberg
7041SR,21,,Witte Paters,'s-Heerenberg
7041SR,22,,Witte Paters,'s-Heerenberg
7041SR,23,,Witte Paters,'s-Heerenberg
7041SR,24,,Witte Paters,'s-Heerenberg
7041SR,25,,Witte Paters,'s-Heerenberg
7041SR,27,,Witte Paters,'s-Heerenberg
7041SR,29,,Witte Paters,'s-Heerenberg
7041SR,3,,Witte Paters,'s-Heerenberg
7041SR,31,,Witte Paters,'s-Heerenberg
7041SR,35,,Witte Paters,'s-Heerenberg
7041SR,39,,Witte Paters,'s-Heerenberg
7041SR,4,,Witte Paters,'s-Heerenberg
7041SR,41,,Witte Paters,'s-Heerenberg
7041SR,43,,Witte Paters,'s-Heerenberg
7041SR,45,,Witte Paters,'s-Heerenberg
7041SR,47,,Witte Paters,'s-Heerenberg
7041SR,5,,Witte Paters,'s-Heerenberg
7041SR,6,,Witte Paters,'s-Heerenberg
7041SR,7,,Witte Paters,'s-Heerenberg
7041SR,8,,Witte Paters,'s-Heerenberg
7041SR,9,,Witte Paters,'s-Heerenberg
7041CM,1,,Zeddamseweg,'s-Heerenberg
7041DM,63,,Lengelseweg,'s-Heerenberg
7041DS,68,,Lengelseweg,'s-Heerenberg
7041DM,73,,Lengelseweg,'s-Heerenberg
7041DR,79,,Lengelseweg,'s-Heerenberg
7041DS,82,,Lengelseweg,'s-Heerenberg
7041DS,88,,Lengelseweg,'s-Heerenberg
7041DS,92,,Lengelseweg,'s-Heerenberg
7041DS,98,,Lengelseweg,'s-Heerenberg
7041KH,4,,Logistiekstraat,'s-Heerenberg
7041JL,4,,Loveringbos,'s-Heerenberg
7041AJ,10,,Marktstraat,'s-Heerenberg
7041AH,27,,Marktstraat,'s-Heerenberg
7041AH,31,,Marktstraat,'s-Heerenberg
7041WS,10,,Mechteld ten Hamstraat,'s-Heerenberg
7041BP,10,,Minister Veldkampstraat,'s-Heerenberg
7041BN,17,,Minister Veldkampstraat,'s-Heerenberg
7041BN,3,,Minister Veldkampstraat,'s-Heerenberg
7041BD,1,,Molenpoortstraat,'s-Heerenberg
7041KA,7,,Nachtegaalslaantje,'s-Heerenberg
7041ES,12,,Nieuwstraat,'s-Heerenberg
7041ER,17,,Nieuwstraat,'s-Heerenberg
7041ES,26,,Nieuwstraat,'s-Heerenberg
7041ES,32,,Nieuwstraat,'s-Heerenberg
7041ES,8,,Nieuwstraat,'s-Heerenberg
7041GE,18,,Nijverheidsstraat,'s-Heerenberg
7041GE,2,,Nijverheidsstraat,'s-Heerenberg
7041CB,14,,Peeskesweg,'s-Heerenberg
7041CB,6,,Peeskesweg,'s-Heerenberg
7041ZB,10,,Plantsoensingel Midden,'s-Heerenberg
7041ZB,15,,Plantsoensingel Midden,'s-Heerenberg
7041ZB,21,,Plantsoensingel Midden,'s-Heerenberg
7041ZE,52,,Plantsoensingel Zuid,'s-Heerenberg
7041ZD,57,,Plantsoensingel Zuid,'s-Heerenberg
6942VL,13,,Mariahof,Didam
6942VK,14,,Mariahof,Didam
6942VL,15,,Mariahof,Didam
6942VK,16,,Mariahof,Didam
6942VK,18,,Mariahof,Didam
6942VK,2,,Mariahof,Didam
6942VK,20,,Mariahof,Didam
6942VK,22,,Mariahof,Didam
6942VK,26,,Mariahof,Didam
6942VK,28,,Mariahof,Didam
6942VL,3,,Mariahof,Didam
6942VK,30,,Mariahof,Didam
6942VK,32,,Mariahof,Didam
6942VK,34,,Mariahof,Didam
6942VK,36,,Mariahof,Didam
6942VK,38,,Mariahof,Didam
6942VK,4,,Mariahof,Didam
6942VK,40,,Mariahof,Didam
6942VL,5,,Mariahof,Didam
6942VK,6,,Mariahof,Didam
6942VL,7,,Mariahof,Didam
