1422WS,34,,Veldmuis,Uithoorn
1422WS,36,,Veldmuis,Uithoorn
1422WS,38,,Veldmuis,Uithoorn
1422WS,40,,Veldmuis,Uithoorn
1422WS,42,,Veldmuis,Uithoorn
1422WS,44,,Veldmuis,Uithoorn
1422WS,46,,Veldmuis,Uithoorn
1422WV,23,,Haas,Uithoorn
1422WH,88,,Zoogdierenlaan,Uithoorn
1422WH,96,,Zoogdierenlaan,Uithoorn
1422WT,34,,Mol,Uithoorn
1422ND,99,,Randweg,Uithoorn
1422ND,103,,Randweg,Uithoorn
1422ND,101,,Randweg,Uithoorn
1423RV,47,,Bruine Lijster,Uithoorn
1423RV,49,,Bruine Lijster,Uithoorn
1423RV,51,,Bruine Lijster,Uithoorn
1423RW,2,,Bruine Lijster,Uithoorn
1423RW,4,,Bruine Lijster,Uithoorn
1423RW,6,,Bruine Lijster,Uithoorn
1423RW,8,,Bruine Lijster,Uithoorn
1423RW,10,,Bruine Lijster,Uithoorn
1423RX,24,,Bruine Lijster,Uithoorn
1423RX,26,,Bruine Lijster,Uithoorn
1423RX,28,,Bruine Lijster,Uithoorn
1423RX,30,,Bruine Lijster,Uithoorn
1423RV,23,,Bruine Lijster,Uithoorn
1423RV,25,,Bruine Lijster,Uithoorn
1423RV,27,,Bruine Lijster,Uithoorn
1423RV,29,,Bruine Lijster,Uithoorn
1423RV,31,,Bruine Lijster,Uithoorn
1423RV,33,,Bruine Lijster,Uithoorn
1423RV,35,,Bruine Lijster,Uithoorn
1423RV,37,,Bruine Lijster,Uithoorn
1423RV,39,,Bruine Lijster,Uithoorn
1423RV,41,,Bruine Lijster,Uithoorn
1423RV,43,,Bruine Lijster,Uithoorn
1423RV,45,,Bruine Lijster,Uithoorn
1423RT,1,,Bruine Lijster,Uithoorn
1423RT,3,,Bruine Lijster,Uithoorn
1423RT,5,,Bruine Lijster,Uithoorn
1423RT,7,,Bruine Lijster,Uithoorn
1423RT,9,,Bruine Lijster,Uithoorn
