52,2982BW,Seringenstraat,Ridderkerk
119,2982TC,Goudenregenplantsoen,Ridderkerk
127,2982TC,Goudenregenplantsoen,Ridderkerk
131,2982TC,Goudenregenplantsoen,Ridderkerk
137,2982TD,Goudenregenplantsoen,Ridderkerk
126,2982CW,Prunuslaan,Ridderkerk
10,2981CH,Gerard Doustraat,Ridderkerk
13,2981CE,Gerard Doustraat,Ridderkerk
15,2981CE,Gerard Doustraat,Ridderkerk
18,2981CH,Gerard Doustraat,Ridderkerk
19,2981CE,Gerard Doustraat,Ridderkerk
25,2981CE,Gerard Doustraat,Ridderkerk
72,2981CP,Pieter de Hoochstraat,Ridderkerk
1,2985BK,P.C. Hooftstraat,Ridderkerk
21,2985BK,P.C. Hooftstraat,Ridderkerk
25,2982VA,Groen van Prinstererweg,Ridderkerk
503,2982TL,Goudenregenplantsoen,Ridderkerk
507,2982TL,Goudenregenplantsoen,Ridderkerk
519,2982TL,Goudenregenplantsoen,Ridderkerk
553,2982TM,Goudenregenplantsoen,Ridderkerk
100,2981EN,Lagendijk,Ridderkerk
249,2985SH,Kloosplantsoen,Ridderkerk
47,2982TB,Goudenregenplantsoen,Ridderkerk
49,2982TB,Goudenregenplantsoen,Ridderkerk
233,2982AM,Koninginneweg,Ridderkerk
62,2982CE,Beukenhof,Ridderkerk
100,2985AC,Burgemeester de Zeeuwstraat,Ridderkerk
30,2982PJ,Burgemeester Nieuwenhuisenplein,Ridderkerk
33,2982PJ,Burgemeester Nieuwenhuisenplein,Ridderkerk
134,2982RS,Mr. Kesperweg,Ridderkerk
143,2982RM,Mr. Kesperweg,Ridderkerk
148,2982RT,Mr. Kesperweg,Ridderkerk
94,2982CW,Prunuslaan,Ridderkerk
261,2985SH,Kloosplantsoen,Ridderkerk
263,2985SH,Kloosplantsoen,Ridderkerk
41,2985VP,Vondellaan,Ridderkerk
49,2985VP,Vondellaan,Ridderkerk
131,2985TB,A.M. de Jongstraat,Ridderkerk
72,2982VV,Lohmanpark,Ridderkerk
231,2982RE,Jhr. De Savornin Lohmanstraat,Ridderkerk
5,2985BV,Jan Luykenstraat,Ridderkerk
7,2982AA,Baron Mackaystraat,Ridderkerk
143,2985VS,Vondellaan,Ridderkerk
157,2985VS,Vondellaan,Ridderkerk
1,2981BD,Bloemenstraat,Ridderkerk
25,2981BJ,Fresiastraat,Ridderkerk
26,2981BL,Fresiastraat,Ridderkerk
96,2985XE,Huygensplantsoen,Ridderkerk
98,2985XE,Huygensplantsoen,Ridderkerk
100,2985XE,Huygensplantsoen,Ridderkerk
102,2985XE,Huygensplantsoen,Ridderkerk
110,2985XE,Huygensplantsoen,Ridderkerk
114,2985XE,Huygensplantsoen,Ridderkerk
120,2985XE,Huygensplantsoen,Ridderkerk
134,2985XE,Huygensplantsoen,Ridderkerk
136,2985XE,Huygensplantsoen,Ridderkerk
142,2985XE,Huygensplantsoen,Ridderkerk
156,2985XE,Huygensplantsoen,Ridderkerk
135,2981AS,Geerlaan,Ridderkerk
1,2982PC,Hovystraat,Ridderkerk
2,2982PE,Hovystraat,Ridderkerk
45,2981AP,Geerlaan,Ridderkerk
47,2981AP,Geerlaan,Ridderkerk
2,2982PA,Ds. Caspar van Gendtstraat,Ridderkerk
15,2982PA,Ds. Caspar van Gendtstraat,Ridderkerk
39,2982PA,Ds. Caspar van Gendtstraat,Ridderkerk
193,2982BL,Seringenplantsoen,Ridderkerk
78,2982VV,Lohmanpark,Ridderkerk
88,2982VV,Lohmanpark,Ridderkerk
1,2982BG,Meidoornlaan,Ridderkerk
11,2982BG,Meidoornlaan,Ridderkerk
17,2982BG,Meidoornlaan,Ridderkerk
27,2982BG,Meidoornlaan,Ridderkerk
4,2981BE,Bloemenstraat,Ridderkerk
7,2981BD,Bloemenstraat,Ridderkerk
73,2981AR,Geerlaan,Ridderkerk
74,2981AV,Geerlaan,Ridderkerk
85,2981AR,Geerlaan,Ridderkerk
89,2981AR,Geerlaan,Ridderkerk
67,2982TB,Goudenregenplantsoen,Ridderkerk
69,2982TB,Goudenregenplantsoen,Ridderkerk
71,2982TB,Goudenregenplantsoen,Ridderkerk
142,2981AW,Geerlaan,Ridderkerk
148,2981AW,Geerlaan,Ridderkerk
159,2981AT,Geerlaan,Ridderkerk
33,2985TA,A.M. de Jongstraat,Ridderkerk
116,2985AW,Kerkweg,Ridderkerk
126,2985AW,Kerkweg,Ridderkerk
131,2985AP,Kerkweg,Ridderkerk
138,2985AW,Kerkweg,Ridderkerk
50,2985BB,Bellamystraat,Ridderkerk
42,2986GH,Vlietplein,Ridderkerk
38,2985VN,Oudaenstraat,Ridderkerk
46,2985VN,Oudaenstraat,Ridderkerk
60,2985VN,Oudaenstraat,Ridderkerk
