8226JD,15,,Merenlaan,Lelystad
8226JD,19,,Merenlaan,Lelystad
8226JD,21,,Merenlaan,Lelystad
8226HN,3,,Veluwemeerstraat,Lelystad
8226HN,5,,Veluwemeerstraat,Lelystad
8226HN,7,,Veluwemeerstraat,Lelystad
8226JD,11,,Merenlaan,Lelystad
8231CM,7,,Kempenaar 27,Lelystad
8231CN,8,,Kempenaar 27,Lelystad
8231CM,9,,Kempenaar 27,Lelystad
8231CJ,49,,Kempenaar 26,Lelystad
8231CL,50,,Kempenaar 26,Lelystad
8231CJ,51,,Kempenaar 26,Lelystad
8231CL,52,,Kempenaar 26,Lelystad
8231CJ,39,,Kempenaar 26,Lelystad
8231CJ,41,,Kempenaar 26,Lelystad
8231CL,42,,Kempenaar 26,Lelystad
8231CL,46,,Kempenaar 26,Lelystad
8231CK,34,,Kempenaar 26,Lelystad
8231CH,35,,Kempenaar 26,Lelystad
8231CJ,37,,Kempenaar 26,Lelystad
8231GJ,33,,Kempenaar 24,Lelystad
8231GJ,35,,Kempenaar 24,Lelystad
8231GK,36,,Kempenaar 24,Lelystad
8231GJ,37,,Kempenaar 24,Lelystad
8244GE,128,,Hollandse Hout,Lelystad
8222RB,26,,Bronsweg,Lelystad
8223PD,56,,Langevelderslag,Lelystad
8223PD,28,,Langevelderslag,Lelystad
8241BE,41,,Parlaan,Lelystad
8226RZ,28,,Oldengaerde,Lelystad
8226RZ,37,,Oldengaerde,Lelystad
8226RN,25,,De Binckhorst,Lelystad
8226RB,62,,Assumburg,Lelystad
8226TD,19,,Fogelsanghstate,Lelystad
8226TJ,23,,Bouvigne,Lelystad
8226TR,143,,Duinbeek,Lelystad
8226TR,119,,Duinbeek,Lelystad
8226TV,151,,Pauwenburg,Lelystad
8226TT,7,,Markiezenhof,Lelystad
8226TT,18,,Markiezenhof,Lelystad
8226RE,160,,Burgvliet,Lelystad
8226RE,172,,Burgvliet,Lelystad
8226RZ,11,,Oldengaerde,Lelystad
8226TV,121,,Pauwenburg,Lelystad
8226TR,110,,Duinbeek,Lelystad
8242PN,30,,Bataviaplein,Lelystad
8242PN,62,,Bataviaplein,Lelystad
8242PN,94,,Bataviaplein,Lelystad
8241BE,45,,Parlaan,Lelystad
8226RJ,5,,Duinbeek,Lelystad
8226TB,53,,Menkemaborg,Lelystad
8226RH,95,,Ekenstein,Lelystad
8226RE,42,,Burgvliet,Lelystad
8226RE,112,,Burgvliet,Lelystad
8226RE,148,,Burgvliet,Lelystad
8226RE,32,,Burgvliet,Lelystad
8221RE,68,,Houtribweg,Lelystad
8226TG,5,,Borggraaf,Lelystad
8226TB,29,,Menkemaborg,Lelystad
8243KR,28,,Botter 34,Lelystad
8243KK,47,,Botter 32,Lelystad
8243KJ,7,,Botter 32,Lelystad
8243KH,49,,Botter 31,Lelystad
8223DN,30,,Zwartewater,Lelystad
8223DM,13,,Zwartewater,Lelystad
8223DS,14,,Schipbeek,Lelystad
8223WG,78,,Langezand,Lelystad
8223ZP,25,,Spaanderbank,Lelystad
8222AD,12,,Reespoor,Lelystad
8222AC,38,,Jagersveld,Lelystad
8222AB,2,,Jagersveld,Lelystad
8223BN,14,,Friese Vlaak,Lelystad
8224JE,326,,Neringpassage,Lelystad
8224JD,134,,Neringpassage,Lelystad
8224JK,453,,Agorahof,Lelystad
8224JJ,405,,Agorahof,Lelystad
8232EJ,29,,De Stelling 13,Lelystad
8232EJ,7,,De Stelling 13,Lelystad
8232EG,50,,De Stelling 12,Lelystad
8232EE,2,,De Stelling 12,Lelystad
8232ED,10,,De Stelling 11,Lelystad
8232EB,57,,De Stelling 10,Lelystad
8232EC,46,,De Stelling 10,Lelystad
8232EA,37,,De Stelling 10,Lelystad
8232EA,31,,De Stelling 10,Lelystad
8232EA,3,,De Stelling 10,Lelystad
8231KB,29,,De Schans 18,Lelystad
8231KD,6,,De Schans 17,Lelystad
8231KH,28,,De Schans 16,Lelystad
8231KJ,4,,De Schans 15,Lelystad
8231KE,29,,De Schans 10,Lelystad
8231JP,74,,De Veste 17,Lelystad
8212EA,12,,De Scheren,Lelystad
8231JS,31,,De Veste 17,Lelystad
8231JH,79,,De Veste 16,Lelystad
8224DT,127,,Baai,Lelystad
8224DT,130,,Baai,Lelystad
8224DT,131,,Baai,Lelystad
8224DS,117,,Baai,Lelystad
8224DR,104,,Baai,Lelystad
8224DS,107,,Baai,Lelystad
8226LJ,91,,Rivierenlaan,Lelystad
8233BH,32,,Grietenij 12,Lelystad
8233BH,31,,Grietenij 12,Lelystad
8224DS,113,,Baai,Lelystad
8224DS,114,,Baai,Lelystad
8224DR,101,,Baai,Lelystad
8224DR,102,,Baai,Lelystad
8224DR,90,,Baai,Lelystad
8224DR,91,,Baai,Lelystad
8224DR,92,,Baai,Lelystad
8243PG,45,,Werfweg,Lelystad
8224DR,94,,Baai,Lelystad
8224DR,98,,Baai,Lelystad
8224DP,84,,Baai,Lelystad
8225NP,22,,Horst 36,Lelystad
8224DR,88,,Baai,Lelystad
8224DP,76,,Baai,Lelystad
8224DP,78,,Baai,Lelystad
8224DP,79,,Baai,Lelystad
8224DP,81,,Baai,Lelystad
8224DP,82,,Baai,Lelystad
8224DP,83,,Baai,Lelystad
8224DN,70,,Baai,Lelystad
8224DN,71,,Baai,Lelystad
8224DP,74,,Baai,Lelystad
8224DP,75,,Baai,Lelystad
8226HT,7,,Vossemeerstraat,Lelystad
8224DN,65,,Baai,Lelystad
8224DN,66,,Baai,Lelystad
8224DN,67,,Baai,Lelystad
8224DM,54,,Baai,Lelystad
8224DN,55,,Baai,Lelystad
8224DN,57,,Baai,Lelystad
8224DN,60,,Baai,Lelystad
8224DN,61,,Baai,Lelystad
8224DM,48,,Baai,Lelystad
8224DM,50,,Baai,Lelystad
8224DM,51,,Baai,Lelystad
