12,8754BZ,Panwerk,Makkum
8,8754GK,Suderseewei,Makkum
22,8757JS,Boerestreek,Gaast
5,8747NX,Hayumerleane,Wons
8,8741KE,Ridderdijk,Hartwerd
1,8823SZ,It Fabryk,Lollum
13,8823SW,Waaxenserweg,Lollum
3,8754ES,Achterstraat,Makkum
3,8754HE,De Stienplaat,Makkum
2,8754ER,Plein,Makkum
8,8754CV,Schoolbuurt,Makkum
1,8763MC,Ferwouderpad,Parrega
34,8763MD,Trekweg,Parrega
1,8765PA,Hemdijk,Tjerkwerd
13,8765PA,Hemdijk,Tjerkwerd
1,8761PG,Wonnebuursterweg,Ferwoude
25,8823SR,Ald Haven,Lollum
8,8823SJ,Hizzaarderlaan,Lollum
1,8748CC,van Aylvaweg,Witmarsum
16,8748AR,Verlengde Oostend,Witmarsum
28,8744EW,van Osingaweg,Schettens
68,8744EX,van Osingaweg,Schettens
84,8744EX,van Osingaweg,Schettens
8,8754HG,De Munniksplaat,Makkum
1,8748BB,Ald Rij,Witmarsum
5,8748BB,Ald Rij,Witmarsum
20,8748BH,Tsjerkelân,Witmarsum
4,8748BH,Tsjerkelân,Witmarsum
2,8748GD,Taede Zijlstrastrjitte,Witmarsum
9,8754CM,Markt,Makkum
9,8754BL,Lieuwkemastraat,Makkum
31,8754GD,Krommesloot,Makkum
18,8822WX,Ald Rij,Arum
15,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
37,8754LA,Wûnsstelling,Makkum
1,8754ET,Waagsteeg,Makkum
18,8763MB,Angterperlaan,Parrega
9,8754KK,It Mêd,Makkum
25,8754DM,Borndiep,Makkum
27,8754DM,Borndiep,Makkum
29,8754DM,Borndiep,Makkum
26,8763MS,Waubertstrjitte,Parrega
61,8763MA,Horstweg,Parrega
54,8763ME,Trekweg,Parrega
3,8763MK,Kerkbuurt,Parrega
16,8764PR,Buren,Dedgum
66,8759LE,Dorpsstraat,Exmorra
5,8759LK,Ds. Wilhelmus à Brakelstrjitte,Exmorra
7,8759LK,Ds. Wilhelmus à Brakelstrjitte,Exmorra
35,8759LL,Ds. Wilhelmus à Brakelstrjitte,Exmorra
37,8759LL,Ds. Wilhelmus à Brakelstrjitte,Exmorra
39,8759LL,Ds. Wilhelmus à Brakelstrjitte,Exmorra
41,8759LL,Ds. Wilhelmus à Brakelstrjitte,Exmorra
43,8759LL,Ds. Wilhelmus à Brakelstrjitte,Exmorra
45,8759LL,Ds. Wilhelmus à Brakelstrjitte,Exmorra
2,8761PC,Buren,Ferwoude
18,8822WR,Baarderbuorren,Arum
11,8821LV,Greate Pierwei,Kimswerd
12,8741KC,Oldeclooster,Hartwerd
14,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
10,8748GL,It Spul,Witmarsum
21,8754HA,Strânwei,Makkum
16,8754AJ,Schokkerweg,Makkum
3,8742KJ,Schwartzenbergweg,Burgwerd
24,8754EK,Doniastraat,Makkum
3,8755JL,Carl Fellingerweg,Idsegahuizum
14,8749TD,Riegeweg,Pingjum
7,8754DM,Borndiep,Makkum
9,8754DM,Borndiep,Makkum
17,8754DM,Borndiep,Makkum
19,8754DM,Borndiep,Makkum
21,8754DM,Borndiep,Makkum
39,8748AW,Oosterstraat,Witmarsum
9,8748DV,De Tsjasker,Witmarsum
4,8748AN,Bewaarschoolstraat,Witmarsum
48,8748AE,Arumerweg,Witmarsum
3,8754KD,It Hôf,Makkum
10,8758LC,Meerweg,Allingawier
6,8754JD,Weersterweg,Makkum
1,8748BK,Hertekampsreed,Witmarsum
3,8748BK,Hertekampsreed,Witmarsum
5,8748BK,Hertekampsreed,Witmarsum
7,8748BK,Hertekampsreed,Witmarsum
9,8748BK,Hertekampsreed,Witmarsum
7,8821MG,Spaarlân,Kimswerd
2,8754ZP,Langezand,Makkum
2,8754HR,Langezand,Makkum
15,8748BK,Hertekampsreed,Witmarsum
27,8748BK,Hertekampsreed,Witmarsum
29,8748BK,Hertekampsreed,Witmarsum
31,8748BK,Hertekampsreed,Witmarsum
33,8748BK,Hertekampsreed,Witmarsum
35,8748BK,Hertekampsreed,Witmarsum
37,8748BK,Hertekampsreed,Witmarsum
39,8748BK,Hertekampsreed,Witmarsum
41,8748BK,Hertekampsreed,Witmarsum
43,8748BK,Hertekampsreed,Witmarsum
45,8748BK,Hertekampsreed,Witmarsum
47,8748BK,Hertekampsreed,Witmarsum
49,8748BK,Hertekampsreed,Witmarsum
51,8748BK,Hertekampsreed,Witmarsum
72,8748AE,Arumerweg,Witmarsum
10,8823SK,Kerkstraat,Lollum
1,8823SK,Kerkstraat,Lollum
3,8754HB,Waardwei,Makkum
6,8754GK,Suderseewei,Makkum
