8802CC,28,,Prins Bernhardlaan,Franeker
8851ED,35,,Jel Rinckesstrjitte,Tzummarum
8851EC,12,,Johan Roordastrjitte,Tzummarum
8804RB,4,,Slotwei,Tzum
8801PB,79,,Harlingerweg,Franeker
8851EB,5,,Johan Roordastrjitte,Tzummarum
8851EB,19,,Johan Roordastrjitte,Tzummarum
8802CB,34,,Prins Bernhardlaan,Franeker
8851EB,41,,Johan Roordastrjitte,Tzummarum
8801PG,3,07,Burgemeester J Dijkstraweg,Franeker
8851ER,30,,Lytse Buorren,Tzummarum
8851ER,50,,Lytse Buorren,Tzummarum
8851ER,3,,Lytse Buorren,Tzummarum
8851ER,11,,Lytse Buorren,Tzummarum
8851EE,8,,Master Abel Zuurstrjitte,Tzummarum
8851EE,9,,Master Abel Zuurstrjitte,Tzummarum
8851EK,16,,Nij Bethanië,Tzummarum
8851EK,24,,Nij Bethanië,Tzummarum
8851GG,8,,Sinaedawei,Tzummarum
8851GG,3,,Sinaedawei,Tzummarum
8851GH,23,,Sinaedawei,Tzummarum
8851GA,16,,Skoalstrjitte,Tzummarum
8851GA,9,,Skoalstrjitte,Tzummarum
8851ET,9,,Skûtebuorren,Tzummarum
8801PP,2,,Frisia,Franeker
8801PD,9,,De Gideon,Franeker
8801PP,4,,Frisia,Franeker
8801PD,15,,De Gideon,Franeker
8801PP,32,,Frisia,Franeker
8801PD,3,,De Gideon,Franeker
8806KM,52,,H S Sytstrastrjitte,Achlum
8807PP,33,,Meester Feringastraat,Herbaijum
8802BG,4,,Neptunusbaan,Franeker
8801PB,81,,Harlingerweg,Franeker
8802BG,8,,Neptunusbaan,Franeker
8801HH,47,,Minne Hofstrastraat,Franeker
8804NL,54,,Wommelserweg,Tzum
8804NW,22,,Meester Klaas Douwesstraat,Tzum
8801EG,37,,Professor Camperstraat,Franeker
8801BA,4,,Albartus Teltingstraat,Franeker
8804SE,3,,Tsjerkebuorren,Tzum
8804NG,6,,Voorstraat,Tzum
8804NG,20,,Voorstraat,Tzum
8804ND,13,,Westelijk Achterom,Tzum
8804NL,24,,Wommelserweg,Tzum
8804NL,46,,Wommelserweg,Tzum
8804NM,70,,Wommelserweg,Tzum
8851EP,74,,Buorren,Tzummarum
8851EL,13,,Buorren,Tzummarum
8851EL,25,,Buorren,Tzummarum
8851EL,55,,Buorren,Tzummarum
8851EM,69,,Buorren,Tzummarum
8851GZ,22,,De Fjouwere,Tzummarum
8851EC,5,,Douwe Sixmastrjitte,Tzummarum
8851GE,6,,Evert Sybesmastrjitte,Tzummarum
8851GE,20,,Evert Sybesmastrjitte,Tzummarum
8802CA,4,,Prins Bernhardlaan,Franeker
8804NZ,15,,Dekemastraat,Tzum
8804NZ,27,,Dekemastraat,Tzum
