5406BP,14,,Graveur,Uden
5403NA,3,,Bronkhorstsingel,Uden
5403AA,57,,Millsebaan,Uden
5403ER,540,,Landschrijversveld,Uden
5408SZ,4,,Looierstraat,Volkel
5409RA,22,,Schaapsheide,Odiliapeel
5409RA,18,,Schaapsheide,Odiliapeel
5409RA,16,,Schaapsheide,Odiliapeel
5409RA,14,,Schaapsheide,Odiliapeel
5409RA,12,,Schaapsheide,Odiliapeel
5409RA,10,,Schaapsheide,Odiliapeel
5409RA,8,,Schaapsheide,Odiliapeel
5409RA,4,,Schaapsheide,Odiliapeel
5408SZ,20,,Looierstraat,Volkel
5401BM,49,,Deken de Louwstraat,Uden
5405BH,19,,Vliegeniersstraat,Uden
5405ND,16,,Molenheiderweg,Uden
5404PC,18,,Spitsen,Uden
5409RB,1,,Heidehof,Odiliapeel
5409RB,3,,Heidehof,Odiliapeel
5409RB,4,,Heidehof,Odiliapeel
5409RB,5,,Heidehof,Odiliapeel
5401BK,64,,Mr. van Coothstraat,Uden
5401BK,34,,Mr. van Coothstraat,Uden
5401AN,39,,St. Annastraat,Uden
5401AN,41,,St. Annastraat,Uden
5401AN,43,,St. Annastraat,Uden
5401AN,45,,St. Annastraat,Uden
5403ES,29,,Drossaard,Uden
5403ES,31,,Drossaard,Uden
5403ES,33,,Drossaard,Uden
5403ES,35,,Drossaard,Uden
5403ES,37,,Drossaard,Uden
5403ES,39,,Drossaard,Uden
5403ES,41,,Drossaard,Uden
5403ES,43,,Drossaard,Uden
5403ES,45,,Drossaard,Uden
5403ES,63,,Drossaard,Uden
5403ES,61,,Drossaard,Uden
5403ET,18,,Drossaard,Uden
5401EC,15,,Kapelstraat,Uden
5401ZT,9,,Oudekerkpad,Uden
5401ZT,7,,Oudekerkpad,Uden
5408XC,19,,Elandstraat,Volkel
5408XC,21,,Elandstraat,Volkel
5408XC,23,,Elandstraat,Volkel
5408XC,25,,Elandstraat,Volkel
5408XC,27,,Elandstraat,Volkel
5408XC,29,,Elandstraat,Volkel
5408XD,22,,Elandstraat,Volkel
5408XD,20,,Elandstraat,Volkel
5408XD,18,,Elandstraat,Volkel
5408XD,12,,Elandstraat,Volkel
5408XD,10,,Elandstraat,Volkel
5408XD,8,,Elandstraat,Volkel
5408XD,6,,Elandstraat,Volkel
5408XD,2,,Elandstraat,Volkel
5408XC,33,,Elandstraat,Volkel
5408XC,35,,Elandstraat,Volkel
5408XC,37,,Elandstraat,Volkel
5408XC,41,,Elandstraat,Volkel
5408XD,34,,Elandstraat,Volkel
5408XD,32,,Elandstraat,Volkel
5409BB,42,,Boekweitstraat,Odiliapeel
5409BB,46,,Boekweitstraat,Odiliapeel
5409BB,48,,Boekweitstraat,Odiliapeel
5409BB,50,,Boekweitstraat,Odiliapeel
5409BB,17,,Boekweitstraat,Odiliapeel
5403EM,610,,Landschrijversveld,Uden
5403EM,612,,Landschrijversveld,Uden
5403EM,614,,Landschrijversveld,Uden
5403EV,5,,Drossaard,Uden
5403EV,7,,Drossaard,Uden
5403EV,19,,Drossaard,Uden
5403EV,21,,Drossaard,Uden
5403ET,4,,Drossaard,Uden
5403ET,6,,Drossaard,Uden
5403EC,240,,Schoutenhoek,Uden
5403EC,238,,Schoutenhoek,Uden
5403EC,236,,Schoutenhoek,Uden
5403EC,234,,Schoutenhoek,Uden
5403EC,232,,Schoutenhoek,Uden
5403EC,230,,Schoutenhoek,Uden
5403EC,228,,Schoutenhoek,Uden
5401ED,91,,Burgemeester Buskensstraat,Uden
5401ED,93,,Burgemeester Buskensstraat,Uden
5405AX,5,,Rietdekkerstraat,Uden
5405BP,11,,Pannebakkerstraat,Uden
5405BP,18,,Pannebakkerstraat,Uden
5405BP,16,,Pannebakkerstraat,Uden
5405BP,14,,Pannebakkerstraat,Uden
5405BP,12,,Pannebakkerstraat,Uden
5405BP,10,,Pannebakkerstraat,Uden
5405BP,13,,Pannebakkerstraat,Uden
5405BP,15,,Pannebakkerstraat,Uden
5405BP,7,,Pannebakkerstraat,Uden
5405BP,1,,Pannebakkerstraat,Uden
5403WL,906,,Sieberg,Uden
5403WL,904,,Sieberg,Uden
5403WL,902,,Sieberg,Uden
5403WL,934,,Sieberg,Uden
5403WK,802,,Sieberg,Uden
5403WK,804,,Sieberg,Uden
5403WK,806,,Sieberg,Uden
5403WK,808,,Sieberg,Uden
5403WK,812,,Sieberg,Uden
5403WK,814,,Sieberg,Uden
5403WK,816,,Sieberg,Uden
5403WK,521,,Sieberg,Uden
5403WK,523,,Sieberg,Uden
5403WK,527,,Sieberg,Uden
5403WK,529,,Sieberg,Uden
5403WK,531,,Sieberg,Uden
5403WK,533,,Sieberg,Uden
5403WK,535,,Sieberg,Uden
5403WK,925,,Sieberg,Uden
5403WK,923,,Sieberg,Uden
5403WK,921,,Sieberg,Uden
5403WK,919,,Sieberg,Uden
5403WK,917,,Sieberg,Uden
5403WK,701,,Sieberg,Uden
5403WK,703,,Sieberg,Uden
5403WK,705,,Sieberg,Uden
5403WK,707,,Sieberg,Uden
5403WJ,702,,Sieberg,Uden
5403WJ,704,,Sieberg,Uden
5403WJ,706,,Sieberg,Uden
5403WJ,708,,Sieberg,Uden
5403WJ,915,,Sieberg,Uden
5403WJ,913,,Sieberg,Uden
5403WJ,911,,Sieberg,Uden
5403WJ,909,,Sieberg,Uden
5403WJ,907,,Sieberg,Uden
5403WJ,905,,Sieberg,Uden
5403WJ,901,,Sieberg,Uden
5403WJ,602,,Sieberg,Uden
5403WJ,604,,Sieberg,Uden
5403WJ,606,,Sieberg,Uden
5403WJ,608,,Sieberg,Uden
5403WJ,610,,Sieberg,Uden
5403WH,613,,Sieberg,Uden
5403WH,615,,Sieberg,Uden
5403WH,617,,Sieberg,Uden
5403WH,619,,Sieberg,Uden
5403WH,623,,Sieberg,Uden
5403WH,516,,Sieberg,Uden
5403WH,514,,Sieberg,Uden
5403WH,512,,Sieberg,Uden
5403WH,510,,Sieberg,Uden
5403WB,611,,Sieberg,Uden
5403WB,607,,Sieberg,Uden
5403WB,605,,Sieberg,Uden
5403WB,603,,Sieberg,Uden
5403WB,601,,Sieberg,Uden
5403WJ,903,,Sieberg,Uden
5403WG,408,,Sieberg,Uden
5401HB,23,,Nieuwe Markt,Uden
5401HB,21,,Nieuwe Markt,Uden
5401HB,19,,Nieuwe Markt,Uden
5401HB,17,,Nieuwe Markt,Uden
