9,8913HT,Reviusstraat,Leeuwarden
40,8925JM,Sassingastins,Leeuwarden
2,8911DV,Sint Anthonystraat,Leeuwarden
45,8912AA,Snekertrekweg,Leeuwarden
5,8921CS,Straat van Welgelegen,Leeuwarden
19,8911KB,Tuinen,Leeuwarden
5,8911KS,Turfmarkt,Leeuwarden
28,8911KX,Tweebaksmarkt,Leeuwarden
30,8911KX,Tweebaksmarkt,Leeuwarden
1,9086CP,Vitusleane,Hempens
36,8911LM,Weaze,Leeuwarden
24,8913CL,Westersingel,Leeuwarden
48,8913CL,Westersingel,Leeuwarden
15,8939AA,Wiardaplantage,Leeuwarden
90,8915KJ,Ypk fan der Fearwei,Leeuwarden
18,8938AP,Zuiderkruisweg,Leeuwarden
152,8921BN,Zuidvliet,Leeuwarden
117,8939ES,Frouwesân,Leeuwarden
41,8912AM,Celsiusweg,Leeuwarden
134,8931BW,Antillenweg,Leeuwarden
11,8917ER,Dammelaan,Leeuwarden
1,8921ES,Franklinstraat,Leeuwarden
1,8938BD,Aldebaranweg,Leeuwarden
20,8925HA,Atsmastate,Leeuwarden
84,8918GA,de Bird,Leeuwarden
1,8918EA,de Dulf,Leeuwarden
3,8913CN,Elizabethstraat,Leeuwarden
2,8915DM,Fedde Schurerwei,Leeuwarden
10,8935BS,Fioringras,Leeuwarden
66,8935BV,Fioringras,Leeuwarden
23,8913CV,Fonteinstraat,Leeuwarden
49,8922CP,Goudenregenstraat,Leeuwarden
3,8922AR,Groningerstraat,Leeuwarden
27,8922EZ,Groningerstraatweg,Leeuwarden
11,8925DH,Bennemastate,Leeuwarden
8,9082AW,Canterlânswei,Miedum
54,8921ST,Coopmansstraat,Leeuwarden
1,8925EC,Hanckemastins,Leeuwarden
115,8933CK,Achter de Hoven,Leeuwarden
102,8932BP,Aert van der Neerstraat,Leeuwarden
9,8911KK,Droevendal,Leeuwarden
104,8922GN,Azaleastraat,Leeuwarden
118,8922GN,Azaleastraat,Leeuwarden
20,8915JA,Barend van der Veenwei,Leeuwarden
33,8918EB,de Dulf,Leeuwarden
73,8918EC,de Dulf,Leeuwarden
145,8918KE,de Gealanden,Leeuwarden
20,8933ED,van Asbeckstraat,Leeuwarden
1,8925GC,van Gheelstins,Leeuwarden
160,8933CT,Achter de Hoven,Leeuwarden
23,8935BN,Fioringras,Leeuwarden
14,8937AZ,Giekstraat,Leeuwarden
42,8935BL,Beemdgras,Leeuwarden
30,8931AS,Bordineweg,Leeuwarden
2,8923CK,Familie van der Weijstraat,Leeuwarden
7,8926KL,Friesburg,Leeuwarden
33,8926KL,Friesburg,Leeuwarden
9,8937AW,Giekstraat,Leeuwarden
32,8935BV,Fioringras,Leeuwarden
9,8915HW,Barend van der Veenwei,Leeuwarden
13,8926XB,Alddiel,Leeuwarden
2,8925HB,Atsmastate,Leeuwarden
28,8921TK,Boerhaavestraat,Leeuwarden
19,8938BH,Adonisweg,Leeuwarden
37,9084BB,Buorren,Goutum
42,8931BX,Antillenweg,Leeuwarden
46,8931BX,Antillenweg,Leeuwarden
11,8916EL,Averkampstraat,Leeuwarden
1,8913EG,Bildtsestraat,Leeuwarden
4,8913EG,Bildtsestraat,Leeuwarden
60,8932BX,Cornelis Trooststraat,Leeuwarden
66,8932BX,Cornelis Trooststraat,Leeuwarden
68,8932BX,Cornelis Trooststraat,Leeuwarden
76,8932BX,Cornelis Trooststraat,Leeuwarden
78,8932BX,Cornelis Trooststraat,Leeuwarden
80,8932BX,Cornelis Trooststraat,Leeuwarden
84,8932BX,Cornelis Trooststraat,Leeuwarden
90,8932BX,Cornelis Trooststraat,Leeuwarden
94,8932BX,Cornelis Trooststraat,Leeuwarden
96,8932BX,Cornelis Trooststraat,Leeuwarden
100,8932BX,Cornelis Trooststraat,Leeuwarden
97,8933AH,Achter de Hoven,Leeuwarden
117,8933CK,Achter de Hoven,Leeuwarden
137,8933CL,Achter de Hoven,Leeuwarden
166,8933CT,Achter de Hoven,Leeuwarden
178,8933CT,Achter de Hoven,Leeuwarden
182,8933CT,Achter de Hoven,Leeuwarden
186,8933CT,Achter de Hoven,Leeuwarden
188,8933CT,Achter de Hoven,Leeuwarden
206,8933CV,Achter de Hoven,Leeuwarden
223,8933CM,Achter de Hoven,Leeuwarden
237,8933CM,Achter de Hoven,Leeuwarden
239,8933CM,Achter de Hoven,Leeuwarden
243,8933CM,Achter de Hoven,Leeuwarden
249,8933CM,Achter de Hoven,Leeuwarden
253,8933CM,Achter de Hoven,Leeuwarden
257,8933CM,Achter de Hoven,Leeuwarden
261,8933CM,Achter de Hoven,Leeuwarden
268,8933CX,Achter de Hoven,Leeuwarden
273,8933CN,Achter de Hoven,Leeuwarden
275,8933CN,Achter de Hoven,Leeuwarden
285,8933CN,Achter de Hoven,Leeuwarden
340,8933DA,Achter de Hoven,Leeuwarden
5,8924BP,Abeelstraat,Leeuwarden
9,8924BP,Abeelstraat,Leeuwarden
12,8924BT,Abeelstraat,Leeuwarden
15,8924BP,Abeelstraat,Leeuwarden
35,8924BR,Abeelstraat,Leeuwarden
51,8924BS,Abeelstraat,Leeuwarden
6,8932LW,Adriaen Brouwerstraat,Leeuwarden
73,8931EP,Nijlânsdyk,Leeuwarden
10,8911HE,Kleine Hoogstraat,Leeuwarden
5,8914AN,Aagje Dekenstraat,Leeuwarden
3,8937BD,Aakstraat,Leeuwarden
5,8937BD,Aakstraat,Leeuwarden
13,8937BE,Aakstraat,Leeuwarden
6,8919AG,Aan de Jelsumervaart,Leeuwarden
34,8921ER,Accamastraat,Leeuwarden
37,8921EP,Accamastraat,Leeuwarden
17,8913GL,Achlumerstraat,Leeuwarden
18,8913GM,Achlumerstraat,Leeuwarden
24,8913GN,Achlumerstraat,Leeuwarden
30,8913GN,Achlumerstraat,Leeuwarden
25,8911GD,Achter de Grote Kerk,Leeuwarden
11,8933AG,Achter de Hoven,Leeuwarden
15,8933AG,Achter de Hoven,Leeuwarden
81,8933AH,Achter de Hoven,Leeuwarden
5,8932EC,Albert Cuypstraat,Leeuwarden
7,8932EC,Albert Cuypstraat,Leeuwarden
