2152RK,3,,Warwijcksepoort,Nieuw-Vennep
2152RG,26,,Zuiderpoort,Nieuw-Vennep
2152RG,28,,Zuiderpoort,Nieuw-Vennep
2152RG,30,,Zuiderpoort,Nieuw-Vennep
2152RG,32,,Zuiderpoort,Nieuw-Vennep
2152RG,34,,Zuiderpoort,Nieuw-Vennep
2152RG,36,,Zuiderpoort,Nieuw-Vennep
2152RG,38,,Zuiderpoort,Nieuw-Vennep
2152RG,40,,Zuiderpoort,Nieuw-Vennep
2152RG,42,,Zuiderpoort,Nieuw-Vennep
2152RG,44,,Zuiderpoort,Nieuw-Vennep
2152RG,46,,Zuiderpoort,Nieuw-Vennep
2152RG,48,,Zuiderpoort,Nieuw-Vennep
2152RG,50,,Zuiderpoort,Nieuw-Vennep
2152NB,1476,,IJweg,Nieuw-Vennep
2152RE,69,,Rijnpoort,Nieuw-Vennep
2152RE,71,,Rijnpoort,Nieuw-Vennep
2152RB,70,,Regulierspoort,Nieuw-Vennep
2152RB,72,,Regulierspoort,Nieuw-Vennep
2152RB,74,,Regulierspoort,Nieuw-Vennep
2152RB,76,,Regulierspoort,Nieuw-Vennep
2152RB,78,,Regulierspoort,Nieuw-Vennep
2152JD,58,,Figarolaan,Nieuw-Vennep
2152JD,60,,Figarolaan,Nieuw-Vennep
2152JD,62,,Figarolaan,Nieuw-Vennep
2152JD,64,,Figarolaan,Nieuw-Vennep
2152JD,66,,Figarolaan,Nieuw-Vennep
2152JD,68,,Figarolaan,Nieuw-Vennep
2152JD,70,,Figarolaan,Nieuw-Vennep
2152JD,72,,Figarolaan,Nieuw-Vennep
2152JD,74,,Figarolaan,Nieuw-Vennep
2152JE,1,,Figarolaan,Nieuw-Vennep
2152JE,3,,Figarolaan,Nieuw-Vennep
2152JE,5,,Figarolaan,Nieuw-Vennep
2152JE,7,,Figarolaan,Nieuw-Vennep
2152JE,9,,Figarolaan,Nieuw-Vennep
2152JE,11,,Figarolaan,Nieuw-Vennep
2152JE,13,,Figarolaan,Nieuw-Vennep
1119PD,225,,Boeingavenue,Schiphol-Rijk
1119PD,227,,Boeingavenue,Schiphol-Rijk
1119NW,63,,Tupolevlaan,Schiphol-Rijk
1119NX,2,,Tupolevlaan,Schiphol-Rijk
1119NX,4,,Tupolevlaan,Schiphol-Rijk
1119PE,64,,Boeingavenue,Schiphol-Rijk
2153ES,25,,Dotterbloemstraat,Nieuw-Vennep
2153ES,27,,Dotterbloemstraat,Nieuw-Vennep
2153CE,75,,Wikkestraat,Nieuw-Vennep
2152JE,15,,Figarolaan,Nieuw-Vennep
2152JE,17,,Figarolaan,Nieuw-Vennep
2152JE,19,,Figarolaan,Nieuw-Vennep
2152JE,21,,Figarolaan,Nieuw-Vennep
2152JE,23,,Figarolaan,Nieuw-Vennep
2152JE,25,,Figarolaan,Nieuw-Vennep
2152JB,104,,Griseldalaan,Nieuw-Vennep
2152JB,106,,Griseldalaan,Nieuw-Vennep
2152JC,2,,Figarolaan,Nieuw-Vennep
2152JC,4,,Figarolaan,Nieuw-Vennep
2152JC,6,,Figarolaan,Nieuw-Vennep
2152JC,8,,Figarolaan,Nieuw-Vennep
2152JC,10,,Figarolaan,Nieuw-Vennep
2152JC,12,,Figarolaan,Nieuw-Vennep
2152JC,14,,Figarolaan,Nieuw-Vennep
2152JC,16,,Figarolaan,Nieuw-Vennep
2152JC,18,,Figarolaan,Nieuw-Vennep
2152JC,20,,Figarolaan,Nieuw-Vennep
2152JC,22,,Figarolaan,Nieuw-Vennep
2152JC,24,,Figarolaan,Nieuw-Vennep
2152JC,26,,Figarolaan,Nieuw-Vennep
2152RE,59,,Rijnpoort,Nieuw-Vennep
2152PG,79,,Faustlaan,Nieuw-Vennep
2152PG,81,,Faustlaan,Nieuw-Vennep
2152PG,83,,Faustlaan,Nieuw-Vennep
2152PG,85,,Faustlaan,Nieuw-Vennep
2152PG,87,,Faustlaan,Nieuw-Vennep
2152PG,89,,Faustlaan,Nieuw-Vennep
2152PG,91,,Faustlaan,Nieuw-Vennep
2152PG,93,,Faustlaan,Nieuw-Vennep
2153ES,31,,Dotterbloemstraat,Nieuw-Vennep
2153ES,33,,Dotterbloemstraat,Nieuw-Vennep
2153ES,35,,Dotterbloemstraat,Nieuw-Vennep
2153ES,37,,Dotterbloemstraat,Nieuw-Vennep
2153EM,62,,Nachtschadestraat,Nieuw-Vennep
2153EM,64,,Nachtschadestraat,Nieuw-Vennep
2153EM,66,,Nachtschadestraat,Nieuw-Vennep
2153EM,68,,Nachtschadestraat,Nieuw-Vennep
2153EM,70,,Nachtschadestraat,Nieuw-Vennep
2153EN,87,,Nachtschadestraat,Nieuw-Vennep
2153EN,89,,Nachtschadestraat,Nieuw-Vennep
2153EN,91,,Nachtschadestraat,Nieuw-Vennep
2153EN,93,,Nachtschadestraat,Nieuw-Vennep
2153EN,95,,Nachtschadestraat,Nieuw-Vennep
2153EN,97,,Nachtschadestraat,Nieuw-Vennep
2153EN,99,,Nachtschadestraat,Nieuw-Vennep
2153EN,101,,Nachtschadestraat,Nieuw-Vennep
2152RB,80,,Regulierspoort,Nieuw-Vennep
2152RC,10,,Regulierspoort,Nieuw-Vennep
2152RC,12,,Regulierspoort,Nieuw-Vennep
2152RC,14,,Regulierspoort,Nieuw-Vennep
2152RC,16,,Regulierspoort,Nieuw-Vennep
2152RC,18,,Regulierspoort,Nieuw-Vennep
2152RC,20,,Regulierspoort,Nieuw-Vennep
2152RC,22,,Regulierspoort,Nieuw-Vennep
2152RC,24,,Regulierspoort,Nieuw-Vennep
2152RC,26,,Regulierspoort,Nieuw-Vennep
2152RD,1,,Rijnpoort,Nieuw-Vennep
2152RD,3,,Rijnpoort,Nieuw-Vennep
2152RD,5,,Rijnpoort,Nieuw-Vennep
2152PD,31,,Faustlaan,Nieuw-Vennep
2152PD,33,,Faustlaan,Nieuw-Vennep
2152PD,35,,Faustlaan,Nieuw-Vennep
2142EW,19,,Cruquiuszoom,Cruquius
2152LG,154,,Beurtschipper,Nieuw-Vennep
2152LG,156,,Beurtschipper,Nieuw-Vennep
2152LG,158,,Beurtschipper,Nieuw-Vennep
2152JM,7,,Carmenlaan,Nieuw-Vennep
2152JM,9,,Carmenlaan,Nieuw-Vennep
2152JM,11,,Carmenlaan,Nieuw-Vennep
2152JM,13,,Carmenlaan,Nieuw-Vennep
2152JM,15,,Carmenlaan,Nieuw-Vennep
1119PE,65,,Boeingavenue,Schiphol-Rijk
