8,2353GC,Holtlant,Leiderdorp
12,2353GC,Holtlant,Leiderdorp
13,2353GD,Holtlant,Leiderdorp
14,2353GC,Holtlant,Leiderdorp
15,2353GD,Holtlant,Leiderdorp
16,2353GC,Holtlant,Leiderdorp
17,2353GD,Holtlant,Leiderdorp
4,2353GC,Holtlant,Leiderdorp
64,2353RK,Klimopzoom,Leiderdorp
4,2353RM,Hondsdrafzoom,Leiderdorp
11,2353RM,Hondsdrafzoom,Leiderdorp
2,2353RM,Hondsdrafzoom,Leiderdorp
6,2353RM,Hondsdrafzoom,Leiderdorp
3,2353RM,Hondsdrafzoom,Leiderdorp
1,2353RM,Hondsdrafzoom,Leiderdorp
60,2353RK,Klimopzoom,Leiderdorp
58,2353RK,Klimopzoom,Leiderdorp
84,2353KG,Muzenlaan,Leiderdorp
82,2353KG,Muzenlaan,Leiderdorp
76,2353KG,Muzenlaan,Leiderdorp
68,2353KG,Muzenlaan,Leiderdorp
72,2353KG,Muzenlaan,Leiderdorp
70,2353KG,Muzenlaan,Leiderdorp
86,2353KG,Muzenlaan,Leiderdorp
66,2353KG,Muzenlaan,Leiderdorp
64,2353KG,Muzenlaan,Leiderdorp
135,2353KD,Muzenlaan,Leiderdorp
88,2353KG,Muzenlaan,Leiderdorp
90,2353KG,Muzenlaan,Leiderdorp
94,2353KG,Muzenlaan,Leiderdorp
99,2353KC,Muzenlaan,Leiderdorp
122,2351EH,Mauritssingel,Leiderdorp
117,2353KD,Muzenlaan,Leiderdorp
5,2353LA,Godfried Bomansstraat,Leiderdorp
133,2353KD,Muzenlaan,Leiderdorp
7,2353BZ,Bloemerd,Leiderdorp
14,2353LC,Cees Nooteboompad,Leiderdorp
6,2353CJ,Camphuysendreef,Leiderdorp
16,2353KN,Alphons Diepenbrocksingel,Leiderdorp
15,2353LK,Hella Haassestraat,Leiderdorp
34,2351SR,Doeslaan,Leiderdorp
11,2353JL,Wederikkreek,Leiderdorp
21,2353JE,Waterbieskreek,Leiderdorp
1,2352CE,Engelendaal,Leiderdorp
7,2353JL,Wederikkreek,Leiderdorp
13,2352BZ,Weversbaan,Leiderdorp
52,2352BC,Bosdreef,Leiderdorp
57,2352BC,Bosdreef,Leiderdorp
51,2352BC,Bosdreef,Leiderdorp
50,2352BC,Bosdreef,Leiderdorp
48,2352BC,Bosdreef,Leiderdorp
47,2352BC,Bosdreef,Leiderdorp
46,2352BC,Bosdreef,Leiderdorp
32,2353LL,Jan de Hartogplein,Leiderdorp
5,2353LB,Annie M G Schmidtstraat,Leiderdorp
6,2353LB,Annie M G Schmidtstraat,Leiderdorp
7,2353LD,Harry Mulischstraat,Leiderdorp
9,2353LB,Annie M G Schmidtstraat,Leiderdorp
9,2353LD,Harry Mulischstraat,Leiderdorp
11,2353LB,Annie M G Schmidtstraat,Leiderdorp
12,2353LB,Annie M G Schmidtstraat,Leiderdorp
13,2353LB,Annie M G Schmidtstraat,Leiderdorp
14,2353LB,Annie M G Schmidtstraat,Leiderdorp
16,2353LB,Annie M G Schmidtstraat,Leiderdorp
18,2353LB,Annie M G Schmidtstraat,Leiderdorp
8,2353LB,Annie M G Schmidtstraat,Leiderdorp
153,2353KD,Muzenlaan,Leiderdorp
141,2353KD,Muzenlaan,Leiderdorp
143,2353KD,Muzenlaan,Leiderdorp
145,2353KD,Muzenlaan,Leiderdorp
147,2353KD,Muzenlaan,Leiderdorp
149,2353KD,Muzenlaan,Leiderdorp
3,2353LB,Annie M G Schmidtstraat,Leiderdorp
151,2353KD,Muzenlaan,Leiderdorp
5,2353LD,Harry Mulischstraat,Leiderdorp
3,2353LA,Godfried Bomansstraat,Leiderdorp
7,2353LA,Godfried Bomansstraat,Leiderdorp
9,2353LA,Godfried Bomansstraat,Leiderdorp
11,2353LA,Godfried Bomansstraat,Leiderdorp
13,2353LA,Godfried Bomansstraat,Leiderdorp
7,2353KK,Bernard Haitinkstraat,Leiderdorp
2,2353KR,Willem van Otterloostraat,Leiderdorp
216,2353KH,Muzenlaan,Leiderdorp
210,2353KH,Muzenlaan,Leiderdorp
212,2353KH,Muzenlaan,Leiderdorp
2,2353KZ,Bernard Zweersstraat,Leiderdorp
44,2352RJ,Heemraadlaan,Leiderdorp
214,2353KH,Muzenlaan,Leiderdorp
33,2353KP,Alphons Diepenbrocksingel,Leiderdorp
198,2353KH,Muzenlaan,Leiderdorp
196,2353KH,Muzenlaan,Leiderdorp
5,2353KZ,Bernard Zweersstraat,Leiderdorp
192,2353KH,Muzenlaan,Leiderdorp
13,2353SH,Griffioen,Leiderdorp
3,2353KZ,Bernard Zweersstraat,Leiderdorp
194,2353KH,Muzenlaan,Leiderdorp
4,2353KZ,Bernard Zweersstraat,Leiderdorp
1,2353KX,Willem Pijperstraat,Leiderdorp
48,2353BC,Vossiuslaan,Leiderdorp
18,2353HZ,Ereprijskamp,Leiderdorp
172,2353KH,Muzenlaan,Leiderdorp
132,2353KG,Muzenlaan,Leiderdorp
130,2353KG,Muzenlaan,Leiderdorp
128,2353KG,Muzenlaan,Leiderdorp
148,2353KH,Muzenlaan,Leiderdorp
154,2353KH,Muzenlaan,Leiderdorp
124,2353KG,Muzenlaan,Leiderdorp
136,2353KH,Muzenlaan,Leiderdorp
1,2351GN,Margrietstraat,Leiderdorp
8,2353MB,Buitenhoflaan,Leiderdorp
2,2353LP,Simon Carmiggeltzijde,Leiderdorp
10,2352JL,Tollenaersingel,Leiderdorp
3,2353LP,Simon Carmiggeltzijde,Leiderdorp
8,2352RA,Van der Marckstraat,Leiderdorp
9,2353LR,Guus Kuyerzijde,Leiderdorp
8,2353LR,Guus Kuyerzijde,Leiderdorp
7,2353LR,Guus Kuyerzijde,Leiderdorp
6,2353LR,Guus Kuyerzijde,Leiderdorp
3,2353LR,Guus Kuyerzijde,Leiderdorp
10,2351RN,Anna van Burenstraat,Leiderdorp
2,2353KM,Hans Vonkstraat,Leiderdorp
30,2353MB,Buitenhoflaan,Leiderdorp
1,2353LD,Harry Mulischstraat,Leiderdorp
41,2353WH,Wagenmaker,Leiderdorp
1,2353KR,Willem van Otterloostraat,Leiderdorp
4,2353KR,Willem van Otterloostraat,Leiderdorp
5,2353KR,Willem van Otterloostraat,Leiderdorp
6,2353KR,Willem van Otterloostraat,Leiderdorp
17,2353LK,Hella Haassestraat,Leiderdorp
106,2353HG,Klaprooskamp,Leiderdorp
110,2353HG,Klaprooskamp,Leiderdorp
109,2353HC,Klaprooskamp,Leiderdorp
107,2353HC,Klaprooskamp,Leiderdorp
111,2353HC,Klaprooskamp,Leiderdorp
112,2353HG,Klaprooskamp,Leiderdorp
23,2353LL,Jan de Hartogplein,Leiderdorp
218,2352JG,Van der Valk Boumanweg,Leiderdorp
51,2353LL,Jan de Hartogplein,Leiderdorp
22,2353LL,Jan de Hartogplein,Leiderdorp
50,2353LL,Jan de Hartogplein,Leiderdorp
29,2353LL,Jan de Hartogplein,Leiderdorp
67,2353LM,Jan de Hartogplein,Leiderdorp
68,2353LM,Jan de Hartogplein,Leiderdorp
21,2353DA,Burchtplein,Leiderdorp
2,2353KK,Bernard Haitinkstraat,Leiderdorp
8,2352AP,Meijelaan,Leiderdorp
49,2353VX,Nievaartpad,Leiderdorp
59,2353PC,Rozemarijntuin,Leiderdorp
136,2351AP,Hoofdstraat,Leiderdorp
202,2353KH,Muzenlaan,Leiderdorp
200,2353KH,Muzenlaan,Leiderdorp
208,2353KH,Muzenlaan,Leiderdorp
54,2351AZ,Achthovenerweg,Leiderdorp
204,2353KH,Muzenlaan,Leiderdorp
206,2353KH,Muzenlaan,Leiderdorp
1,2353KZ,Bernard Zweersstraat,Leiderdorp
20,2353LV,Jaap ter Haarsingel,Leiderdorp
28,2353KE,Muzenlaan,Leiderdorp
26,2353KE,Muzenlaan,Leiderdorp
24,2353KE,Muzenlaan,Leiderdorp
32,2352BN,Zijlbaan,Leiderdorp
40,2352BN,Zijlbaan,Leiderdorp
42,2352BN,Zijlbaan,Leiderdorp
44,2352BN,Zijlbaan,Leiderdorp
46,2352BN,Zijlbaan,Leiderdorp
3,2352AZ,Sisalbaan,Leiderdorp
1,2352AZ,Sisalbaan,Leiderdorp
15,2352AZ,Sisalbaan,Leiderdorp
90,2351AM,Hoofdstraat,Leiderdorp
32,2351SW,Jaagpad,Leiderdorp
92,2351AM,Hoofdstraat,Leiderdorp
166,2353GL,Cor Gordijnsingel,Leiderdorp
167,2353GL,Cor Gordijnsingel,Leiderdorp
164,2353GL,Cor Gordijnsingel,Leiderdorp
163,2353GL,Cor Gordijnsingel,Leiderdorp
162,2353GL,Cor Gordijnsingel,Leiderdorp
160,2353GL,Cor Gordijnsingel,Leiderdorp
174,2353GL,Cor Gordijnsingel,Leiderdorp
168,2353GL,Cor Gordijnsingel,Leiderdorp
169,2353GL,Cor Gordijnsingel,Leiderdorp
170,2353GL,Cor Gordijnsingel,Leiderdorp
171,2353GL,Cor Gordijnsingel,Leiderdorp
173,2353GL,Cor Gordijnsingel,Leiderdorp
161,2353GL,Cor Gordijnsingel,Leiderdorp
21,2353SP,Poortershof,Leiderdorp
12,2353SP,Poortershof,Leiderdorp
3,2353ME,Buitenhoflaan,Leiderdorp
13,2353SP,Poortershof,Leiderdorp
14,2353SP,Poortershof,Leiderdorp
17,2353SP,Poortershof,Leiderdorp
1,2353SM,Nievaartpad,Leiderdorp
18,2353SP,Poortershof,Leiderdorp
16,2353SP,Poortershof,Leiderdorp
106,2353KG,Muzenlaan,Leiderdorp
104,2353KG,Muzenlaan,Leiderdorp
166,2353KH,Muzenlaan,Leiderdorp
120,2353KG,Muzenlaan,Leiderdorp
156,2353KH,Muzenlaan,Leiderdorp
158,2353KH,Muzenlaan,Leiderdorp
160,2353KH,Muzenlaan,Leiderdorp
152,2353KH,Muzenlaan,Leiderdorp
138,2353KH,Muzenlaan,Leiderdorp
114,2353KG,Muzenlaan,Leiderdorp
112,2353KG,Muzenlaan,Leiderdorp
122,2353KG,Muzenlaan,Leiderdorp
45,2353JA,Dotterbloemkreek,Leiderdorp
118,2353KG,Muzenlaan,Leiderdorp
162,2353KH,Muzenlaan,Leiderdorp
116,2353KG,Muzenlaan,Leiderdorp
146,2353KH,Muzenlaan,Leiderdorp
174,2353KH,Muzenlaan,Leiderdorp
176,2353KH,Muzenlaan,Leiderdorp
178,2353KH,Muzenlaan,Leiderdorp
180,2353KH,Muzenlaan,Leiderdorp
184,2353KH,Muzenlaan,Leiderdorp
31,2353SJ,Heinsiuslaan,Leiderdorp
100,2353VH,Poldertocht,Leiderdorp
28,2353SJ,Heinsiuslaan,Leiderdorp
80,2353VH,Poldertocht,Leiderdorp
4,2353LV,Jaap ter Haarsingel,Leiderdorp
172,2353DE,Dijkwacht,Leiderdorp
2,2353LV,Jaap ter Haarsingel,Leiderdorp
9,2353LK,Hella Haassestraat,Leiderdorp
29,2353KB,Muzenlaan,Leiderdorp
53,2351RC,Willem de Zwijgerlaan,Leiderdorp
36,2353BC,Vossiuslaan,Leiderdorp
2,2353LT,W F Hermanszijde,Leiderdorp
4,2353LR,Guus Kuyerzijde,Leiderdorp
25,2353LK,Hella Haassestraat,Leiderdorp
7,2353LK,Hella Haassestraat,Leiderdorp
41,2353KP,Alphons Diepenbrocksingel,Leiderdorp
39,2353KP,Alphons Diepenbrocksingel,Leiderdorp
37,2353KP,Alphons Diepenbrocksingel,Leiderdorp
36,2353KP,Alphons Diepenbrocksingel,Leiderdorp
40,2353KP,Alphons Diepenbrocksingel,Leiderdorp
190,2353KH,Muzenlaan,Leiderdorp
42,2353KP,Alphons Diepenbrocksingel,Leiderdorp
39,2352KP,Loevestein,Leiderdorp
5,2353LG,Simon Vinkenoogstraat,Leiderdorp
13,2353LG,Simon Vinkenoogstraat,Leiderdorp
10,2353LD,Harry Mulischstraat,Leiderdorp
129,2353KD,Muzenlaan,Leiderdorp
16,2353LH,Maarten 't Hartstraat,Leiderdorp
15,2353LD,Harry Mulischstraat,Leiderdorp
11,2353LG,Simon Vinkenoogstraat,Leiderdorp
12,2353LD,Harry Mulischstraat,Leiderdorp
13,2353LD,Harry Mulischstraat,Leiderdorp
14,2353LD,Harry Mulischstraat,Leiderdorp
21,2353LD,Harry Mulischstraat,Leiderdorp
43,2352KP,Loevestein,Leiderdorp
13,2353LC,Cees Nooteboompad,Leiderdorp
33,2353LL,Jan de Hartogplein,Leiderdorp
43,2353LL,Jan de Hartogplein,Leiderdorp
34,2353LL,Jan de Hartogplein,Leiderdorp
42,2353LL,Jan de Hartogplein,Leiderdorp
36,2353LL,Jan de Hartogplein,Leiderdorp
37,2353LL,Jan de Hartogplein,Leiderdorp
38,2353LL,Jan de Hartogplein,Leiderdorp
39,2353LL,Jan de Hartogplein,Leiderdorp
40,2353LL,Jan de Hartogplein,Leiderdorp
27,2353LL,Jan de Hartogplein,Leiderdorp
8,2353KM,Hans Vonkstraat,Leiderdorp
24,2353MA,Engelendaal,Leiderdorp
8,2353LV,Jaap ter Haarsingel,Leiderdorp
184,2352VH,Merelstraat,Leiderdorp
11,2353KJ,Eduard van Beinumsingel,Leiderdorp
13,2353KB,Muzenlaan,Leiderdorp
4,2353MA,Engelendaal,Leiderdorp
6,2353MA,Engelendaal,Leiderdorp
12,2353MA,Engelendaal,Leiderdorp
14,2353MA,Engelendaal,Leiderdorp
16,2353MA,Engelendaal,Leiderdorp
18,2353MA,Engelendaal,Leiderdorp
7,2353MD,Dom Helder Camaraplaats,Leiderdorp
20,2353MA,Engelendaal,Leiderdorp
14,2353KE,Muzenlaan,Leiderdorp
11,2353KB,Muzenlaan,Leiderdorp
34,2353MA,Engelendaal,Leiderdorp
44,2353MA,Engelendaal,Leiderdorp
40,2353MA,Engelendaal,Leiderdorp
36,2353MA,Engelendaal,Leiderdorp
15,2353KB,Muzenlaan,Leiderdorp
30,2353MA,Engelendaal,Leiderdorp
28,2353MA,Engelendaal,Leiderdorp
9,2353KB,Muzenlaan,Leiderdorp
26,2353MA,Engelendaal,Leiderdorp
6,2353LT,W F Hermanszijde,Leiderdorp
