14,8607AJ,Willem Santemastraat,Sneek
11,8607AH,Willem Santemastraat,Sneek
6,8608CL,Katzijlstraat,Sneek
46,8608XS,Monnikmolen,Sneek
34,8607KC,Spijkerboor,Sneek
6,8607KK,Deekland,Sneek
33,8607KJ,Rietschar,Sneek
23,8607KM,Slingerrak,Sneek
18,8607KM,Slingerrak,Sneek
56,8607DB,Akkerwinde,Sneek
37,8607GP,Atalanta,Sneek
38,8607GP,Atalanta,Sneek
10,8607GS,Jonkvrouw,Sneek
2,8607GS,Jonkvrouw,Sneek
1,8608XD,Kaar,Sneek
1,8606AX,de Colignystraat,Sneek
35,8606BK,de Bourbonstraat,Sneek
36,8606EJ,Frederik Hendrikstraat,Sneek
3,8601HE,Zoutkeet,Sneek
17,8607KM,Slingerrak,Sneek
75,8606EB,Willem de Zwijgerstraat,Sneek
24,8602CK,Breewijd,Sneek
61,8601ES,Geeuwkade,Sneek
5,8601EX,van Giffenstraat,Sneek
64,8608AJ,Scherhemstraat,Sneek
11,8604DB,het Vallaat,Sneek
73,8607KA,Spijkerboor,Sneek
41,8608XX,Monnikmolen,Sneek
42,8607DA,Akkerwinde,Sneek
14,8601EW,Almastraat,Sneek
17,8606AC,Willem Lodewijkstraat,Sneek
96,8608XH,Molenkrite,Sneek
112,8608XK,Molenkrite,Sneek
11,8608WG,de Vang,Sneek
3,8608XD,Kaar,Sneek
16,8608ZL,Koningsspil,Sneek
61,8607HT,Apollovlinder,Sneek
8,8607GS,Jonkvrouw,Sneek
28,8607GS,Jonkvrouw,Sneek
42,8607GS,Jonkvrouw,Sneek
47,8607GR,Jonkvrouw,Sneek
34,8607GW,Koolwitje,Sneek
7,8607GT,Zandoogje,Sneek
9,8607GT,Zandoogje,Sneek
13,8607GT,Zandoogje,Sneek
51,8607GV,Koolwitje,Sneek
1,8607KL,Lange Warren,Sneek
7,8607KL,Lange Warren,Sneek
6,8607DP,Vogelwikke,Sneek
20,8607KE,Gouden Boers,Sneek
21,8607KA,Spijkerboor,Sneek
20,8608ZV,Windbord,Sneek
79,8608XG,Molenkrite,Sneek
35,8608XX,Monnikmolen,Sneek
