6171TX,51,,Breinderweg,Stein
6171BN,1,,Brouns Moeshofstraat,Stein
6171BN,2,,Brouns Moeshofstraat,Stein
6171BN,3,,Brouns Moeshofstraat,Stein
6171BN,4,,Brouns Moeshofstraat,Stein
6171BN,5,,Brouns Moeshofstraat,Stein
6171BN,6,,Brouns Moeshofstraat,Stein
6171BN,7,,Brouns Moeshofstraat,Stein
6171BN,8,,Brouns Moeshofstraat,Stein
6171BN,9,,Brouns Moeshofstraat,Stein
6171BN,10,,Brouns Moeshofstraat,Stein
6171BN,11,,Brouns Moeshofstraat,Stein
6171BN,12,,Brouns Moeshofstraat,Stein
6171BN,14,,Brouns Moeshofstraat,Stein
6171SK,1,,Bruggeleen,Stein
6171SK,2,,Bruggeleen,Stein
6171SK,3,,Bruggeleen,Stein
6171SK,4,,Bruggeleen,Stein
6171SK,5,,Bruggeleen,Stein
6171SK,6,,Bruggeleen,Stein
6171SK,7,,Bruggeleen,Stein
6171SK,8,,Bruggeleen,Stein
6171SK,9,,Bruggeleen,Stein
6171SK,10,,Bruggeleen,Stein
6171SK,11,,Bruggeleen,Stein
6171SK,12,,Bruggeleen,Stein
6171SK,13,,Bruggeleen,Stein
6171SK,14,,Bruggeleen,Stein
6171SK,16,,Bruggeleen,Stein
6171SK,18,,Bruggeleen,Stein
6171SK,20,,Bruggeleen,Stein
6171SK,22,,Bruggeleen,Stein
6129CL,1,,Brugstraat,Urmond
6171EV,2,,Brugstraat,Stein
6129CL,2,,Brugstraat,Urmond
6129CL,3,,Brugstraat,Urmond
6129CL,4,,Brugstraat,Urmond
6171EV,4,,Brugstraat,Stein
6129CL,5,,Brugstraat,Urmond
6129CL,6,,Brugstraat,Urmond
6171EV,6,,Brugstraat,Stein
6129CL,7,,Brugstraat,Urmond
6129CL,8,,Brugstraat,Urmond
6129CL,10,,Brugstraat,Urmond
6129CL,11,,Brugstraat,Urmond
6171ET,11,,Brugstraat,Stein
6171EV,12,,Brugstraat,Stein
6129CL,12,,Brugstraat,Urmond
6171ET,13,,Brugstraat,Stein
6171EV,14,,Brugstraat,Stein
6129CL,14,,Brugstraat,Urmond
6129CL,16,,Brugstraat,Urmond
6129CL,18,,Brugstraat,Urmond
6171ET,21,,Brugstraat,Stein
6171EV,24,,Brugstraat,Stein
6171ET,25,,Brugstraat,Stein
6171EV,26,,Brugstraat,Stein
6171ET,27,,Brugstraat,Stein
6171EV,28,,Brugstraat,Stein
6171EV,30,,Brugstraat,Stein
