8,1444EW,G. Leegwaterhof,Purmerend
15,1447AJ,Grevelingenmeer,Purmerend
152,1447AT,Grevelingenmeer,Purmerend
155,1447AM,Grevelingenmeer,Purmerend
159,1447AM,Grevelingenmeer,Purmerend
59,1443LB,Hannie Schaftstraat,Purmerend
64,1443LE,Hannie Schaftstraat,Purmerend
7,1443LA,Hannie Schaftstraat,Purmerend
25,1446HL,Parkstee,Purmerend
55,1448VL,Rumbastraat,Purmerend
10,1447KG,Naardermeer,Purmerend
31,1447DB,Mergelland,Purmerend
67,1443WH,Vrouwenzandstraat,Purmerend
62,1444GZ,Wipmolen,Purmerend
59,1446EJ,Schaardijk,Purmerend
6,1443KB,Gouwzeestraat,Purmerend
34,1441PT,Dovenetelstraat,Purmerend
38,1442AR,Etta Palmstraat,Purmerend
36,1448CK,Eufraatlaan,Purmerend
13,1445EA,Geersstraat,Purmerend
56,1446CZ,Graanstraat,Purmerend
75,1446CW,Graanstraat,Purmerend
145,1443WS,Dr. Albert Schweitzerlaan,Purmerend
32,1448WN,Falconstraat,Purmerend
36,1445EB,Geersstraat,Purmerend
31,1445GG,Gemetstraat,Purmerend
106,1447AS,Grevelingenmeer,Purmerend
118,1442PZ,Flevostraat,Purmerend
44,1445GG,Gemetstraat,Purmerend
16,1447EB,Drechterland,Purmerend
16,1442PZ,Flevostraat,Purmerend
32,1446CS,Gerststraat,Purmerend
43,1446CR,Gerststraat,Purmerend
63,1446CR,Gerststraat,Purmerend
189,1447AP,Grevelingenmeer,Purmerend
217,1447AP,Grevelingenmeer,Purmerend
36,1441SZ,Reigersbek,Purmerend
77,1442BJ,Rosa Manushof,Purmerend
47,1444GM,Paltrokmolen,Purmerend
10,1448GG,Retiropark,Purmerend
25,1448BM,Rotanstraat,Purmerend
61,1448BM,Rotanstraat,Purmerend
4,1441DE,Plantsoengracht,Purmerend
11,1441CW,Plantsoenstraat,Purmerend
44,1445HP,Riekstraat,Purmerend
11,1445KE,Rietdekkerstraat,Purmerend
35,1445KG,Rietdekkerstraat,Purmerend
81,1448KD,Rotterdamhaven,Purmerend
16,1441HV,Rozenstraat,Purmerend
137,1446EN,Papaverstraat,Purmerend
24,1446EP,Papaverstraat,Purmerend
11,1441ZT,Plataanstate,Purmerend
1004,1444TZ,Rietgorsplein,Purmerend
240,1444TJ,Rietgorsplein,Purmerend
64,1441HV,Rozenstraat,Purmerend
59,1446EM,Papaverstraat,Purmerend
193,1448ME,Zambezilaan,Purmerend
36,1444HD,W. v.d. Brinkstraat,Purmerend
37,1441LP,Veenmossingel,Purmerend
43,1445KG,Rietdekkerstraat,Purmerend
126,1446GL,Walakker,Purmerend
68,1448NL,Abel Tasmanplein,Purmerend
5,1445GJ,Achelpad,Purmerend
257,1443HH,Anne Franklaan,Purmerend
35,1441CR,Gouw,Purmerend
513,1445CR,Overlanderstraat,Purmerend
12,1443LH,Rudolf Garrelsstraat,Purmerend
1,1447KP,Van Burgplein,Purmerend
20,1445EK,Arestraat,Purmerend
15,1442SG,Eemstraat,Purmerend
29,1441TJ,Dotterbloem,Purmerend
288,1443KJ,Gouwzeestraat,Purmerend
535,1445CS,Overlanderstraat,Purmerend
29,1441TA,Ooievaarsbek,Purmerend
74,1442CR,Van IJsendijkstraat,Purmerend
124,1443AX,Planetenstraat,Purmerend
29,1442RP,Rijnstraat,Purmerend
143,1447AM,Grevelingenmeer,Purmerend
105,1441JV,Weteringstraat,Purmerend
98,1442XP,Cavaljéplein,Purmerend
86,1447ZM,Dom Helder Camarastraat,Purmerend
46,1447WV,Ruth Firststraat,Purmerend
122,1447HT,Clara Visserstraat,Purmerend
14,1445GJ,Achelpad,Purmerend
50,1445RV,Ploegstraat,Purmerend
6,1441TG,Vlasleeuwenbek,Purmerend
29,1447BS,Salland,Purmerend
11,1443XD,Schalmeistraat,Purmerend
14,1443XD,Schalmeistraat,Purmerend
78,1442PL,Rivierenlaan,Purmerend
81,1442PC,Rivierenlaan,Purmerend
84,1442PL,Rivierenlaan,Purmerend
88,1442PM,Rivierenlaan,Purmerend
29,1448BM,Rotanstraat,Purmerend
39,1448BM,Rotanstraat,Purmerend
57,1448BM,Rotanstraat,Purmerend
57,1447BS,Salland,Purmerend
9,1447BS,Salland,Purmerend
11,1448VW,Salsastraat,Purmerend
3,1442SB,Scheldestraat,Purmerend
33,1442SB,Scheldestraat,Purmerend
37,1442SB,Scheldestraat,Purmerend
6,1441ZZ,Robiniastate,Purmerend
3,1448TS,Rocky Mountainsstraat,Purmerend
1,1445EM,Roedestraat,Purmerend
25,1443JH,Tjalkstraat,Purmerend
28,1443JK,Tjalkstraat,Purmerend
33,1443JJ,Tjalkstraat,Purmerend
28,1441BN,Tuinhof,Purmerend
124,1445MD,Stremselstraat,Purmerend
138,1445MD,Stremselstraat,Purmerend
101,1448NE,Sydneystraat,Purmerend
125,1448NE,Sydneystraat,Purmerend
54,1443JL,Tjalkstraat,Purmerend
59,1443JJ,Tjalkstraat,Purmerend
14,1446HD,Tuinstee,Purmerend
42,1445MC,Stremselstraat,Purmerend
46,1445MC,Stremselstraat,Purmerend
3,1448NC,Sydneystraat,Purmerend
41,1448NC,Sydneystraat,Purmerend
51,1448ND,Sydneystraat,Purmerend
11,1444GR,Tjasker,Purmerend
2,1444GR,Tjasker,Purmerend
45,1446HG,Tuinstee,Purmerend
50,1446HG,Tuinstee,Purmerend
8,1445MC,Stremselstraat,Purmerend
86,1445MD,Stremselstraat,Purmerend
92,1445MD,Stremselstraat,Purmerend
340,1444WT,Westervenne,Purmerend
42,1443TC,Wheredijk,Purmerend
52,1443TC,Wheredijk,Purmerend
62,1443TC,Wheredijk,Purmerend
57,1447EV,Winand Staringstraat,Purmerend
63,1447EV,Winand Staringstraat,Purmerend
4,1445RV,Ploegstraat,Purmerend
10,1441WR,Pluimgras,Purmerend
352,1444TM,Rietgorsplein,Purmerend
32,1442WH,Hooft Hasselaarstraat,Purmerend
59,1441HS,Chrysanthenstraat,Purmerend
130,1443XJ,Citerstraat,Purmerend
38,1444XV,De Roerdomp,Purmerend
51,1447PL,Brantjesstraat,Purmerend
30,1447JG,Brielsemeer,Purmerend
104,1445NN,Jachtwagenstraat,Purmerend
102,1446DR,Korenstraat,Purmerend
84,1446DG,Schoofstraat,Purmerend
286,1442XV,Cavaljéplein,Purmerend
19,1441ZV,Iepstate,Purmerend
164,1441JX,Jasmijnstraat,Purmerend
136,1442BD,Johanna Naberstraat,Purmerend
36,1442SE,Scheldestraat,Purmerend
105,1445PE,Speelwagenstraat,Purmerend
72,1447RS,Beethovenstraat,Purmerend
5,1441JE,Beatrixplein,Purmerend
4,1441WB,Beemdgras,Purmerend
13,1443EE,Boeierstraat,Purmerend
10,1447XJ,Steve Bikostraat,Purmerend
14,1445JT,Boekbinderstraat,Purmerend
27,1448CP,Tigrisstraat,Purmerend
70,1447XK,Steve Bikostraat,Purmerend
23,1441MH,Veenweidestraat,Purmerend
56,1441WG,Wollegras,Purmerend
221,1445DP,Overlanderstraat,Purmerend
850,1443DA,Meteorenweg,Purmerend
19,1441GS,Nieuwegracht,Purmerend
12,1443JK,Tjalkstraat,Purmerend
52,1446HC,Heemstee,Purmerend
155,1443WS,Dr. Albert Schweitzerlaan,Purmerend
294,1441RE,De Oeverlanden,Purmerend
29,1441WC,Struisgras,Purmerend
34,1448SL,Saint Helenabaai,Purmerend
26,1441GK,Vooruitstraat,Purmerend
43,1441SX,Reigersbek,Purmerend
41,1447XP,Mahatma Gandhistraat,Purmerend
8,1441VJ,Lepelblad,Purmerend
1,1441HP,Seringenstraat,Purmerend
23,1448ML,Zoeloestraat,Purmerend
9,1445RZ,Plantboorstraat,Purmerend
29,1446ER,Maishof,Purmerend
10,1442ED,Sportlaan,Purmerend
9,1447AJ,Grevelingenmeer,Purmerend
95,1447AN,Grevelingenmeer,Purmerend
102,1446HZ,Grotenhuysweg,Purmerend
100,1446HZ,Grotenhuysweg,Purmerend
37,1446HB,Heemstee,Purmerend
43,1446HB,Heemstee,Purmerend
104,1447JZ,Gooimeer,Purmerend
11,1447KW,Gooimeer,Purmerend
154,1443KE,Gouwzeestraat,Purmerend
164,1443KE,Gouwzeestraat,Purmerend
172,1443KE,Gouwzeestraat,Purmerend
103,1446HP,Parkstee,Purmerend
113,1446HP,Parkstee,Purmerend
123,1446HR,Parkstee,Purmerend
15,1441RH,Pinksterbloem,Purmerend
19,1441RH,Pinksterbloem,Purmerend
32,1441WR,Pluimgras,Purmerend
37,1441WS,Pluimgras,Purmerend
26,1445AA,Purmerenderweg,Purmerend
30,1445AA,Purmerenderweg,Purmerend
13,1448MD,Purmerland,Purmerend
169,1446HS,Parkstee,Purmerend
179,1446HS,Parkstee,Purmerend
39,1441RJ,Pinksterbloem,Purmerend
41,1441RJ,Pinksterbloem,Purmerend
44,1441RK,Pinksterbloem,Purmerend
7,1443ER,Pluutstraat,Purmerend
25,1441RR,Poelstraat,Purmerend
304,1448PZ,Purmerland,Purmerend
312,1448PZ,Purmerland,Purmerend
320,1448PZ,Purmerland,Purmerend
330,1448PZ,Purmerland,Purmerend
217,1446HV,Parkstee,Purmerend
31,1447VB,Sellingerbos,Purmerend
6,1447VC,Sellingerbos,Purmerend
9,1447VB,Sellingerbos,Purmerend
20,1441CZ,Soeteboomhof,Purmerend
26,1441CZ,Soeteboomhof,Purmerend
32,1441CZ,Soeteboomhof,Purmerend
45,1444VA,Sternstraat,Purmerend
6,1444VB,Sternstraat,Purmerend
3,1448BZ,Semerustraat,Purmerend
5,1448BZ,Semerustraat,Purmerend
10,1441HP,Seringenstraat,Purmerend
21,1441WT,Spaarbekkenkade,Purmerend
24,1441WT,Spaarbekkenkade,Purmerend
10,1445BG,Spinnerhof,Purmerend
143,1443BM,Triton,Purmerend
57,1441DP,Populierenstraat,Purmerend
2,1442BZ,Burgemeester D. Kooimanweg,Purmerend
16,1441HM,Jan van Egmondstraat,Purmerend
5,1441MK,Kraggeveenstraat,Purmerend
2,1442RV,Maasstraat,Purmerend
31,1448JN,Saarland,Purmerend
33,1448JN,Saarland,Purmerend
21,1448JN,Saarland,Purmerend
41,1448JN,Saarland,Purmerend
35,1448JN,Saarland,Purmerend
37,1448JN,Saarland,Purmerend
39,1448JN,Saarland,Purmerend
17,1448JN,Saarland,Purmerend
19,1448JN,Saarland,Purmerend
1,1448JN,Saarland,Purmerend
29,1448JN,Saarland,Purmerend
23,1448JN,Saarland,Purmerend
25,1448JN,Saarland,Purmerend
27,1448JN,Saarland,Purmerend
7,1444JD,Cornwallhof,Purmerend
52,1441DJ,Achterdijk,Purmerend
28,1441BR,Waagplein,Purmerend
6,1441BC,Hoogstraat,Purmerend
20,1441BR,Waagplein,Purmerend
19,1444JE,Kwadijkerpark,Purmerend
10,1444JE,Kwadijkerpark,Purmerend
12,1444JE,Kwadijkerpark,Purmerend
14,1444JE,Kwadijkerpark,Purmerend
30,1442DD,Toon Dupuisstraat,Purmerend
4,1448TR,Limbostraat,Purmerend
1,1446TL,Bellstraat,Purmerend
2,1444JE,Kwadijkerpark,Purmerend
4,1444JE,Kwadijkerpark,Purmerend
6,1444JE,Kwadijkerpark,Purmerend
8,1444JE,Kwadijkerpark,Purmerend
1,1444JD,Cornwallhof,Purmerend
3,1444JD,Cornwallhof,Purmerend
1,1441DP,Populierenstraat,Purmerend
11,1443BK,Antares,Purmerend
10,1443BK,Antares,Purmerend
9,1443BK,Antares,Purmerend
14,1443BK,Antares,Purmerend
13,1443BK,Antares,Purmerend
12,1443BK,Antares,Purmerend
8,1443BK,Antares,Purmerend
4,1443BK,Antares,Purmerend
3,1443BK,Antares,Purmerend
2,1443BK,Antares,Purmerend
7,1443BK,Antares,Purmerend
6,1443BK,Antares,Purmerend
5,1443BK,Antares,Purmerend
11,1443BL,Polaris,Purmerend
10,1443BL,Polaris,Purmerend
9,1443BL,Polaris,Purmerend
14,1443BL,Polaris,Purmerend
13,1443BL,Polaris,Purmerend
12,1443BL,Polaris,Purmerend
8,1443BL,Polaris,Purmerend
4,1443BL,Polaris,Purmerend
3,1443BL,Polaris,Purmerend
2,1443BL,Polaris,Purmerend
7,1443BL,Polaris,Purmerend
6,1443BL,Polaris,Purmerend
5,1443BL,Polaris,Purmerend
61,1442AC,Overweerse polderdijk,Purmerend
5,1448JG,Toscane,Purmerend
61,1443BP,Pallas,Purmerend
62,1443BP,Pallas,Purmerend
58,1443BP,Pallas,Purmerend
59,1443BP,Pallas,Purmerend
60,1443BP,Pallas,Purmerend
66,1443BP,Pallas,Purmerend
67,1443BP,Pallas,Purmerend
65,1443BP,Pallas,Purmerend
63,1443BP,Pallas,Purmerend
64,1443BP,Pallas,Purmerend
57,1443BP,Pallas,Purmerend
50,1443BP,Pallas,Purmerend
51,1443BP,Pallas,Purmerend
49,1443BP,Pallas,Purmerend
47,1443BP,Pallas,Purmerend
48,1443BP,Pallas,Purmerend
55,1443BP,Pallas,Purmerend
56,1443BP,Pallas,Purmerend
54,1443BP,Pallas,Purmerend
52,1443BP,Pallas,Purmerend
53,1443BP,Pallas,Purmerend
82,1443BP,Pallas,Purmerend
83,1443BP,Pallas,Purmerend
81,1443BP,Pallas,Purmerend
79,1443BP,Pallas,Purmerend
80,1443BP,Pallas,Purmerend
87,1443BP,Pallas,Purmerend
88,1443BP,Pallas,Purmerend
86,1443BP,Pallas,Purmerend
84,1443BP,Pallas,Purmerend
85,1443BP,Pallas,Purmerend
78,1443BP,Pallas,Purmerend
71,1443BP,Pallas,Purmerend
72,1443BP,Pallas,Purmerend
70,1443BP,Pallas,Purmerend
68,1443BP,Pallas,Purmerend
69,1443BP,Pallas,Purmerend
76,1443BP,Pallas,Purmerend
77,1443BP,Pallas,Purmerend
75,1443BP,Pallas,Purmerend
73,1443BP,Pallas,Purmerend
74,1443BP,Pallas,Purmerend
46,1443BP,Pallas,Purmerend
18,1443BP,Pallas,Purmerend
19,1443BP,Pallas,Purmerend
17,1443BP,Pallas,Purmerend
15,1443BP,Pallas,Purmerend
16,1443BP,Pallas,Purmerend
23,1443BP,Pallas,Purmerend
24,1443BP,Pallas,Purmerend
22,1443BP,Pallas,Purmerend
20,1443BP,Pallas,Purmerend
21,1443BP,Pallas,Purmerend
14,1443BP,Pallas,Purmerend
6,1443BP,Pallas,Purmerend
8,1443BP,Pallas,Purmerend
5,1443BP,Pallas,Purmerend
3,1443BP,Pallas,Purmerend
4,1443BP,Pallas,Purmerend
12,1443BP,Pallas,Purmerend
13,1443BP,Pallas,Purmerend
11,1443BP,Pallas,Purmerend
7,1443BP,Pallas,Purmerend
6,1448JG,Toscane,Purmerend
7,1448JG,Toscane,Purmerend
10,1448JG,Toscane,Purmerend
11,1448JG,Toscane,Purmerend
12,1448JG,Toscane,Purmerend
13,1448JG,Toscane,Purmerend
20,1448JH,Ardennen,Purmerend
21,1448JH,Ardennen,Purmerend
22,1448JH,Ardennen,Purmerend
23,1448JH,Ardennen,Purmerend
24,1448JH,Ardennen,Purmerend
25,1448JH,Ardennen,Purmerend
26,1448JH,Ardennen,Purmerend
27,1448JH,Ardennen,Purmerend
10,1441ZR,Wielingenstraat,Purmerend
12,1441ZR,Wielingenstraat,Purmerend
14,1441ZR,Wielingenstraat,Purmerend
2,1443LH,Rudolf Garrelsstraat,Purmerend
63,1448JB,Donaulaan,Purmerend
61,1448JB,Donaulaan,Purmerend
9,1448JA,Karpaten,Purmerend
1,1448JA,Karpaten,Purmerend
11,1448JA,Karpaten,Purmerend
13,1448JA,Karpaten,Purmerend
15,1448JA,Karpaten,Purmerend
28,1441CM,Nieuwstraat,Purmerend
26,1441CM,Nieuwstraat,Purmerend
32,1441CM,Nieuwstraat,Purmerend
34,1441CM,Nieuwstraat,Purmerend
30,1441CM,Nieuwstraat,Purmerend
12,1444JD,Cornwallhof,Purmerend
10,1444JD,Cornwallhof,Purmerend
8,1444JD,Cornwallhof,Purmerend
6,1444JD,Cornwallhof,Purmerend
4,1444JD,Cornwallhof,Purmerend
2,1444JD,Cornwallhof,Purmerend
14,1444JD,Cornwallhof,Purmerend
16,1444JD,Cornwallhof,Purmerend
18,1444JD,Cornwallhof,Purmerend
20,1444JD,Cornwallhof,Purmerend
22,1444JD,Cornwallhof,Purmerend
24,1444JD,Cornwallhof,Purmerend
26,1444JD,Cornwallhof,Purmerend
28,1444JD,Cornwallhof,Purmerend
35,1444JD,Cornwallhof,Purmerend
37,1444JD,Cornwallhof,Purmerend
39,1444JD,Cornwallhof,Purmerend
41,1444JD,Cornwallhof,Purmerend
43,1444JD,Cornwallhof,Purmerend
45,1444JD,Cornwallhof,Purmerend
3,1444JG,Norfolkhof,Purmerend
1,1444JG,Norfolkhof,Purmerend
65,1444JE,Kwadijkerpark,Purmerend
63,1444JE,Kwadijkerpark,Purmerend
61,1444JE,Kwadijkerpark,Purmerend
59,1444JE,Kwadijkerpark,Purmerend
57,1444JE,Kwadijkerpark,Purmerend
55,1444JE,Kwadijkerpark,Purmerend
53,1444JE,Kwadijkerpark,Purmerend
51,1444JE,Kwadijkerpark,Purmerend
30,1444JE,Kwadijkerpark,Purmerend
28,1444JE,Kwadijkerpark,Purmerend
26,1444JE,Kwadijkerpark,Purmerend
24,1444JE,Kwadijkerpark,Purmerend
22,1444JE,Kwadijkerpark,Purmerend
20,1444JE,Kwadijkerpark,Purmerend
18,1444JE,Kwadijkerpark,Purmerend
16,1444JE,Kwadijkerpark,Purmerend
49,1444JE,Kwadijkerpark,Purmerend
47,1444JE,Kwadijkerpark,Purmerend
45,1444JE,Kwadijkerpark,Purmerend
43,1444JE,Kwadijkerpark,Purmerend
41,1444JE,Kwadijkerpark,Purmerend
39,1444JE,Kwadijkerpark,Purmerend
37,1444JE,Kwadijkerpark,Purmerend
35,1444JE,Kwadijkerpark,Purmerend
33,1444JE,Kwadijkerpark,Purmerend
31,1444JE,Kwadijkerpark,Purmerend
29,1444JE,Kwadijkerpark,Purmerend
27,1444JE,Kwadijkerpark,Purmerend
25,1444JE,Kwadijkerpark,Purmerend
23,1444JE,Kwadijkerpark,Purmerend
101,1448KN,Antwerpenhaven,Purmerend
221,1447LG,Lauwersmeer,Purmerend
4,1446VC,Voltastraat,Purmerend
18,1446TN,Edisonweg,Purmerend
20,1446TN,Edisonweg,Purmerend
6,1446VC,Voltastraat,Purmerend
4,1442SG,Eemstraat,Purmerend
11,1441BM,Weerwal,Purmerend
10,1446VC,Voltastraat,Purmerend
2,1441BD,Zuidersteeg,Purmerend
21,1444JE,Kwadijkerpark,Purmerend
5,1444JD,Cornwallhof,Purmerend
11,1444JD,Cornwallhof,Purmerend
9,1444JD,Cornwallhof,Purmerend
45,1443BP,Pallas,Purmerend
25,1443BP,Pallas,Purmerend
9,1443BP,Pallas,Purmerend
10,1443BP,Pallas,Purmerend
26,1443BP,Pallas,Purmerend
27,1443BP,Pallas,Purmerend
28,1443BP,Pallas,Purmerend
29,1443BP,Pallas,Purmerend
30,1443BP,Pallas,Purmerend
31,1443BP,Pallas,Purmerend
32,1443BP,Pallas,Purmerend
33,1443BP,Pallas,Purmerend
34,1443BP,Pallas,Purmerend
35,1443BP,Pallas,Purmerend
36,1443BP,Pallas,Purmerend
37,1443BP,Pallas,Purmerend
38,1443BP,Pallas,Purmerend
39,1443BP,Pallas,Purmerend
40,1443BP,Pallas,Purmerend
41,1443BP,Pallas,Purmerend
42,1443BP,Pallas,Purmerend
43,1443BP,Pallas,Purmerend
44,1443BP,Pallas,Purmerend
2,1441DN,Wolthuissingel,Purmerend
3,1441DN,Wolthuissingel,Purmerend
4,1441DN,Wolthuissingel,Purmerend
5,1441DN,Wolthuissingel,Purmerend
6,1441DN,Wolthuissingel,Purmerend
7,1441DN,Wolthuissingel,Purmerend
8,1441DN,Wolthuissingel,Purmerend
9,1441DN,Wolthuissingel,Purmerend
10,1441DN,Wolthuissingel,Purmerend
