4157GN,13,,Molenkampstraat,Enspijk
4157GN,14,,Molenkampstraat,Enspijk
4157GN,15,,Molenkampstraat,Enspijk
4157GN,16,,Molenkampstraat,Enspijk
4157GN,17,,Molenkampstraat,Enspijk
4157GP,6,,Haarstraat,Enspijk
4157GR,4,,Korte Veersteeg,Enspijk
4157GR,1,,Korte Veersteeg,Enspijk
4157GR,2,,Korte Veersteeg,Enspijk
4157GR,6,,Korte Veersteeg,Enspijk
4157GR,10,,Korte Veersteeg,Enspijk
4157GR,12,,Korte Veersteeg,Enspijk
4157GR,16,,Korte Veersteeg,Enspijk
4157GT,1,,Netstraat,Enspijk
4157GT,14,,Netstraat,Enspijk
4157JA,15,,Klaverweg,Enspijk
4157JA,5,,Klaverweg,Enspijk
4157JA,7,,Klaverweg,Enspijk
4157JA,8,,Klaverweg,Enspijk
4157JA,9,,Klaverweg,Enspijk
4157JA,11,,Klaverweg,Enspijk
4157JA,13,,Klaverweg,Enspijk
4157JB,2,,Hoevenseweg,Enspijk
4157JB,3,,Hoevenseweg,Enspijk
4157JB,5,,Hoevenseweg,Enspijk
4157JB,6,,Hoevenseweg,Enspijk
4157JC,4,,Kooiweg,Enspijk
4157JC,5,,Kooiweg,Enspijk
4157JD,2,,Aalskamperweg,Enspijk
4157JE,2,,Polderdijk,Enspijk
4157JE,3,,Polderdijk,Enspijk
4157JE,4,,Polderdijk,Enspijk
4157PA,1,,Provincialeweg Oost,Enspijk
4157PB,1,,Panweg,Enspijk
4157PB,3,,Panweg,Enspijk
4157PB,5,,Panweg,Enspijk
4157PC,1,,Deilsegraaf,Enspijk
4158CA,1,,'t Oosteneind,Deil
4158CA,8,,'t Oosteneind,Deil
4158CA,6,,'t Oosteneind,Deil
4158CA,7,,'t Oosteneind,Deil
4158CA,9,,'t Oosteneind,Deil
4158CB,1,,Krugerstraat,Deil
4158CB,3,,Krugerstraat,Deil
4158CB,7,,Krugerstraat,Deil
4158CB,11,,Krugerstraat,Deil
4158CB,23,,Krugerstraat,Deil
4158CB,29,,Krugerstraat,Deil
4158CB,33,,Krugerstraat,Deil
4158CB,37,,Krugerstraat,Deil
4158CB,39,,Krugerstraat,Deil
4158CB,41,,Krugerstraat,Deil
4158CB,43,,Krugerstraat,Deil
4158CC,2,,Krugerstraat,Deil
4158CC,6,,Krugerstraat,Deil
4158CC,8,,Krugerstraat,Deil
4158CC,10,,Krugerstraat,Deil
4158CC,12,,Krugerstraat,Deil
4158CC,14,,Krugerstraat,Deil
4158CC,16,,Krugerstraat,Deil
4158CC,18,,Krugerstraat,Deil
4158CC,22,,Krugerstraat,Deil
4158CC,24,,Krugerstraat,Deil
4158CC,26,,Krugerstraat,Deil
4158CC,28,,Krugerstraat,Deil
4158CC,30,,Krugerstraat,Deil
4158CD,1,,Deilsedijk,Deil
4158CD,31,,Deilsedijk,Deil
4158CD,5,,Deilsedijk,Deil
4158CD,7,,Deilsedijk,Deil
4158CD,9,,Deilsedijk,Deil
4158CD,11,,Deilsedijk,Deil
4158CD,13,,Deilsedijk,Deil
4158CD,19,,Deilsedijk,Deil
4158CD,21,,Deilsedijk,Deil
4158CD,33,,Deilsedijk,Deil
4158CD,39,,Deilsedijk,Deil
4158CD,41,,Deilsedijk,Deil
4158CE,57,,Deilsedijk,Deil
4158CE,45,,Deilsedijk,Deil
4158CE,53,,Deilsedijk,Deil
4158CE,63,,Deilsedijk,Deil
4158CE,65,,Deilsedijk,Deil
4158CG,24,,Deilsedijk,Deil
4158CG,10,,Deilsedijk,Deil
4158CG,2,,Deilsedijk,Deil
4158CG,4,,Deilsedijk,Deil
4158CG,6,,Deilsedijk,Deil
4158CG,8,,Deilsedijk,Deil
4158CG,18,,Deilsedijk,Deil
4158CG,26,,Deilsedijk,Deil
4158CH,50,,Deilsedijk,Deil
4158CH,32,,Deilsedijk,Deil
4158CH,40,,Deilsedijk,Deil
4158CH,42,,Deilsedijk,Deil
4158CH,44,,Deilsedijk,Deil
4158CH,46,,Deilsedijk,Deil
4158CH,48,,Deilsedijk,Deil
4158CH,54,,Deilsedijk,Deil
4158CH,58,,Deilsedijk,Deil
4158CH,60,,Deilsedijk,Deil
4158CH,64,,Deilsedijk,Deil
4158CJ,1,,Prins Johan Frisostraat,Deil
4158CJ,4,,Prins Johan Frisostraat,Deil
4158CJ,6,,Prins Johan Frisostraat,Deil
4158CK,3,,Duyfhuisstraat,Deil
4158CK,4,,Duyfhuisstraat,Deil
4158CK,6,,Duyfhuisstraat,Deil
4158CK,9,,Duyfhuisstraat,Deil
4158CK,11,,Duyfhuisstraat,Deil
4158CK,12,,Duyfhuisstraat,Deil
4158CK,13,,Duyfhuisstraat,Deil
4158CK,14,,Duyfhuisstraat,Deil
4158CK,15,,Duyfhuisstraat,Deil
4158CK,17,,Duyfhuisstraat,Deil
4158CK,23,,Duyfhuisstraat,Deil
4158CL,17,,Prins Willem-Alexanderstraat,Deil
4158CL,3,,Prins Willem-Alexanderstraat,Deil
4158CL,23,,Prins Willem-Alexanderstraat,Deil
4158CL,7,,Prins Willem-Alexanderstraat,Deil
