5731SG,8,,Geldropseweg,Mierlo
5661PC,51,,Genoenhuis,Geldrop
5663PH,4,,Genoenhuizerweg,Geldrop
5663PH,7,,Genoenhuizerweg,Geldrop
5661PA,4,,Gijzenrooi,Geldrop
5731PC,64,,Goorsedijk,Mierlo
5731PC,51,,Goorsedijk,Mierlo
5731EW,26,,Heer van Scherpenzeelweg,Mierlo
5664BE,21,,Heggestraat,Geldrop
5664BG,65,,Heggestraat,Geldrop
5665JM,113,,Herdersveld,Geldrop
5664HK,13,,Heuvel,Geldrop
5664HK,14,,Heuvel,Geldrop
5664HJ,5,,Heuvel,Geldrop
5663BD,107,,Hoog Geldrop,Geldrop
5663BD,109,,Hoog Geldrop,Geldrop
5663BG,68,,Hoog Geldrop,Geldrop
5664EX,7,,Hout oost,Geldrop
5731VR,107,,Heer van Rodestraat,Mierlo
5731VR,109,,Heer van Rodestraat,Mierlo
5731VR,111,,Heer van Rodestraat,Mierlo
5731VR,113,,Heer van Rodestraat,Mierlo
5731VR,115,,Heer van Rodestraat,Mierlo
5731VR,117,,Heer van Rodestraat,Mierlo
5731VS,127,,Heer van Rodestraat,Mierlo
5731VS,129,,Heer van Rodestraat,Mierlo
5731VS,131,,Heer van Rodestraat,Mierlo
5731VS,133,,Heer van Rodestraat,Mierlo
5731VS,135,,Heer van Rodestraat,Mierlo
5731VS,137,,Heer van Rodestraat,Mierlo
5731VS,139,,Heer van Rodestraat,Mierlo
5731VT,141,,Heer van Rodestraat,Mierlo
5731VT,143,,Heer van Rodestraat,Mierlo
5731VT,153,,Heer van Rodestraat,Mierlo
5731VT,155,,Heer van Rodestraat,Mierlo
5731VT,157,,Heer van Rodestraat,Mierlo
5731VT,159,,Heer van Rodestraat,Mierlo
5731VT,161,,Heer van Rodestraat,Mierlo
5731VT,163,,Heer van Rodestraat,Mierlo
5731VT,165,,Heer van Rodestraat,Mierlo
5731VT,167,,Heer van Rodestraat,Mierlo
5731VT,169,,Heer van Rodestraat,Mierlo
5731VT,171,,Heer van Rodestraat,Mierlo
5731VV,181,,Heer van Rodestraat,Mierlo
5731VV,183,,Heer van Rodestraat,Mierlo
5731VV,185,,Heer van Rodestraat,Mierlo
5731VV,187,,Heer van Rodestraat,Mierlo
5731VV,189,,Heer van Rodestraat,Mierlo
5731VV,191,,Heer van Rodestraat,Mierlo
5731VV,193,,Heer van Rodestraat,Mierlo
5731VV,195,,Heer van Rodestraat,Mierlo
5731VV,197,,Heer van Rodestraat,Mierlo
5667RZ,39,,Magdalenahof,Geldrop
5667RZ,3,,Magdalenahof,Geldrop
5667RZ,40,,Magdalenahof,Geldrop
5667RZ,41,,Magdalenahof,Geldrop
5667RZ,42,,Magdalenahof,Geldrop
5667RZ,43,,Magdalenahof,Geldrop
5667RZ,44,,Magdalenahof,Geldrop
5667RZ,45,,Magdalenahof,Geldrop
5667RZ,46,,Magdalenahof,Geldrop
5667RZ,47,,Magdalenahof,Geldrop
5667RZ,48,,Magdalenahof,Geldrop
5667RZ,49,,Magdalenahof,Geldrop
5667RZ,4,,Magdalenahof,Geldrop
5667RZ,50,,Magdalenahof,Geldrop
5667RZ,51,,Magdalenahof,Geldrop
5667RZ,52,,Magdalenahof,Geldrop
5667RZ,53,,Magdalenahof,Geldrop
5667RZ,54,,Magdalenahof,Geldrop
5667RZ,55,,Magdalenahof,Geldrop
5667RZ,56,,Magdalenahof,Geldrop
5667RZ,57,,Magdalenahof,Geldrop
5667RZ,58,,Magdalenahof,Geldrop
5667RZ,59,,Magdalenahof,Geldrop
5667RZ,5,,Magdalenahof,Geldrop
5667RZ,60,,Magdalenahof,Geldrop
5667RZ,61,,Magdalenahof,Geldrop
5667RZ,62,,Magdalenahof,Geldrop
5667RZ,63,,Magdalenahof,Geldrop
5664PZ,211,,De Burght,Geldrop
5664PZ,213,,De Burght,Geldrop
5664PZ,215,,De Burght,Geldrop
5664PZ,217,,De Burght,Geldrop
5664PZ,219,,De Burght,Geldrop
5664PZ,221,,De Burght,Geldrop
5664PC,61,,Vestingwal,Geldrop
5664PC,63,,Vestingwal,Geldrop
5664PC,65,,Vestingwal,Geldrop
5664PC,67,,Vestingwal,Geldrop
5664PC,69,,Vestingwal,Geldrop
5664PC,71,,Vestingwal,Geldrop
5664PB,1,,Bolwerk,Geldrop
5664PE,2,,Poort,Geldrop
5664PE,4,,Poort,Geldrop
5664PE,6,,Poort,Geldrop
5664PE,8,,Poort,Geldrop
5664PE,10,,Poort,Geldrop
5664PE,12,,Poort,Geldrop
5664PE,14,,Poort,Geldrop
5664PE,16,,Poort,Geldrop
5664PE,18,,Poort,Geldrop
5664PE,20,,Poort,Geldrop
5664PE,22,,Poort,Geldrop
5664EP,31,,Slachthuisstraat,Geldrop
5664EP,33,,Slachthuisstraat,Geldrop
5664EP,35,,Slachthuisstraat,Geldrop
5664EP,37,,Slachthuisstraat,Geldrop
5664EP,39,,Slachthuisstraat,Geldrop
5664EP,41,,Slachthuisstraat,Geldrop
5664EP,43,,Slachthuisstraat,Geldrop
5664EP,45,,Slachthuisstraat,Geldrop
5664PC,49,,Vestingwal,Geldrop
5664PC,51,,Vestingwal,Geldrop
5664PC,53,,Vestingwal,Geldrop
5664PC,55,,Vestingwal,Geldrop
5664PC,57,,Vestingwal,Geldrop
5664PC,59,,Vestingwal,Geldrop
5663CD,12,,Gildestraat,Geldrop
5664PD,100,,Donjon,Geldrop
5664PD,101,,Donjon,Geldrop
5664PD,102,,Donjon,Geldrop
5664PD,103,,Donjon,Geldrop
5664PD,104,,Donjon,Geldrop
5664PD,105,,Donjon,Geldrop
5664PD,106,,Donjon,Geldrop
5664PD,107,,Donjon,Geldrop
5664PD,108,,Donjon,Geldrop
5662TK,134,,Hulst,Geldrop
5662TG,137,,Hulst,Geldrop
5662TJ,46,,Hulst,Geldrop
5662TL,10,,Hulsterweg,Geldrop
5663AM,10,,Josephinehof,Geldrop
5663AM,12,,Josephinehof,Geldrop
5663AM,14,,Josephinehof,Geldrop
5663AM,16,,Josephinehof,Geldrop
5663AM,18,,Josephinehof,Geldrop
5663AM,20,,Josephinehof,Geldrop
5663AM,22,,Josephinehof,Geldrop
5663AM,24,,Josephinehof,Geldrop
5663AM,26,,Josephinehof,Geldrop
5663AM,28,,Josephinehof,Geldrop
5663AM,30,,Josephinehof,Geldrop
5663AM,32,,Josephinehof,Geldrop
5663AM,34,,Josephinehof,Geldrop
5663AM,36,,Josephinehof,Geldrop
5663AM,38,,Josephinehof,Geldrop
5663AM,40,,Josephinehof,Geldrop
5663AM,42,,Josephinehof,Geldrop
5663AM,44,,Josephinehof,Geldrop
5663AM,46,,Josephinehof,Geldrop
5663AM,48,,Josephinehof,Geldrop
5663AM,4,,Josephinehof,Geldrop
5663AM,50,,Josephinehof,Geldrop
5663AM,52,,Josephinehof,Geldrop
5663AL,56,,Josephinehof,Geldrop
5663AL,58,,Josephinehof,Geldrop
5663AL,60,,Josephinehof,Geldrop
5663AL,62,,Josephinehof,Geldrop
5663AL,64,,Josephinehof,Geldrop
5663AL,66,,Josephinehof,Geldrop
5663AL,68,,Josephinehof,Geldrop
5663AM,6,,Josephinehof,Geldrop
5663AL,70,,Josephinehof,Geldrop
5663AL,72,,Josephinehof,Geldrop
5663AL,74,,Josephinehof,Geldrop
5663AL,76,,Josephinehof,Geldrop
5663AL,78,,Josephinehof,Geldrop
5663AL,80,,Josephinehof,Geldrop
5663AL,82,,Josephinehof,Geldrop
5663AL,84,,Josephinehof,Geldrop
5663AL,86,,Josephinehof,Geldrop
5663AM,8,,Josephinehof,Geldrop
5663AM,2,,Josephinehof,Geldrop
5731CS,22,,Kanunnik Daemenstraat,Mierlo
5731VV,199,,Heer van Rodestraat,Mierlo
5731VV,209,,Heer van Rodestraat,Mierlo
5731VV,211,,Heer van Rodestraat,Mierlo
5731VV,213,,Heer van Rodestraat,Mierlo
5731VV,215,,Heer van Rodestraat,Mierlo
5731VV,217,,Heer van Rodestraat,Mierlo
5731VM,23,,Heer van Rodestraat,Mierlo
5731VM,25,,Heer van Rodestraat,Mierlo
5731VM,27,,Heer van Rodestraat,Mierlo
5731VM,29,,Heer van Rodestraat,Mierlo
5731VN,31,,Heer van Rodestraat,Mierlo
5731VN,33,,Heer van Rodestraat,Mierlo
5731VN,35,,Heer van Rodestraat,Mierlo
5731VN,37,,Heer van Rodestraat,Mierlo
5731VN,39,,Heer van Rodestraat,Mierlo
5731VN,41,,Heer van Rodestraat,Mierlo
5731VN,43,,Heer van Rodestraat,Mierlo
5731VN,45,,Heer van Rodestraat,Mierlo
5731VN,47,,Heer van Rodestraat,Mierlo
5731VN,49,,Heer van Rodestraat,Mierlo
5731VN,51,,Heer van Rodestraat,Mierlo
5731VN,53,,Heer van Rodestraat,Mierlo
5731VN,55,,Heer van Rodestraat,Mierlo
5731VN,57,,Heer van Rodestraat,Mierlo
5731VP,59,,Heer van Rodestraat,Mierlo
5731VP,61,,Heer van Rodestraat,Mierlo
5731VP,63,,Heer van Rodestraat,Mierlo
5731VP,65,,Heer van Rodestraat,Mierlo
5731VP,67,,Heer van Rodestraat,Mierlo
5731VP,69,,Heer van Rodestraat,Mierlo
5731VP,71,,Heer van Rodestraat,Mierlo
5731VP,73,,Heer van Rodestraat,Mierlo
5731VP,75,,Heer van Rodestraat,Mierlo
5731VP,77,,Heer van Rodestraat,Mierlo
5731VP,79,,Heer van Rodestraat,Mierlo
5667RZ,64,,Magdalenahof,Geldrop
5667RZ,65,,Magdalenahof,Geldrop
5667RZ,66,,Magdalenahof,Geldrop
5667RZ,68,,Magdalenahof,Geldrop
5667RZ,6,,Magdalenahof,Geldrop
5667RZ,70,,Magdalenahof,Geldrop
5667RZ,72,,Magdalenahof,Geldrop
5667RZ,74,,Magdalenahof,Geldrop
5667RZ,76,,Magdalenahof,Geldrop
5667RZ,78,,Magdalenahof,Geldrop
5667RZ,7,,Magdalenahof,Geldrop
5667RZ,80,,Magdalenahof,Geldrop
5667RZ,82,,Magdalenahof,Geldrop
5667RZ,84,,Magdalenahof,Geldrop
5667RZ,8,,Magdalenahof,Geldrop
5667RZ,9,,Magdalenahof,Geldrop
5661NG,10,,de Hooge Akker,Geldrop
5664HV,8,,Molenstraat,Geldrop
5665VA,69,,Willem Barentszweg,Geldrop
5661NG,3,,de Hooge Akker,Geldrop
5666TK,54,,van der Puttstraat,Geldrop
5666TK,56,,van der Puttstraat,Geldrop
5664PD,109,,Donjon,Geldrop
5664PD,10,,Donjon,Geldrop
5664PD,110,,Donjon,Geldrop
5664PD,11,,Donjon,Geldrop
5664PD,12,,Donjon,Geldrop
5664PD,13,,Donjon,Geldrop
5664PD,14,,Donjon,Geldrop
5664PD,15,,Donjon,Geldrop
5664PD,16,,Donjon,Geldrop
