6413KS,197,,Ammonieterf,Heerlen
6413KX,202,,Ammonieterf,Heerlen
6413KX,206,,Ammonieterf,Heerlen
6413KS,211,,Ammonieterf,Heerlen
6413KS,215,,Ammonieterf,Heerlen
6413KZ,220,,Ammonieterf,Heerlen
6413KT,225,,Ammonieterf,Heerlen
6413KZ,244,,Ammonieterf,Heerlen
6413KT,249,,Ammonieterf,Heerlen
6413KT,253,,Ammonieterf,Heerlen
6413KZ,258,,Ammonieterf,Heerlen
6413KT,263,,Ammonieterf,Heerlen
6413KT,267,,Ammonieterf,Heerlen
6413KZ,272,,Ammonieterf,Heerlen
6413KT,279,,Ammonieterf,Heerlen
6413KT,289,,Ammonieterf,Heerlen
6413KT,299,,Ammonieterf,Heerlen
6413KT,307,,Ammonieterf,Heerlen
6413KT,317,,Ammonieterf,Heerlen
6433PL,72,,Verlengde Klinkertstraat,Hoensbroek
6433PL,80,,Verlengde Klinkertstraat,Hoensbroek
6433GL,6,,Frederikstraat,Hoensbroek
6433GL,14,,Frederikstraat,Hoensbroek
6433GG,3,,Prinsenstraat,Hoensbroek
6433GG,7,,Prinsenstraat,Hoensbroek
6433GJ,10,,Prinsenstraat,Hoensbroek
6433GJ,12,,Prinsenstraat,Hoensbroek
6433GJ,18,,Prinsenstraat,Hoensbroek
6433GJ,22,,Prinsenstraat,Hoensbroek
6433GG,27,,Prinsenstraat,Hoensbroek
6433GH,33,,Prinsenstraat,Hoensbroek
6433GH,43,,Prinsenstraat,Hoensbroek
6433GN,13,,Frisostraat,Hoensbroek
6433GP,24,,Frisostraat,Hoensbroek
6433GP,28,,Frisostraat,Hoensbroek
6433GN,33,,Frisostraat,Hoensbroek
6433GN,37,,Frisostraat,Hoensbroek
6433GR,42,,Frisostraat,Hoensbroek
6433GR,50,,Frisostraat,Hoensbroek
6433GR,58,,Frisostraat,Hoensbroek
6433GR,68,,Frisostraat,Hoensbroek
6433GR,76,,Frisostraat,Hoensbroek
6433GT,4,,Lodewijkstraat,Hoensbroek
6433GT,8,,Lodewijkstraat,Hoensbroek
6433GS,13,,Lodewijkstraat,Hoensbroek
6433GS,17,,Lodewijkstraat,Hoensbroek
6433GT,22,,Lodewijkstraat,Hoensbroek
6433GT,26,,Lodewijkstraat,Hoensbroek
6433GT,30,,Lodewijkstraat,Hoensbroek
6433GV,7,,Casimirstraat,Hoensbroek
6433GW,12,,Casimirstraat,Hoensbroek
6433GW,16,,Casimirstraat,Hoensbroek
6433GW,20,,Casimirstraat,Hoensbroek
