37,1441BB,Hoogstraat,Purmerend
18,1441VS,Hoornblad,Purmerend
24,1441VS,Hoornblad,Purmerend
58,1441VT,Hoornblad,Purmerend
68,1441VV,Hoornblad,Purmerend
78,1441VV,Hoornblad,Purmerend
11,1445SG,Hortlijnhof,Purmerend
35,1445SJ,Hortlijnhof,Purmerend
40,1445SK,Hortlijnhof,Purmerend
43,1445SK,Hortlijnhof,Purmerend
14,1448SJ,Houtbaai,Purmerend
23,1448SH,Houtbaai,Purmerend
29,1448SH,Houtbaai,Purmerend
13,1441AG,Houttuinen,Purmerend
10,1448XD,Hudsonstraat,Purmerend
32,1448XD,Hudsonstraat,Purmerend
36,1448XD,Hudsonstraat,Purmerend
128,1441KN,Hugo de Grootstraat,Purmerend
70,1448TD,Barbadosstraat,Purmerend
142,1443TJ,Bernard Zweersstraat,Purmerend
152,1443TJ,Bernard Zweersstraat,Purmerend
16,1443TE,Bernard Zweersstraat,Purmerend
168,1443TK,Bernard Zweersstraat,Purmerend
239,1443EK,Boeierstraat,Purmerend
247,1443EK,Boeierstraat,Purmerend
257,1443EL,Boeierstraat,Purmerend
265,1443EL,Boeierstraat,Purmerend
34,1445LH,Botertonstraat,Purmerend
37,1445LH,Botertonstraat,Purmerend
4,1445LG,Botertonstraat,Purmerend
9,1448KR,Barcelonahaven,Purmerend
13,1448KR,Barcelonahaven,Purmerend
16,1448KR,Barcelonahaven,Purmerend
19,1448KR,Barcelonahaven,Purmerend
38,1443TG,Bernard Zweersstraat,Purmerend
44,1443TG,Bernard Zweersstraat,Purmerend
54,1443TG,Bernard Zweersstraat,Purmerend
62,1443TG,Bernard Zweersstraat,Purmerend
72,1443TH,Bernard Zweersstraat,Purmerend
319,1443EM,Boeierstraat,Purmerend
327,1443EM,Boeierstraat,Purmerend
36,1442WS,Tutein Noltheniusplein,Purmerend
17,1442RA,Van Balenstraat,Purmerend
2,1448AT,Sumba,Purmerend
13,1448CP,Tigrisstraat,Purmerend
28,1448CS,Tigrisstraat,Purmerend
4,1445BR,Touwslagerstraat,Purmerend
15,1441GP,Tramplein,Purmerend
31,1442RB,Van Balenstraat,Purmerend
47,1442RB,Van Balenstraat,Purmerend
1,1443WX,Sumpiusstraat,Purmerend
51,1448CR,Tigrisstraat,Purmerend
11,1441MJ,Trilveenstraat,Purmerend
15,1447KR,Van Burgplein,Purmerend
59,1448ML,Zoeloestraat,Purmerend
63,1448ML,Zoeloestraat,Purmerend
65,1448ML,Zoeloestraat,Purmerend
67,1448ML,Zoeloestraat,Purmerend
69,1448ML,Zoeloestraat,Purmerend
7,1448ML,Zoeloestraat,Purmerend
71,1448ML,Zoeloestraat,Purmerend
73,1448ML,Zoeloestraat,Purmerend
75,1448ML,Zoeloestraat,Purmerend
77,1448ML,Zoeloestraat,Purmerend
79,1448ML,Zoeloestraat,Purmerend
1,1443AE,Zonnelaan,Purmerend
10,1443AE,Zonnelaan,Purmerend
11,1443AE,Zonnelaan,Purmerend
12,1443AE,Zonnelaan,Purmerend
13,1443AE,Zonnelaan,Purmerend
14,1443AE,Zonnelaan,Purmerend
16,1443AE,Zonnelaan,Purmerend
17,1443AE,Zonnelaan,Purmerend
2,1443AE,Zonnelaan,Purmerend
21,1443AE,Zonnelaan,Purmerend
29,1443AG,Zonnelaan,Purmerend
33,1443AG,Zonnelaan,Purmerend
35,1443AG,Zonnelaan,Purmerend
506,1445CT,Overlanderstraat,Purmerend
118,1447KN,Naardermeer,Purmerend
21,1447KG,Naardermeer,Purmerend
9,1448NP,Oasestraat,Purmerend
4,1447KG,Naardermeer,Purmerend
9,1446TC,Ohmstraat,Purmerend
7,1446TC,Ohmstraat,Purmerend
22,1442VH,Olympiastraat,Purmerend
13,1443AM,Orionweg,Purmerend
30,1443AN,Orionweg,Purmerend
566,1445CV,Overlanderstraat,Purmerend
581,1445CZ,Overlanderstraat,Purmerend
11,1447BR,Ommeland,Purmerend
12,1448SP,Walvisbaai,Purmerend
14,1448SP,Walvisbaai,Purmerend
15,1448SP,Walvisbaai,Purmerend
16,1448SP,Walvisbaai,Purmerend
2,1448SP,Walvisbaai,Purmerend
3,1448SP,Walvisbaai,Purmerend
4,1448SP,Walvisbaai,Purmerend
5,1448SP,Walvisbaai,Purmerend
6,1448SP,Walvisbaai,Purmerend
7,1448SP,Walvisbaai,Purmerend
