193,4163LK,Lingedijk,Oosterwijk
195,4163LK,Lingedijk,Oosterwijk
20,4143EP,Eiland,Leerdam
21,4143EP,Eiland,Leerdam
22,4143EP,Eiland,Leerdam
23,4143EP,Eiland,Leerdam
24,4143EP,Eiland,Leerdam
25,4143EP,Eiland,Leerdam
26,4143EP,Eiland,Leerdam
53,4143ER,Eiland,Leerdam
54,4143ER,Eiland,Leerdam
55,4143ER,Eiland,Leerdam
56,4143ER,Eiland,Leerdam
58,4143ER,Eiland,Leerdam
59,4143ER,Eiland,Leerdam
60,4143ER,Eiland,Leerdam
27,4143ES,Eiland,Leerdam
28,4143ES,Eiland,Leerdam
30,4143ES,Eiland,Leerdam
31,4143ES,Eiland,Leerdam
32,4143ES,Eiland,Leerdam
33,4143ES,Eiland,Leerdam
34,4143ES,Eiland,Leerdam
36,4143ES,Eiland,Leerdam
37,4143ES,Eiland,Leerdam
38,4143ES,Eiland,Leerdam
39,4143ES,Eiland,Leerdam
41,4143ES,Eiland,Leerdam
42,4143ES,Eiland,Leerdam
43,4143ES,Eiland,Leerdam
44,4143ES,Eiland,Leerdam
45,4143ES,Eiland,Leerdam
47,4143ES,Eiland,Leerdam
48,4143ES,Eiland,Leerdam
49,4143ES,Eiland,Leerdam
50,4143ES,Eiland,Leerdam
73,4143ET,Eiland,Leerdam
83,4143EV,Eiland,Leerdam
84,4143EV,Eiland,Leerdam
85,4143EV,Eiland,Leerdam
86,4143EV,Eiland,Leerdam
87,4143EV,Eiland,Leerdam
88,4143EV,Eiland,Leerdam
89,4143EV,Eiland,Leerdam
90,4143EV,Eiland,Leerdam
91,4143EV,Eiland,Leerdam
92,4143EV,Eiland,Leerdam
93,4143EV,Eiland,Leerdam
94,4143EV,Eiland,Leerdam
95,4143EV,Eiland,Leerdam
96,4143EV,Eiland,Leerdam
97,4143EV,Eiland,Leerdam
98,4143EV,Eiland,Leerdam
99,4143EV,Eiland,Leerdam
100,4143EV,Eiland,Leerdam
101,4143EV,Eiland,Leerdam
102,4143EV,Eiland,Leerdam
103,4143EV,Eiland,Leerdam
104,4143EV,Eiland,Leerdam
197,4163LK,Lingedijk,Oosterwijk
199,4163LK,Lingedijk,Oosterwijk
201,4163LK,Lingedijk,Oosterwijk
203,4163LK,Lingedijk,Oosterwijk
205,4163LK,Lingedijk,Oosterwijk
207,4163LK,Lingedijk,Oosterwijk
209,4163LK,Lingedijk,Oosterwijk
6,4143HC,Schaiksehof,Leerdam
10,4143HC,Schaiksehof,Leerdam
2,4143HC,Schaiksehof,Leerdam
1,4247EW,Hooglandse Tiendweg,Kedichem
6,4247EV,Tiendweg,Kedichem
8,4247EV,Tiendweg,Kedichem
22,4142DH,Zuid-Hollandweg,Leerdam
5,4141EE,Frisopad,Leerdam
76,4142VL,Patrimoniumstraat,Leerdam
78,4142VL,Patrimoniumstraat,Leerdam
80,4142VL,Patrimoniumstraat,Leerdam
82,4142VL,Patrimoniumstraat,Leerdam
11,4145ND,Masada,Schoonrewoerd
12,4145ND,Masada,Schoonrewoerd
13,4145ND,Masada,Schoonrewoerd
14,4145ND,Masada,Schoonrewoerd
15,4145ND,Masada,Schoonrewoerd
16,4145ND,Masada,Schoonrewoerd
17,4145ND,Masada,Schoonrewoerd
18,4145ND,Masada,Schoonrewoerd
19,4145ND,Masada,Schoonrewoerd
20,4145ND,Masada,Schoonrewoerd
21,4145ND,Masada,Schoonrewoerd
22,4145ND,Masada,Schoonrewoerd
23,4145ND,Masada,Schoonrewoerd
24,4145ND,Masada,Schoonrewoerd
26,4145ND,Masada,Schoonrewoerd
1,4145NV,Noorderwoerd,Schoonrewoerd
2,4145NV,Noorderwoerd,Schoonrewoerd
3,4145NV,Noorderwoerd,Schoonrewoerd
4,4145NV,Noorderwoerd,Schoonrewoerd
5,4145NV,Noorderwoerd,Schoonrewoerd
6,4145NV,Noorderwoerd,Schoonrewoerd
7,4145NV,Noorderwoerd,Schoonrewoerd
9,4145NV,Noorderwoerd,Schoonrewoerd
11,4145NV,Noorderwoerd,Schoonrewoerd
12,4145NV,Noorderwoerd,Schoonrewoerd
13,4145NV,Noorderwoerd,Schoonrewoerd
14,4145NV,Noorderwoerd,Schoonrewoerd
15,4145NV,Noorderwoerd,Schoonrewoerd
16,4145NV,Noorderwoerd,Schoonrewoerd
17,4145NV,Noorderwoerd,Schoonrewoerd
18,4145NV,Noorderwoerd,Schoonrewoerd
20,4145NV,Noorderwoerd,Schoonrewoerd
22,4145NV,Noorderwoerd,Schoonrewoerd
24,4145NV,Noorderwoerd,Schoonrewoerd
26,4145NV,Noorderwoerd,Schoonrewoerd
28,4145NV,Noorderwoerd,Schoonrewoerd
30,4145NV,Noorderwoerd,Schoonrewoerd
32,4145NV,Noorderwoerd,Schoonrewoerd
34,4145NV,Noorderwoerd,Schoonrewoerd
36,4145NV,Noorderwoerd,Schoonrewoerd
38,4145NV,Noorderwoerd,Schoonrewoerd
40,4145NV,Noorderwoerd,Schoonrewoerd
42,4145NV,Noorderwoerd,Schoonrewoerd
44,4145NV,Noorderwoerd,Schoonrewoerd
48,4145NV,Noorderwoerd,Schoonrewoerd
50,4145NV,Noorderwoerd,Schoonrewoerd
52,4145NV,Noorderwoerd,Schoonrewoerd
54,4145NV,Noorderwoerd,Schoonrewoerd
56,4145NV,Noorderwoerd,Schoonrewoerd
1,4145NN,Overboeicop,Schoonrewoerd
3,4145NN,Overboeicop,Schoonrewoerd
4,4145NP,Overboeicop,Schoonrewoerd
5,4145NN,Overboeicop,Schoonrewoerd
6,4145NP,Overboeicop,Schoonrewoerd
7,4145NN,Overboeicop,Schoonrewoerd
17,4142EV,Groenzoom,Leerdam
19,4142EV,Groenzoom,Leerdam
123,4142EV,Groenzoom,Leerdam
124,4142EV,Groenzoom,Leerdam
125,4142EV,Groenzoom,Leerdam
126,4142EV,Groenzoom,Leerdam
128,4142EV,Groenzoom,Leerdam
129,4142EV,Groenzoom,Leerdam
130,4142EV,Groenzoom,Leerdam
101,4142EV,Groenzoom,Leerdam
102,4142EV,Groenzoom,Leerdam
103,4142EV,Groenzoom,Leerdam
104,4142EV,Groenzoom,Leerdam
105,4142EV,Groenzoom,Leerdam
106,4142EV,Groenzoom,Leerdam
107,4142EV,Groenzoom,Leerdam
108,4142EV,Groenzoom,Leerdam
109,4142EV,Groenzoom,Leerdam
110,4142EV,Groenzoom,Leerdam
111,4142EV,Groenzoom,Leerdam
112,4142EV,Groenzoom,Leerdam
113,4142EV,Groenzoom,Leerdam
114,4142EV,Groenzoom,Leerdam
115,4142EV,Groenzoom,Leerdam
116,4142EV,Groenzoom,Leerdam
117,4142EV,Groenzoom,Leerdam
118,4142EV,Groenzoom,Leerdam
119,4142EV,Groenzoom,Leerdam
120,4142EV,Groenzoom,Leerdam
121,4142EV,Groenzoom,Leerdam
122,4142EV,Groenzoom,Leerdam
20,4142EW,Groenzoom,Leerdam
21,4142EW,Groenzoom,Leerdam
22,4142EW,Groenzoom,Leerdam
23,4142EW,Groenzoom,Leerdam
24,4142EW,Groenzoom,Leerdam
25,4142EW,Groenzoom,Leerdam
26,4142EW,Groenzoom,Leerdam
27,4142EW,Groenzoom,Leerdam
28,4142EX,Groenzoom,Leerdam
29,4142EX,Groenzoom,Leerdam
30,4142EX,Groenzoom,Leerdam
31,4142EX,Groenzoom,Leerdam
32,4142EX,Groenzoom,Leerdam
33,4142EX,Groenzoom,Leerdam
34,4142EX,Groenzoom,Leerdam
35,4142EX,Groenzoom,Leerdam
36,4142EX,Groenzoom,Leerdam
37,4142EX,Groenzoom,Leerdam
38,4142EX,Groenzoom,Leerdam
39,4142EX,Groenzoom,Leerdam
40,4142EX,Groenzoom,Leerdam
41,4142EX,Groenzoom,Leerdam
42,4142EX,Groenzoom,Leerdam
43,4142EX,Groenzoom,Leerdam
44,4142EX,Groenzoom,Leerdam
45,4142EX,Groenzoom,Leerdam
46,4142EX,Groenzoom,Leerdam
47,4142EX,Groenzoom,Leerdam
45,4142AV,Joost de Jongestraat,Leerdam
27,4143HW,Techniekweg,Leerdam
8,4145NP,Overboeicop,Schoonrewoerd
9,4145NN,Overboeicop,Schoonrewoerd
12,4145MH,Diefdijk,Schoonrewoerd
17,4145MH,Diefdijk,Schoonrewoerd
18,4145NL,Kortgerecht,Schoonrewoerd
30,4145NL,Kortgerecht,Schoonrewoerd
46,4145NL,Kortgerecht,Schoonrewoerd
60,4145NM,Kortgerecht,Schoonrewoerd
6,4145KS,Kalverweg,Schoonrewoerd
14,4145KS,Kalverweg,Schoonrewoerd
20,4145KS,Kalverweg,Schoonrewoerd
7,4145KL,Koningin Julianastraat,Schoonrewoerd
13,4145KL,Koningin Julianastraat,Schoonrewoerd
19,4145KL,Koningin Julianastraat,Schoonrewoerd
29,4145KL,Koningin Julianastraat,Schoonrewoerd
44,4145KM,Koningin Julianastraat,Schoonrewoerd
50,4142DH,Zuid-Hollandweg,Leerdam
12,4141JD,Frederik Hendrikstraat,Leerdam
24,4141JD,Frederik Hendrikstraat,Leerdam
95,4141GE,Oranjehof,Leerdam
4,4141MG,Archangel,Leerdam
10,4141MG,Archangel,Leerdam
7,4141MN,Bohemen,Leerdam
36,4141AP,Westwal,Leerdam
46,4141AP,Westwal,Leerdam
58,4141AP,Westwal,Leerdam
9,4145NW,Anthoniuswerf,Schoonrewoerd
16,4145NW,Anthoniuswerf,Schoonrewoerd
1,4145KR,Brinkstraat,Schoonrewoerd
6,4145KR,Brinkstraat,Schoonrewoerd
12,4145KR,Brinkstraat,Schoonrewoerd
18,4145KR,Brinkstraat,Schoonrewoerd
4,4141AE,Meentplein,Leerdam
4,4141BE,Zuidwal,Leerdam
93,4141AV,Kerkstraat,Leerdam
19,4141AW,Poorterij,Leerdam
111,4141BN,Noordwal,Leerdam
123,4141BN,Noordwal,Leerdam
23,4141DH,Vogelsangstraat,Leerdam
3,4141BG,Markt,Leerdam
33,4141BX,Noorderbergpad,Leerdam
38,4142BK,Burgemeester Tukkerhof,Leerdam
11,4141MN,Bohemen,Leerdam
21,4141MN,Bohemen,Leerdam
33,4141MN,Bohemen,Leerdam
45,4141MN,Bohemen,Leerdam
55,4141MN,Bohemen,Leerdam
42,4142VK,Patrimoniumstraat,Leerdam
60,4142VL,Patrimoniumstraat,Leerdam
72,4142VL,Patrimoniumstraat,Leerdam
4,4142BP,Van Damstraat,Leerdam
240,4142VA,Patrimoniumstraat,Leerdam
48,4142TC,Spartaveld,Leerdam
57,4142TC,Spartaveld,Leerdam
63,4142TD,Spartaveld,Leerdam
71,4142TD,Spartaveld,Leerdam
28,4143AT,Sperwerlaan,Leerdam
34,4143AT,Sperwerlaan,Leerdam
40,4143AT,Sperwerlaan,Leerdam
47,4143AN,Sperwerlaan,Leerdam
52,4143AV,Sperwerlaan,Leerdam
27,4141DE,Vrijheidsstraat,Leerdam
1,4141HT,Watertorenlaan,Leerdam
7,4141HT,Watertorenlaan,Leerdam
12,4141HT,Watertorenlaan,Leerdam
19,4141HT,Watertorenlaan,Leerdam
29,4141HT,Watertorenlaan,Leerdam
15,4141DM,Van Hoevestraat,Leerdam
27,4141DM,Van Hoevestraat,Leerdam
37,4141DM,Van Hoevestraat,Leerdam
49,4141DM,Van Hoevestraat,Leerdam
61,4141DN,Van Hoevestraat,Leerdam
3,4141DP,Van Aalststraat,Leerdam
15,4141DP,Van Aalststraat,Leerdam
11,4143BK,Van Coehoornstraat,Leerdam
16,4143BK,Van Coehoornstraat,Leerdam
47,4142EH,Tiendweg,Leerdam
54,4142EL,Tiendweg,Leerdam
60,4142EL,Tiendweg,Leerdam
69,4142EH,Tiendweg,Leerdam
76,4142EL,Tiendweg,Leerdam
160,4142EN,Tiendweg,Leerdam
6,4143GR,Troubadour,Leerdam
2,4142XT,Tulpstraat,Leerdam
11,4142XS,Tulpstraat,Leerdam
19,4141HB,Stationsweg,Leerdam
41,4141HD,Stationsweg,Leerdam
51,4141HD,Stationsweg,Leerdam
173,4141HG,Stationsweg,Leerdam
183,4141HG,Stationsweg,Leerdam
195,4141HG,Stationsweg,Leerdam
207,4141HG,Stationsweg,Leerdam
219,4141HH,Stationsweg,Leerdam
229,4141HH,Stationsweg,Leerdam
14,4143BP,Van Leyenburgstraat,Leerdam
28,4143BP,Van Leyenburgstraat,Leerdam
4,4143BW,Van Naaldwijcklaan,Leerdam
9,4143BV,Van Naaldwijcklaan,Leerdam
18,4143BW,Van Naaldwijcklaan,Leerdam
19,4143VE,Violierlaan,Leerdam
24,4143CV,Wederiklaan,Leerdam
30,4143CV,Wederiklaan,Leerdam
36,4143CV,Wederiklaan,Leerdam
11,4143CN,Weegbreelaan,Leerdam
3,4143EA,Weide,Leerdam
28,4141CL,Vlietskant,Leerdam
34,4141CM,Vlietskant,Leerdam
70,4141DK,Vogelsangstraat,Leerdam
82,4141DK,Vogelsangstraat,Leerdam
5,4141DE,Vrijheidsstraat,Leerdam
10,4141DE,Vrijheidsstraat,Leerdam
7,4145MH,Diefdijk,Schoonrewoerd
19,4142DB,Voorwaartsveld,Leerdam
33,4142DB,Voorwaartsveld,Leerdam
41,4142DC,Voorwaartsveld,Leerdam
46,4142DC,Voorwaartsveld,Leerdam
9,4142BN,Van Rijstraat,Leerdam
58,4142BV,Raadsliedenstraat,Leerdam
52,4142DD,Voorwaartsveld,Leerdam
59,4142DD,Voorwaartsveld,Leerdam
64,4142DE,Voorwaartsveld,Leerdam
70,4142DE,Voorwaartsveld,Leerdam
76,4142DE,Voorwaartsveld,Leerdam
104,4142BV,Raadsliedenstraat,Leerdam
114,4142BV,Raadsliedenstraat,Leerdam
130,4142BV,Raadsliedenstraat,Leerdam
142,4142BV,Raadsliedenstraat,Leerdam
152,4142BV,Raadsliedenstraat,Leerdam
8,4143HC,Schaiksehof,Leerdam
12,4143HC,Schaiksehof,Leerdam
46,4145NV,Noorderwoerd,Schoonrewoerd
18,4142EV,Groenzoom,Leerdam
127,4142EV,Groenzoom,Leerdam
84,4142VL,Patrimoniumstraat,Leerdam
11,4145NN,Overboeicop,Schoonrewoerd
18,4145NP,Overboeicop,Schoonrewoerd
25,4145NN,Overboeicop,Schoonrewoerd
3,4143LL,Bruininxdeelse Kade,Leerdam
33,4145KB,Dorpsstraat,Schoonrewoerd
51,4145KH,Koningin Wilhelminastraat,Schoonrewoerd
11,4247ED,Lingedijk,Kedichem
18,4247EJ,Onderweg,Kedichem
47,4247EE,Lingedijk,Kedichem
17,4145KP,Prinses Beatrixstraat,Schoonrewoerd
8,4145KK,Steenovenweg,Schoonrewoerd
15,4145KK,Steenovenweg,Schoonrewoerd
1,4145KE,Wilgenlaan,Schoonrewoerd
1,4163LM,Koenderseweg,Oosterwijk
