8807PP,25,,Meester Feringastraat,Herbaijum
8802BH,9,,Uranusbaan,Franeker
8801AC,13,,Van der Bildtstraat,Franeker
8802BH,10,,Uranusbaan,Franeker
8855DB,18,,De Kampen,Sexbierum
8807PP,27,,Meester Feringastraat,Herbaijum
8855DA,5,,De Kampen,Sexbierum
8855DB,20,,De Kampen,Sexbierum
8855DA,3,,De Kampen,Sexbierum
8807PA,1,,Jan Zeinstrastrjitte,Herbaijum
8802BH,25,,Uranusbaan,Franeker
8801AC,15,,Van der Bildtstraat,Franeker
8802BH,5,,Uranusbaan,Franeker
8802BG,28,,Neptunusbaan,Franeker
8853GN,21,,Lidlumerwei,Klooster Lidlum
8802BA,1,,Marsbaan,Franeker
8801TV,7,,Westerbolwerk,Franeker
8854AT,13,,Dr Jelle Zijlstraleane,Oosterbierum
8802BB,18,,Jupiterbaan,Franeker
8801AC,17,,Van der Bildtstraat,Franeker
8807PA,11,,Jan Zeinstrastrjitte,Herbaijum
8802BJ,7,,Saturnusbaan,Franeker
8801PB,83,,Harlingerweg,Franeker
8802BH,13,,Uranusbaan,Franeker
8801AC,19,,Van der Bildtstraat,Franeker
8807PP,23,,Meester Feringastraat,Herbaijum
8811HK,4,,Peinserweg,Ried
8804SB,41,,Pastorijleane,Tzum
8802BD,3,,Maanbaan,Franeker
8806KS,3,,Deersum,Achlum
8802ME,2,,Binnenhof,Franeker
8807PM,34,,Siccamastraat,Herbaijum
8804SG,13,,Jorit Martensstrjitte,Tzum
8801HH,51,,Minne Hofstrastraat,Franeker
8801HH,53,,Minne Hofstrastraat,Franeker
8801HH,55,,Minne Hofstrastraat,Franeker
8851EK,20,,Nij Bethanië,Tzummarum
8801KZ,5,,Voorstraat,Franeker
8801KZ,25,,Voorstraat,Franeker
8802PX,85,,Hertog van Saxenlaan,Franeker
8801HA,21,,Professor J Bogermanstraat,Franeker
8801HA,23,,Professor J Bogermanstraat,Franeker
8802ME,4,,Binnenhof,Franeker
8801HA,25,,Professor J Bogermanstraat,Franeker
8801HA,27,,Professor J Bogermanstraat,Franeker
8801PB,77,,Harlingerweg,Franeker
8804SB,47,,Pastorijleane,Tzum
8804SG,15,,Jorit Martensstrjitte,Tzum
8804SB,49,,Pastorijleane,Tzum
8804SG,17,,Jorit Martensstrjitte,Tzum
8802BB,12,,Jupiterbaan,Franeker
8804SG,26,,Jorit Martensstrjitte,Tzum
8801PN,9,,Edisonstraat,Franeker
8802ME,6,,Binnenhof,Franeker
8804SG,20,,Jorit Martensstrjitte,Tzum
8804SG,11,,Jorit Martensstrjitte,Tzum
8804SC,40,,Pastorijleane,Tzum
8801PG,3,,Burgemeester J Dijkstraweg,Franeker
8811HH,9,,Nieuweweg,Ried
8804SG,28,,Jorit Martensstrjitte,Tzum
8804SB,53,,Pastorijleane,Tzum
8855XE,19,,Juckemaleane,Sexbierum
8851EK,42,,Nij Bethanië,Tzummarum
8802ME,8,,Binnenhof,Franeker
8851EK,44,,Nij Bethanië,Tzummarum
8851EK,48,,Nij Bethanië,Tzummarum
8851EK,50,,Nij Bethanië,Tzummarum
8851EK,52,,Nij Bethanië,Tzummarum
8851EK,54,,Nij Bethanië,Tzummarum
8851EK,56,,Nij Bethanië,Tzummarum
8851RH,19,,Sytzamaleane,Tzummarum
8807PP,29,,Meester Feringastraat,Herbaijum
8856BT,12,,Hearewei,Pietersbierum
8802BE,1,,Planetenbaan,Franeker
8802BM,18,,Plutobaan,Franeker
8802BM,16,,Plutobaan,Franeker
