11,1486MR,Cornelis Blaauwstraat,West-Graftdijk
13,1483HB,De Eendracht,De Rijp
14,1483HB,De Eendracht,De Rijp
2,1483AV,De Meelzak,De Rijp
3,1483AV,De Meelzak,De Rijp
105,1483VH,Julianalaan,De Rijp
109,1483VH,Julianalaan,De Rijp
113,1483VH,Julianalaan,De Rijp
115,1483VH,Julianalaan,De Rijp
135,1483VJ,Julianalaan,De Rijp
137,1483VJ,Julianalaan,De Rijp
141,1483VJ,Julianalaan,De Rijp
143,1483VJ,Julianalaan,De Rijp
149,1483VJ,Julianalaan,De Rijp
155,1483VJ,Julianalaan,De Rijp
159,1483VK,Julianalaan,De Rijp
161,1483VK,Julianalaan,De Rijp
167,1483VK,Julianalaan,De Rijp
169,1483VK,Julianalaan,De Rijp
171,1483VK,Julianalaan,De Rijp
175,1483VK,Julianalaan,De Rijp
1,1487MA,Kamerhop,Oost-Graftdijk
1,1486MG,Kanaaldijk,West-Graftdijk
3,1486MG,Kanaaldijk,West-Graftdijk
27,1483XG,Heikeshof,De Rijp
28,1483XG,Heikeshof,De Rijp
29,1483XG,Heikeshof,De Rijp
5,1483GA,De Volger,De Rijp
7,1483GA,De Volger,De Rijp
10,1483GA,De Volger,De Rijp
13,1483GA,De Volger,De Rijp
14,1483GA,De Volger,De Rijp
16,1483GA,De Volger,De Rijp
24,1483GA,De Volger,De Rijp
25,1483GA,De Volger,De Rijp
26,1483GA,De Volger,De Rijp
1,1536AD,Dorpsstraat,Markenbinnen
3,1484EJ,Dorpsstraat,Graft
3,1536AD,Dorpsstraat,Markenbinnen
4,1484EJ,Dorpsstraat,Graft
5,1484EJ,Dorpsstraat,Graft
7,1484EJ,Dorpsstraat,Graft
7,1536AD,Dorpsstraat,Markenbinnen
8,1484EJ,Dorpsstraat,Graft
9,1536AD,Dorpsstraat,Markenbinnen
13,1484EJ,Dorpsstraat,Graft
14,1484EJ,Dorpsstraat,Graft
14,1536AG,Dorpsstraat,Markenbinnen
15,1484EJ,Dorpsstraat,Graft
16,1536AG,Dorpsstraat,Markenbinnen
17,1536AD,Dorpsstraat,Markenbinnen
24,1484EJ,Dorpsstraat,Graft
25,1484EJ,Dorpsstraat,Graft
26,1484EK,Dorpsstraat,Graft
26,1536AG,Dorpsstraat,Markenbinnen
28,1484EK,Dorpsstraat,Graft
4,1483GE,G.G. Schipperstraat,De Rijp
6,1483GE,G.G. Schipperstraat,De Rijp
7,1483GE,G.G. Schipperstraat,De Rijp
8,1483GE,G.G. Schipperstraat,De Rijp
14,1483GE,G.G. Schipperstraat,De Rijp
16,1483GE,G.G. Schipperstraat,De Rijp
79,1483CR,Haringbuis,De Rijp
81,1483CR,Haringbuis,De Rijp
82,1483CV,Haringbuis,De Rijp
84,1483CV,Haringbuis,De Rijp
86,1483CV,Haringbuis,De Rijp
87,1483CR,Haringbuis,De Rijp
91,1483CS,Haringbuis,De Rijp
92,1483CW,Haringbuis,De Rijp
95,1483CS,Haringbuis,De Rijp
97,1483CS,Haringbuis,De Rijp
101,1483CS,Haringbuis,De Rijp
103,1483CS,Haringbuis,De Rijp
104,1483CW,Haringbuis,De Rijp
107,1483CS,Haringbuis,De Rijp
118,1483CW,Haringbuis,De Rijp
120,1483CW,Haringbuis,De Rijp
122,1483CW,Haringbuis,De Rijp
124,1483CW,Haringbuis,De Rijp
125,1483CS,Haringbuis,De Rijp
127,1483CS,Haringbuis,De Rijp
128,1483CW,Haringbuis,De Rijp
130,1483CW,Haringbuis,De Rijp
131,1483CS,Haringbuis,De Rijp
134,1483CW,Haringbuis,De Rijp
63,1484EL,Dorpsstraat,Graft
65,1536AE,Dorpsstraat,Markenbinnen
66,1536AH,Dorpsstraat,Markenbinnen
1,1483XN,Driekoningenhof,De Rijp
2,1483XN,Driekoningenhof,De Rijp
4,1483XN,Driekoningenhof,De Rijp
6,1483XN,Driekoningenhof,De Rijp
7,1483XN,Driekoningenhof,De Rijp
9,1483XN,Driekoningenhof,De Rijp
11,1483XN,Driekoningenhof,De Rijp
13,1483XN,Driekoningenhof,De Rijp
14,1483XN,Driekoningenhof,De Rijp
15,1483XN,Driekoningenhof,De Rijp
16,1483XN,Driekoningenhof,De Rijp
36,1483XP,Driekoningenhof,De Rijp
40,1483XP,Driekoningenhof,De Rijp
42,1483XR,Driekoningenhof,De Rijp
43,1483XR,Driekoningenhof,De Rijp
44,1483XR,Driekoningenhof,De Rijp
45,1483XR,Driekoningenhof,De Rijp
46,1483XR,Driekoningenhof,De Rijp
48,1483XR,Driekoningenhof,De Rijp
51,1483XR,Driekoningenhof,De Rijp
52,1483XR,Driekoningenhof,De Rijp
55,1483XR,Driekoningenhof,De Rijp
56,1483XR,Driekoningenhof,De Rijp
57,1483XR,Driekoningenhof,De Rijp
62,1483XS,Driekoningenhof,De Rijp
63,1483XS,Driekoningenhof,De Rijp
66,1483XS,Driekoningenhof,De Rijp
68,1483XS,Driekoningenhof,De Rijp
69,1483XS,Driekoningenhof,De Rijp
71,1483XS,Driekoningenhof,De Rijp
74,1483XS,Driekoningenhof,De Rijp
77,1483XS,Driekoningenhof,De Rijp
81,1483XS,Driekoningenhof,De Rijp
3,1484PB,Dwarsweg,Graft
1,1483CH,Fluytschip,De Rijp
3,1483CH,Fluytschip,De Rijp
4,1483CK,Fluytschip,De Rijp
6,1483CK,Fluytschip,De Rijp
8,1483CK,Fluytschip,De Rijp
9,1483CH,Fluytschip,De Rijp
12,1483CK,Fluytschip,De Rijp
14,1483CK,Fluytschip,De Rijp
15,1483CH,Fluytschip,De Rijp
16,1483CK,Fluytschip,De Rijp
18,1483CK,Fluytschip,De Rijp
21,1483CH,Fluytschip,De Rijp
23,1483CH,Fluytschip,De Rijp
25,1483CH,Fluytschip,De Rijp
26,1483CK,Fluytschip,De Rijp
28,1483CK,Fluytschip,De Rijp
29,1483CH,Fluytschip,De Rijp
31,1483CH,Fluytschip,De Rijp
32,1483CK,Fluytschip,De Rijp
33,1483CH,Fluytschip,De Rijp
35,1483CH,Fluytschip,De Rijp
36,1483CL,Fluytschip,De Rijp
39,1483CH,Fluytschip,De Rijp
41,1483CJ,Fluytschip,De Rijp
42,1483CL,Fluytschip,De Rijp
44,1483CL,Fluytschip,De Rijp
45,1483CJ,Fluytschip,De Rijp
56,1483CL,Fluytschip,De Rijp
58,1483CL,Fluytschip,De Rijp
59,1483CJ,Fluytschip,De Rijp
60,1483CL,Fluytschip,De Rijp
64,1483CL,Fluytschip,De Rijp
68,1483CL,Fluytschip,De Rijp
69,1483CJ,Fluytschip,De Rijp
70,1483CL,Fluytschip,De Rijp
74,1483CL,Fluytschip,De Rijp
1,1483GE,G.G. Schipperstraat,De Rijp
2,1483GE,G.G. Schipperstraat,De Rijp
138,1483CW,Haringbuis,De Rijp
5,1483AK,Havenstraat,De Rijp
1,1483XE,Heikeshof,De Rijp
4,1483XE,Heikeshof,De Rijp
6,1483XE,Heikeshof,De Rijp
8,1483XE,Heikeshof,De Rijp
9,1483XE,Heikeshof,De Rijp
11,1483XE,Heikeshof,De Rijp
12,1483XE,Heikeshof,De Rijp
13,1483XE,Heikeshof,De Rijp
16,1483XE,Heikeshof,De Rijp
23,1483XE,Heikeshof,De Rijp
25,1483XE,Heikeshof,De Rijp
69,1483VG,Julianalaan,De Rijp
70,1483VM,Julianalaan,De Rijp
72,1483VM,Julianalaan,De Rijp
73,1483VG,Julianalaan,De Rijp
74,1483VM,Julianalaan,De Rijp
77,1483VH,Julianalaan,De Rijp
78,1483VM,Julianalaan,De Rijp
83,1483VH,Julianalaan,De Rijp
85,1483VH,Julianalaan,De Rijp
89,1483VH,Julianalaan,De Rijp
93,1483VH,Julianalaan,De Rijp
95,1483VH,Julianalaan,De Rijp
97,1483VH,Julianalaan,De Rijp
101,1483VH,Julianalaan,De Rijp
91,1486MH,Kanaaldijk,West-Graftdijk
101,1486MH,Kanaaldijk,West-Graftdijk
2,1483BW,Keizerbuurt,De Rijp
4,1483BW,Keizerbuurt,De Rijp
8,1483BW,Keizerbuurt,De Rijp
2,1483BN,Kerkstraat,De Rijp
9,1483BM,Kerkstraat,De Rijp
11,1483BM,Kerkstraat,De Rijp
13,1483BM,Kerkstraat,De Rijp
14,1483BN,Kerkstraat,De Rijp
18,1483BN,Kerkstraat,De Rijp
19,1483BM,Kerkstraat,De Rijp
20,1483BN,Kerkstraat,De Rijp
23,1483BM,Kerkstraat,De Rijp
24,1483BN,Kerkstraat,De Rijp
25,1483BM,Kerkstraat,De Rijp
26,1483BN,Kerkstraat,De Rijp
28,1483BN,Kerkstraat,De Rijp
30,1483BN,Kerkstraat,De Rijp
32,1483BN,Kerkstraat,De Rijp
36,1483BN,Kerkstraat,De Rijp
2,1483TW,Klipper,De Rijp
3,1483TS,Klipper,De Rijp
4,1483TW,Klipper,De Rijp
5,1483TS,Klipper,De Rijp
6,1483TW,Klipper,De Rijp
7,1483TS,Klipper,De Rijp
21,1483TS,Klipper,De Rijp
25,1483TS,Klipper,De Rijp
26,1483TW,Klipper,De Rijp
28,1483TW,Klipper,De Rijp
31,1483TS,Klipper,De Rijp
32,1483TW,Klipper,De Rijp
33,1483TT,Klipper,De Rijp
34,1483TW,Klipper,De Rijp
36,1483TW,Klipper,De Rijp
38,1483TW,Klipper,De Rijp
42,1483TV,Klipper,De Rijp
43,1483TT,Klipper,De Rijp
45,1483TT,Klipper,De Rijp
47,1483TT,Klipper,De Rijp
48,1483TV,Klipper,De Rijp
51,1483TT,Klipper,De Rijp
52,1483TV,Klipper,De Rijp
54,1483TV,Klipper,De Rijp
57,1483TT,Klipper,De Rijp
59,1483TT,Klipper,De Rijp
60,1483TV,Klipper,De Rijp
61,1483TT,Klipper,De Rijp
63,1483TT,Klipper,De Rijp
64,1483TV,Klipper,De Rijp
66,1483TV,Klipper,De Rijp
84,1483TX,Klipper,De Rijp
90,1483TX,Klipper,De Rijp
94,1483TX,Klipper,De Rijp
98,1483TX,Klipper,De Rijp
100,1483TX,Klipper,De Rijp
104,1483TX,Klipper,De Rijp
108,1483TZ,Klipper,De Rijp
118,1483TZ,Klipper,De Rijp
35,1484EG,Kromme Horn,Graft
36,1484EH,Kromme Horn,Graft
38,1484EH,Kromme Horn,Graft
39,1484EG,Kromme Horn,Graft
41,1484EG,Kromme Horn,Graft
1,1483BP,Langebrugspad,De Rijp
2,1483BP,Langebrugspad,De Rijp
1,1483VC,Leeghwaterstraat,De Rijp
3,1483VC,Leeghwaterstraat,De Rijp
32,1483XG,Heikeshof,De Rijp
33,1483XG,Heikeshof,De Rijp
34,1483XG,Heikeshof,De Rijp
35,1483XG,Heikeshof,De Rijp
38,1483XG,Heikeshof,De Rijp
40,1483XG,Heikeshof,De Rijp
41,1483XG,Heikeshof,De Rijp
44,1483XG,Heikeshof,De Rijp
46,1483XG,Heikeshof,De Rijp
47,1483XG,Heikeshof,De Rijp
48,1483XG,Heikeshof,De Rijp
50,1483XG,Heikeshof,De Rijp
63,1483XH,Heikeshof,De Rijp
65,1483XH,Heikeshof,De Rijp
67,1483XH,Heikeshof,De Rijp
69,1483XH,Heikeshof,De Rijp
2,1483GC,J.P. Poelstraat,De Rijp
6,1483GC,J.P. Poelstraat,De Rijp
2,1486MN,Jacob Jacobszoon Vinckesstraat,West-Graftdijk
3,1486MN,Jacob Jacobszoon Vinckesstraat,West-Graftdijk
5,1486MN,Jacob Jacobszoon Vinckesstraat,West-Graftdijk
7,1486MN,Jacob Jacobszoon Vinckesstraat,West-Graftdijk
2,1483BL,Jan Boonplein,De Rijp
6,1483BL,Jan Boonplein,De Rijp
12,1483BL,Jan Boonplein,De Rijp
17,1483BL,Jan Boonplein,De Rijp
18,1483BL,Jan Boonplein,De Rijp
19,1483BL,Jan Boonplein,De Rijp
20,1483BL,Jan Boonplein,De Rijp
1,1483VD,Jan Cornelisz. Rijpstraat,De Rijp
14,1483VD,Jan Cornelisz. Rijpstraat,De Rijp
1,1483VR,Jan Ploegerlaan,De Rijp
1,1483VE,Julianalaan,De Rijp
5,1483VE,Julianalaan,De Rijp
9,1483VE,Julianalaan,De Rijp
11,1483VE,Julianalaan,De Rijp
13,1483VE,Julianalaan,De Rijp
28,1483VL,Julianalaan,De Rijp
29,1483VE,Julianalaan,De Rijp
31,1483VE,Julianalaan,De Rijp
32,1483VL,Julianalaan,De Rijp
34,1483VL,Julianalaan,De Rijp
35,1483VE,Julianalaan,De Rijp
36,1483VL,Julianalaan,De Rijp
49,1483VG,Julianalaan,De Rijp
51,1483VG,Julianalaan,De Rijp
55,1483VG,Julianalaan,De Rijp
57,1483VG,Julianalaan,De Rijp
59,1483VG,Julianalaan,De Rijp
60,1483VM,Julianalaan,De Rijp
63,1483VG,Julianalaan,De Rijp
64,1483VM,Julianalaan,De Rijp
66,1483VM,Julianalaan,De Rijp
13,1488AB,Kogerpolder,Starnmeer
14,1488AB,Kogerpolder,Starnmeer
16,1488AB,Kogerpolder,Starnmeer
19,1488AB,Kogerpolder,Starnmeer
24,1488AB,Kogerpolder,Starnmeer
4,1483AJ,Kralingerbuurt,De Rijp
1,1483AH,Kralingergracht,De Rijp
4,1483AH,Kralingergracht,De Rijp
8,1483AH,Kralingergracht,De Rijp
52,1483XH,Heikeshof,De Rijp
12,1483AH,Kralingergracht,De Rijp
15,1483AH,Kralingergracht,De Rijp
15,1484EG,Kromme Horn,Graft
16,1484EH,Kromme Horn,Graft
18,1484EH,Kromme Horn,Graft
19,1484EG,Kromme Horn,Graft
24,1484EH,Kromme Horn,Graft
26,1484EH,Kromme Horn,Graft
28,1484EH,Kromme Horn,Graft
29,1484EG,Kromme Horn,Graft
30,1484EH,Kromme Horn,Graft
31,1484EG,Kromme Horn,Graft
33,1484EG,Kromme Horn,Graft
5,1486MG,Kanaaldijk,West-Graftdijk
9,1486MG,Kanaaldijk,West-Graftdijk
13,1486MG,Kanaaldijk,West-Graftdijk
47,1486MG,Kanaaldijk,West-Graftdijk
53,1486MG,Kanaaldijk,West-Graftdijk
59,1486MG,Kanaaldijk,West-Graftdijk
65,1486MG,Kanaaldijk,West-Graftdijk
67,1486MG,Kanaaldijk,West-Graftdijk
69,1486MG,Kanaaldijk,West-Graftdijk
71,1486MG,Kanaaldijk,West-Graftdijk
75,1486MG,Kanaaldijk,West-Graftdijk
85,1486MH,Kanaaldijk,West-Graftdijk
12,1483AD,Oosteinde,De Rijp
20,1483AD,Oosteinde,De Rijp
23,1483AC,Oosteinde,De Rijp
26,1483AD,Oosteinde,De Rijp
28,1483AD,Oosteinde,De Rijp
29,1483AC,Oosteinde,De Rijp
32,1483AE,Oosteinde,De Rijp
33,1483AC,Oosteinde,De Rijp
34,1483AE,Oosteinde,De Rijp
35,1483AC,Oosteinde,De Rijp
36,1483AE,Oosteinde,De Rijp
38,1483AE,Oosteinde,De Rijp
41,1483AC,Oosteinde,De Rijp
