4231VG,44,,Broekseweg,Meerkerk
4126RE,65,,Hei- en Boeicopseweg,Hei- en Boeicop
4126RG,103,,Hei- en Boeicopseweg,Hei- en Boeicop
4243JD,23,,Zijlkade,Nieuwland
4126RG,111,,Hei- en Boeicopseweg,Hei- en Boeicop
4233GA,10,,Industrieweg,Ameide
4245JS,2,,Nieuwe Geer,Leerbroek
4243JJ,5,,Kwakernaak,Nieuwland
4233GJ,8,,Den Hoef,Ameide
4233GD,72,,Aaksterveld,Ameide
4233HL,90,,Prinses Marijkeweg,Ameide
4235AJ,9,,Vijf Akkers,Tienhoven
4235AJ,5,,Vijf Akkers,Tienhoven
4233GG,12,,De Schans,Ameide
4243JE,16,,Zijlkade,Nieuwland
4233GJ,17,,Den Hoef,Ameide
4233GD,56,,Aaksterveld,Ameide
4233GM,12,,Hoepmakersstraat,Ameide
4233CT,33,,Broekseweg,Ameide
4233GC,10,,Aaksterveld,Ameide
4233HS,21,,Iepenlaan,Ameide
4233HG,53,,Liesveldweg,Ameide
4233HD,43,,Doelakkerweg,Ameide
4233CH,37,,Zouwendijk,Ameide
4233EG,6,,Nieuwstraat,Ameide
4235AA,21,,Lange Bogerd,Tienhoven
4233CM,35,,Lekdijk,Ameide
4233HH,6,,Liesveldweg,Ameide
4128LJ,44,,Lakerveld,Lexmond
4128CK,17,,Ds. Magendansstraat,Lexmond
4128CH,54,,Wethouder J. de Jongstraat,Lexmond
4128CK,11,,Ds. Magendansstraat,Lexmond
4128CH,50,,Wethouder J. de Jongstraat,Lexmond
4243JT,45,,Geer,Nieuwland
4233HL,70,,Prinses Marijkeweg,Ameide
4233HP,44,,Hazelaarlaan,Ameide
4233HS,9,,Iepenlaan,Ameide
4233HL,64,,Prinses Marijkeweg,Ameide
4233HL,50,,Prinses Marijkeweg,Ameide
4233EV,77,,Prinsengracht,Ameide
4233EV,75,,Prinsengracht,Ameide
4235VS,14,,Hogewaard,Tienhoven
4233ER,43,,Molenstraat,Ameide
4233HC,35,,Doelakkerweg,Ameide
4243JK,22,,Kwakernaak,Nieuwland
4233EJ,35,,J.W. van Puttestraat,Ameide
4233EM,5,,Kerkstraat,Ameide
4235AG,6,,Spithoven,Tienhoven
4235AH,20,,Vijf Akkers,Tienhoven
4233EK,67,,J.W. van Puttestraat,Ameide
4233ED,10,,Fransestraat,Ameide
4233ED,4,,Fransestraat,Ameide
4128SE,5,,Bastiaan Bosstraat,Lexmond
4235AK,30,,Amelia'slaan,Tienhoven
4128LJ,10,,Lakerveld,Lexmond
4243JX,13,,Verduinstraat,Nieuwland
4128CG,22,,Wethouder J. de Jongstraat,Lexmond
4235VR,4,,Kweldam,Tienhoven
4243JB,6,,Lange Schenkel,Nieuwland
4243JV,6,,Zalingstraat,Nieuwland
4235VM,47,,Lekdijk,Tienhoven
4128SR,14,,Kastanjelaan,Lexmond
4128CD,32,,De Nes,Lexmond
4128CD,20,,De Nes,Lexmond
4128CC,10,,De Nes,Lexmond
4243JB,9,,Lange Schenkel,Nieuwland
4128SH,5,,Wilgenhof,Lexmond
4128BR,9,,Anna Maria van Schuurmanplein,Lexmond
4126RE,55,,Hei- en Boeicopseweg,Hei- en Boeicop
4231ZD,22,,Bazeldijk,Meerkerk
4231ZJ,10,,Burggraaf,Meerkerk
4231VD,81,,Broekseweg,Meerkerk
4231BE,25,,Gorinchemsestraat,Meerkerk
4245TV,40,,Middelkoop,Leerbroek
4128BR,1,,Anna Maria van Schuurmanplein,Lexmond
4128BL,6,,Rozemarijnsteeg,Lexmond
4128SJ,6,,Wilgenhof,Lexmond
4128CZ,40,,Zuidernes,Lexmond
4128CZ,30,,Zuidernes,Lexmond
4128CZ,12,,Zuidernes,Lexmond
4243HA,1,,Ryerskop,Nieuwland
4128SX,51,,Gregoriuslaan,Lexmond
4128SV,10,,Berkenlaan,Lexmond
4243JX,35,,Verduinstraat,Nieuwland
4128SZ,50,,Gregoriuslaan,Lexmond
4128SZ,16,,Gregoriuslaan,Lexmond
4243JJ,45,,Kwakernaak,Nieuwland
4128CT,3,,Burgemeester Potstraat,Lexmond
4245KH,3,,Kloosterhof,Leerbroek
4128CW,34,,Killesteijnstraat,Lexmond
4235AG,2,,Spithoven,Tienhoven
4235AD,10,,Lange Bogerd,Tienhoven
4128SH,13,,Wilgenhof,Lexmond
4128BV,16,,Kom Lekdijk,Lexmond
4243TM,3,,Achterdijk,Nieuwland
4233CN,14,,Meidoornlaan,Ameide
4126RT,35,,Pleinstraat,Hei- en Boeicop
4233GJ,21,,Den Hoef,Ameide
4233GE,12,,De Griend,Ameide
4233HP,22,,Hazelaarlaan,Ameide
4128BV,30,,Kom Lekdijk,Lexmond
4128LV,12,,Achthoven,Lexmond
4233HE,60,,Doelakkerweg,Ameide
4233HK,49,,Prinses Marijkeweg,Ameide
