7735KW,2,,Koelandweg,Arriën
7735KW,3,,Koelandweg,Arriën
7735KW,4,,Koelandweg,Arriën
7735KW,5,,Koelandweg,Arriën
7735KW,6,,Koelandweg,Arriën
7735KW,7,,Koelandweg,Arriën
7735KW,11,,Koelandweg,Arriën
7735KW,12,,Koelandweg,Arriën
7735KW,14,,Koelandweg,Arriën
7735KW,15,,Koelandweg,Arriën
7735KW,16,,Koelandweg,Arriën
7735KW,17,,Koelandweg,Arriën
7737PA,1,,Driehoekweg,Stegeren
7737PA,4,,Driehoekweg,Stegeren
7737PA,5,,Driehoekweg,Stegeren
7737PA,6,,Driehoekweg,Stegeren
7737PD,3,,Ondersloot Zuid,Stegeren
7737PA,9,,Driehoekweg,Stegeren
7737PA,10,,Driehoekweg,Stegeren
7737PA,11,,Driehoekweg,Stegeren
7737PA,12,,Driehoekweg,Stegeren
7737PA,13,,Driehoekweg,Stegeren
7737PA,14,,Driehoekweg,Stegeren
7737PA,15,,Driehoekweg,Stegeren
7737PB,18,,Driehoekweg,Stegeren
7737PB,19,,Driehoekweg,Stegeren
7737PB,21,,Driehoekweg,Stegeren
7737PB,22,,Driehoekweg,Stegeren
7731RC,2,,Arendhorsterweg,Ommen
7731RE,1,,de Ziel,Ommen
7731RJ,2,,Broekdijkje,Ommen
7731RK,2,,Broekweg,Ommen
7731RK,3,,Broekweg,Ommen
7731RL,2,,Bossteeg,Ommen
7731RM,1,,Akkersteeg,Ommen
7731RN,1,,Hessenweg West,Ommen
7731RN,2,,Hessenweg West,Ommen
7731RN,4,,Hessenweg West,Ommen
7731RN,6,,Hessenweg West,Ommen
7731RN,7,,Hessenweg West,Ommen
7731RN,8,,Hessenweg West,Ommen
7731RN,9,,Hessenweg West,Ommen
7731RN,11,,Hessenweg West,Ommen
7731RN,12,,Hessenweg West,Ommen
7731RN,13,,Hessenweg West,Ommen
7731RN,14,,Hessenweg West,Ommen
7731RN,15,,Hessenweg West,Ommen
7731RN,16,,Hessenweg West,Ommen
7731VK,14,,Windestraat,Ommen
7731VK,16,,Windestraat,Ommen
7731VK,18,,Windestraat,Ommen
7731VK,20,,Windestraat,Ommen
7731VK,22,,Windestraat,Ommen
7731VK,24,,Windestraat,Ommen
7731VK,26,,Windestraat,Ommen
7731VK,28,,Windestraat,Ommen
7731VK,30,,Windestraat,Ommen
7731VK,32,,Windestraat,Ommen
7731VK,34,,Windestraat,Ommen
7731VK,36,,Windestraat,Ommen
7731VK,38,,Windestraat,Ommen
7731VK,40,,Windestraat,Ommen
7731VL,1,,Egelantierstraat,Ommen
7731VL,3,,Egelantierstraat,Ommen
7731VL,5,,Egelantierstraat,Ommen
7731VL,7,,Egelantierstraat,Ommen
7731VL,9,,Egelantierstraat,Ommen
7731VL,11,,Egelantierstraat,Ommen
7731VL,13,,Egelantierstraat,Ommen
7731VL,15,,Egelantierstraat,Ommen
7731VL,17,,Egelantierstraat,Ommen
7731VL,19,,Egelantierstraat,Ommen
7731VL,21,,Egelantierstraat,Ommen
7731VL,23,,Egelantierstraat,Ommen
7731VM,2,,Egelantierstraat,Ommen
7731VM,4,,Egelantierstraat,Ommen
7731VM,6,,Egelantierstraat,Ommen
7731VM,8,,Egelantierstraat,Ommen
7731VM,10,,Egelantierstraat,Ommen
7731VM,12,,Egelantierstraat,Ommen
7731VM,14,,Egelantierstraat,Ommen
7731VM,16,,Egelantierstraat,Ommen
7731VM,18,,Egelantierstraat,Ommen
7731VM,20,,Egelantierstraat,Ommen
7731VM,22,,Egelantierstraat,Ommen
7731VM,24,,Egelantierstraat,Ommen
7731VM,26,,Egelantierstraat,Ommen
7731XV,31,,Zwaluwstraat,Ommen
7731XV,33,,Zwaluwstraat,Ommen
7731XV,35,,Zwaluwstraat,Ommen
7731XV,37,,Zwaluwstraat,Ommen
7731XV,39,,Zwaluwstraat,Ommen
7731XW,35,,Merelstraat,Ommen
7731XW,37,,Merelstraat,Ommen
7731XW,39,,Merelstraat,Ommen
7731XW,41,,Merelstraat,Ommen
7731XW,43,,Merelstraat,Ommen
7731XW,45,,Merelstraat,Ommen
7731XW,47,,Merelstraat,Ommen
7731XW,49,,Merelstraat,Ommen
7731XW,51,,Merelstraat,Ommen
7731XW,53,,Merelstraat,Ommen
7731XW,55,,Merelstraat,Ommen
7731XW,57,,Merelstraat,Ommen
7731XW,59,,Merelstraat,Ommen
7731XW,61,,Merelstraat,Ommen
7731XW,63,,Merelstraat,Ommen
7731XW,65,,Merelstraat,Ommen
7731XW,67,,Merelstraat,Ommen
7731XW,69,,Merelstraat,Ommen
7731XW,71,,Merelstraat,Ommen
7731XW,73,,Merelstraat,Ommen
7731XW,75,,Merelstraat,Ommen
7731XW,77,,Merelstraat,Ommen
7731XW,79,,Merelstraat,Ommen
7731XW,81,,Merelstraat,Ommen
7731XW,83,,Merelstraat,Ommen
7731XW,85,,Merelstraat,Ommen
7731XW,87,,Merelstraat,Ommen
7731XW,89,,Merelstraat,Ommen
7731XW,91,,Merelstraat,Ommen
7731XX,1,,Tuinfluiterstraat,Ommen
7731XX,3,,Tuinfluiterstraat,Ommen
7731XX,5,,Tuinfluiterstraat,Ommen
7731XX,7,,Tuinfluiterstraat,Ommen
7731XX,9,,Tuinfluiterstraat,Ommen
7737PB,23,,Driehoekweg,Stegeren
7737PB,24,,Driehoekweg,Stegeren
7737PB,25,,Driehoekweg,Stegeren
7737PC,4,,Elfde Wijk,Stegeren
7737PC,6,,Elfde Wijk,Stegeren
7737PC,8,,Elfde Wijk,Stegeren
7737PC,10,,Elfde Wijk,Stegeren
7737PC,14,,Elfde Wijk,Stegeren
7737PC,16,,Elfde Wijk,Stegeren
7737PD,1,,Ondersloot Zuid,Stegeren
7737PD,5,,Ondersloot Zuid,Stegeren
7737PD,4,,Ondersloot Zuid,Stegeren
7737PE,21,,Coevorderweg,Stegeren
7737PE,21,C033,Coevorderweg,Stegeren
7737PE,21,C031,Coevorderweg,Stegeren
7737PE,21,C030,Coevorderweg,Stegeren
7737PE,21,C029,Coevorderweg,Stegeren
7737PE,21,C035,Coevorderweg,Stegeren
7737PE,21,C021,Coevorderweg,Stegeren
7737PE,21,C020,Coevorderweg,Stegeren
7737PE,21,C019,Coevorderweg,Stegeren
7737PE,21,C018,Coevorderweg,Stegeren
7737PE,21,C005,Coevorderweg,Stegeren
7737PE,21,C049,Coevorderweg,Stegeren
7737PE,21,C048,Coevorderweg,Stegeren
7737PE,21,C047,Coevorderweg,Stegeren
7737PE,21,C045,Coevorderweg,Stegeren
7737PE,21,C034,Coevorderweg,Stegeren
7737PE,21,C043,Coevorderweg,Stegeren
7737PE,21,C039,Coevorderweg,Stegeren
7737PE,21,C038,Coevorderweg,Stegeren
7737PE,21,C037,Coevorderweg,Stegeren
7737PE,21,C113,Coevorderweg,Stegeren
7737PE,21,C105,Coevorderweg,Stegeren
7737PE,25,1,Coevorderweg,Stegeren
7737PE,25,001,Coevorderweg,Stegeren
7737PE,25,2,Coevorderweg,Stegeren
7737PE,25,002,Coevorderweg,Stegeren
7737PE,25,3,Coevorderweg,Stegeren
7737PE,25,003,Coevorderweg,Stegeren
7731RR,1,,Oude Woestendijk,Ommen
7731RT,1,,Hasselerweg,Ommen
7731RT,2,,Hasselerweg,Ommen
7731RT,3,,Hasselerweg,Ommen
7731RT,4,,Hasselerweg,Ommen
7731RV,1,,Dwarsdijk,Ommen
7731RV,2,,Dwarsdijk,Ommen
7731RV,3,,Dwarsdijk,Ommen
7731RV,4,,Dwarsdijk,Ommen
7731RV,5,,Dwarsdijk,Ommen
7731RV,6,,Dwarsdijk,Ommen
7731RX,3,,Balkerweg,Ommen
7731RX,5,,Balkerweg,Ommen
7731RX,7,,Balkerweg,Ommen
7731RX,15,,Balkerweg,Ommen
7731VN,3,,Herikstraat,Ommen
7731VN,5,,Herikstraat,Ommen
7731VN,7,,Herikstraat,Ommen
7731VN,9,,Herikstraat,Ommen
7731VN,11,,Herikstraat,Ommen
7731VN,13,,Herikstraat,Ommen
7731VN,15,,Herikstraat,Ommen
7731VN,17,,Herikstraat,Ommen
7731VN,19,,Herikstraat,Ommen
7731VN,21,,Herikstraat,Ommen
7731VN,23,,Herikstraat,Ommen
7731VN,25,,Herikstraat,Ommen
7731VN,27,,Herikstraat,Ommen
7731VN,29,,Herikstraat,Ommen
7731VN,31,,Herikstraat,Ommen
7731VN,33,,Herikstraat,Ommen
7731VN,35,,Herikstraat,Ommen
7731VN,37,,Herikstraat,Ommen
7731VN,39,,Herikstraat,Ommen
7731VN,41,,Herikstraat,Ommen
7731VN,43,,Herikstraat,Ommen
7731VP,2,,Herikstraat,Ommen
7731VP,4,,Herikstraat,Ommen
7731VP,6,,Herikstraat,Ommen
7731VP,8,,Herikstraat,Ommen
7731VP,10,,Herikstraat,Ommen
7731VP,12,,Herikstraat,Ommen
7731VP,14,,Herikstraat,Ommen
7731VP,16,,Herikstraat,Ommen
7731VP,18,,Herikstraat,Ommen
7731VP,20,,Herikstraat,Ommen
7731VP,22,,Herikstraat,Ommen
7731VP,24,,Herikstraat,Ommen
7731VP,26,,Herikstraat,Ommen
7731VP,28,,Herikstraat,Ommen
7731VP,30,,Herikstraat,Ommen
7731VR,32,,Herikstraat,Ommen
7731VR,34,,Herikstraat,Ommen
7731VR,36,,Herikstraat,Ommen
7731XX,11,,Tuinfluiterstraat,Ommen
7731XX,13,,Tuinfluiterstraat,Ommen
7731XX,15,,Tuinfluiterstraat,Ommen
7731XX,17,,Tuinfluiterstraat,Ommen
7731XX,19,,Tuinfluiterstraat,Ommen
7731XX,21,,Tuinfluiterstraat,Ommen
7731XX,23,,Tuinfluiterstraat,Ommen
7731XX,25,,Tuinfluiterstraat,Ommen
7731XX,27,,Tuinfluiterstraat,Ommen
7731XX,29,,Tuinfluiterstraat,Ommen
7731XX,31,,Tuinfluiterstraat,Ommen
7731XX,33,,Tuinfluiterstraat,Ommen
7731XX,35,,Tuinfluiterstraat,Ommen
7731XX,37,,Tuinfluiterstraat,Ommen
