2324LX,26,,Klikspaanweg,Leiden
2324LX,27,,Klikspaanweg,Leiden
2324LX,28,,Klikspaanweg,Leiden
2324LX,29,,Klikspaanweg,Leiden
2324LX,31,,Klikspaanweg,Leiden
2324LX,34,,Klikspaanweg,Leiden
2324LX,35,,Klikspaanweg,Leiden
2324LX,36,,Klikspaanweg,Leiden
2324MB,1,,Rogier van Otterloopad,Leiden
2324MB,2,,Rogier van Otterloopad,Leiden
2324MB,3,,Rogier van Otterloopad,Leiden
2324ND,151,,Haagweg,Leiden
2324ND,153,,Haagweg,Leiden
2324ND,155,,Haagweg,Leiden
2324ND,157,,Haagweg,Leiden
2324ND,237,,Haagweg,Leiden
2324ND,239,,Haagweg,Leiden
2324ND,241,,Haagweg,Leiden
2324ND,243,,Haagweg,Leiden
2324ND,245,,Haagweg,Leiden
2324XD,16,,Johan Wagenaarlaan,Leiden
2324XD,18,,Johan Wagenaarlaan,Leiden
2324XD,20,,Johan Wagenaarlaan,Leiden
2324XD,22,,Johan Wagenaarlaan,Leiden
2324XD,24,,Johan Wagenaarlaan,Leiden
2324XD,26,,Johan Wagenaarlaan,Leiden
2324XD,28,,Johan Wagenaarlaan,Leiden
2331AA,11,,Valkenburgseweg,Leiden
2331AA,5,,Valkenburgseweg,Leiden
2331EX,7,,Nienke van Hichtumstraat,Leiden
2331ND,26,,Mary Zeldenrustweg,Leiden
2331PN,92,,Alexandrine Tinneplein,Leiden
2332BC,49,,Spieghelstraat,Leiden
2332BJ,12,,Tesselschadestraat,Leiden
2332ES,180,,Morsweg,Leiden
2332ET,190,,Morsweg,Leiden
2332GB,22,,Morskade,Leiden
2332JZ,222,,Smaragdlaan,Leiden
2333AA,8,,Rijnsburgerweg,Leiden
2333AV,73,,Wassenaarseweg,Leiden
2333AV,85,,Wassenaarseweg,Leiden
2334GA,11,,Trekvaartplein,Leiden
2334GB,29,,Trekvaartplein,Leiden
2334GB,31,,Trekvaartplein,Leiden
2334GB,39,,Trekvaartplein,Leiden
2334GB,40,,Trekvaartplein,Leiden
2311GZ,1,1,Doezastraat,Leiden
2312PZ,36,,Houtmarkt,Leiden
2332XH,22,,Damlaan,Leiden
2313TS,106,,De Sitterlaan,Leiden
2331BW,1,,Dobbedreef,Leiden
2331MK,7,,Dobbedreef,Leiden
2331ML,250,,Dobbedreef,Leiden
2311VM,11,,Doelengracht,Leiden
2311GZ,1,3,Doezastraat,Leiden
2324BE,15,,Donizettilaan,Leiden
2324BE,17,,Donizettilaan,Leiden
2324BE,19,,Donizettilaan,Leiden
2314TB,25,,Drechtstraat,Leiden
2314TB,27,,Drechtstraat,Leiden
2314TB,29,,Drechtstraat,Leiden
2313ZR,26,,Drie Octoberstraat,Leiden
2311KB,2,,Dwars Bolwerkstraat,Leiden
2311KB,10,,Dwars Bolwerkstraat,Leiden
2311EL,8,,Dwars Koornbrugsteeg,Leiden
2311EL,9,,Dwars Koornbrugsteeg,Leiden
2311EL,10,,Dwars Koornbrugsteeg,Leiden
2333CD,92,,Einsteinweg,Leiden
2315GW,12,,Formosastraat,Leiden
2316AM,16,,Frans van Mierisstraat,Leiden
2311VZ,1,,Galgewater,Leiden
2311VZ,5,,Galgewater,Leiden
2311VZ,8,,Galgewater,Leiden
2311VZ,9,,Galgewater,Leiden
2311VZ,1,1,Galgewater,Leiden
2311VZ,1,3,Galgewater,Leiden
2311VZ,16,,Galgewater,Leiden
2311VZ,22,,Galgewater,Leiden
2311VZ,40,,Galgewater,Leiden
2311VZ,44,,Galgewater,Leiden
2332ZX,95,,Gandhistraat,Leiden
2332ZX,97,,Gandhistraat,Leiden
2311PJ,20,,Garenmarkt,Leiden
2332AK,33,,Gerard Brandtstraat,Leiden
2332AK,35,,Gerard Brandtstraat,Leiden
2332AK,37,,Gerard Brandtstraat,Leiden
2332AK,39,,Gerard Brandtstraat,Leiden
2332AK,41,,Gerard Brandtstraat,Leiden
2332AK,43,,Gerard Brandtstraat,Leiden
2332AK,45,,Gerard Brandtstraat,Leiden
2332AK,47,,Gerard Brandtstraat,Leiden
2332AK,49,,Gerard Brandtstraat,Leiden
2332AK,51,,Gerard Brandtstraat,Leiden
2332AK,53,,Gerard Brandtstraat,Leiden
2332AK,55,,Gerard Brandtstraat,Leiden
2332AK,57,,Gerard Brandtstraat,Leiden
2332AK,59,,Gerard Brandtstraat,Leiden
2332AK,61,,Gerard Brandtstraat,Leiden
2332AK,63,,Gerard Brandtstraat,Leiden
2332AK,65,,Gerard Brandtstraat,Leiden
2332AK,67,,Gerard Brandtstraat,Leiden
2332AK,69,,Gerard Brandtstraat,Leiden
2332AK,71,,Gerard Brandtstraat,Leiden
2332AK,73,,Gerard Brandtstraat,Leiden
2332AK,75,,Gerard Brandtstraat,Leiden
2332AK,77,,Gerard Brandtstraat,Leiden
2332AK,79,,Gerard Brandtstraat,Leiden
2332AK,81,,Gerard Brandtstraat,Leiden
2332AK,83,,Gerard Brandtstraat,Leiden
2332AK,85,,Gerard Brandtstraat,Leiden
2332AK,87,,Gerard Brandtstraat,Leiden
2332AK,89,,Gerard Brandtstraat,Leiden
2332AK,91,,Gerard Brandtstraat,Leiden
2332AK,93,,Gerard Brandtstraat,Leiden
2332AK,95,,Gerard Brandtstraat,Leiden
2332AK,97,,Gerard Brandtstraat,Leiden
2332AK,99,,Gerard Brandtstraat,Leiden
2311PB,4,,Geregracht,Leiden
2321CD,3,,Gerrit van der Veenstraat,Leiden
2321CD,5,,Gerrit van der Veenstraat,Leiden
2321CD,7,,Gerrit van der Veenstraat,Leiden
2321CD,9,,Gerrit van der Veenstraat,Leiden
2321CD,11,,Gerrit van der Veenstraat,Leiden
2321CD,13,,Gerrit van der Veenstraat,Leiden
2321CD,15,,Gerrit van der Veenstraat,Leiden
2321CD,17,,Gerrit van der Veenstraat,Leiden
2321CD,19,,Gerrit van der Veenstraat,Leiden
2321CD,21,,Gerrit van der Veenstraat,Leiden
2321CD,23,,Gerrit van der Veenstraat,Leiden
2311VT,2,,Groenhazengracht,Leiden
2321AE,52,,Haagweg,Leiden
2312DJ,7,,Haarlemmerstraat,Leiden
2312DJ,9,,Haarlemmerstraat,Leiden
2312GD,86,,Haarlemmerstraat,Leiden
2312GD,88,,Haarlemmerstraat,Leiden
2312DM,117,,Haarlemmerstraat,Leiden
2312GE,142,,Haarlemmerstraat,Leiden
2312GG,176,,Haarlemmerstraat,Leiden
2312GH,196,,Haarlemmerstraat,Leiden
2312DR,225,,Haarlemmerstraat,Leiden
2312DR,233,,Haarlemmerstraat,Leiden
2312DT,293,,Haarlemmerstraat,Leiden
2316AB,32,,Haarlemmerweg,Leiden
2316AC,44,,Haarlemmerweg,Leiden
2334GD,101,,Haarlemmerweg,Leiden
2334GD,102,,Haarlemmerweg,Leiden
2334GD,103,,Haarlemmerweg,Leiden
2334GD,104,,Haarlemmerweg,Leiden
2334GD,105,,Haarlemmerweg,Leiden
2334GD,106,,Haarlemmerweg,Leiden
2334GD,107,,Haarlemmerweg,Leiden
2334GD,108,,Haarlemmerweg,Leiden
2334GD,109,,Haarlemmerweg,Leiden
2334GD,110,,Haarlemmerweg,Leiden
2334GD,111,,Haarlemmerweg,Leiden
2334GD,112,,Haarlemmerweg,Leiden
2334GD,113,,Haarlemmerweg,Leiden
2334GD,118,,Haarlemmerweg,Leiden
2334GD,120,,Haarlemmerweg,Leiden
2334GD,121,,Haarlemmerweg,Leiden
2334GD,122,,Haarlemmerweg,Leiden
2334GD,123,,Haarlemmerweg,Leiden
2316BJ,26,,Hansenstraat,Leiden
2316BD,51,,Hansenstraat,Leiden
2316BG,101,,Hansenstraat,Leiden
2312JX,6,,Hartesteeg,Leiden
2312MJ,26,,Haven,Leiden
2311NP,68,,Haverstraat,Leiden
2311GX,12,,Heilige Geesthofje,Leiden
2312LB,43,,Herengracht,Leiden
2316JS,11,,Herensingel,Leiden
2311SH,41,,Herensteeg,Leiden
2313AL,22,,Herenstraat,Leiden
2313AL,56,,Herenstraat,Leiden
2313AG,83,,Herenstraat,Leiden
2311PS,4,,Hoefstraat,Leiden
2311PS,6,,Hoefstraat,Leiden
2311PS,10,,Hoefstraat,Leiden
2311HE,33,,Hogewoerd,Leiden
2312KM,5,,Hooigracht,Leiden
2312KS,16,,Hooigracht,Leiden
2312KT,30,,Hooigracht,Leiden
2312KW,82,,Hooigracht,Leiden
2334CL,100,,Houtlaan,Leiden
2311TE,4,,Houtstraat,Leiden
2311XJ,5,,Hugo de Grootstraat,Leiden
2313RG,57,,Hugo de Vriesstraat,Leiden
2331HE,1,,Ina Boudier-Bakkerplein,Leiden
2331HE,3,,Ina Boudier-Bakkerplein,Leiden
2331AX,1,,Ina Boudier-Bakkerstraat,Leiden
2331AX,3,,Ina Boudier-Bakkerstraat,Leiden
2331AX,5,,Ina Boudier-Bakkerstraat,Leiden
2331AX,7,,Ina Boudier-Bakkerstraat,Leiden
2331AX,9,,Ina Boudier-Bakkerstraat,Leiden
2331AX,11,,Ina Boudier-Bakkerstraat,Leiden
2321GH,140,,Jacob van Campenlaan,Leiden
2324LE,88,,Jacques Urlusplantsoen,Leiden
2311PD,27,,Jan van Houtkade,Leiden
2312WE,16,,Janvossensteeg,Leiden
2312WC,48,,Janvossensteeg,Leiden
2312WC,55,,Janvossensteeg,Leiden
2324AR,67,,Joseph Haydnlaan,Leiden
2324AR,69,,Joseph Haydnlaan,Leiden
2324AR,71,,Joseph Haydnlaan,Leiden
2324AR,73,,Joseph Haydnlaan,Leiden
2324AR,75,,Joseph Haydnlaan,Leiden
2324AR,77,,Joseph Haydnlaan,Leiden
2324AR,79,,Joseph Haydnlaan,Leiden
2324AR,81,,Joseph Haydnlaan,Leiden
2324AR,83,,Joseph Haydnlaan,Leiden
2324AR,85,,Joseph Haydnlaan,Leiden
2324AR,87,,Joseph Haydnlaan,Leiden
2324AR,89,,Joseph Haydnlaan,Leiden
2324AR,91,,Joseph Haydnlaan,Leiden
2324AR,93,,Joseph Haydnlaan,Leiden
2324AR,95,,Joseph Haydnlaan,Leiden
2311GR,2,,Kaiserstraat,Leiden
2311GN,13,,Kaiserstraat,Leiden
2311GR,22,,Kaiserstraat,Leiden
2311GS,32,,Kaiserstraat,Leiden
2321HP,37,,Kersenstraat,Leiden
2311TN,23,,Ketelboetersteeg,Leiden
2324LW,3,,Klikspaanweg,Leiden
2324LX,33,,Klikspaanweg,Leiden
2311SK,29,,Kloksteeg,Leiden
2312WH,1,,Koddesteeg,Leiden
2312WH,22,,Koddesteeg,Leiden
2312XJ,10,,Koestraat,Leiden
2316CA,3,,Koningstraat,Leiden
2316CC,35,,Koningstraat,Leiden
2315EB,15,,Kooilaan,Leiden
2317PA,31,,Kopermolen,Leiden
2317PB,44,,Kopermolen,Leiden
2312HX,8,,Koppenhinksteeg,Leiden
2316BN,5,,Korte Hansenstraat,Leiden
2311NR,8,,Kraaierstraat,Leiden
2311NR,14,,Kraaierstraat,Leiden
2312HN,7,,Kuiperssteeg,Leiden
2332XA,23,,Lage Morsweg,Leiden
2315JJ,1,,Lage Rijndijk,Leiden
2315JM,53,,Lage Rijndijk,Leiden
2311TG,7,,Langebrug,Leiden
2311TH,31,,Langebrug,Leiden
2312NX,79,,Langegracht,Leiden
2312SL,8,,Langestraat,Leiden
2314VW,1,,Leededwarsstraat,Leiden
2314VW,3,,Leededwarsstraat,Leiden
2314VW,5,,Leededwarsstraat,Leiden
2314VW,18,,Leededwarsstraat,Leiden
2314VG,14,,Lekstraat,Leiden
2314VG,16,,Lekstraat,Leiden
2314VG,18,,Lekstraat,Leiden
2314VG,20,,Lekstraat,Leiden
2314VG,22,,Lekstraat,Leiden
2314VG,24,,Lekstraat,Leiden
2314VG,26,,Lekstraat,Leiden
2314VG,28,,Lekstraat,Leiden
2314VG,30,,Lekstraat,Leiden
2314VG,32,,Lekstraat,Leiden
2314VG,34,,Lekstraat,Leiden
2314VG,36,,Lekstraat,Leiden
2313BG,22,,Leliestraat,Leiden
2311JM,74,,Levendaal,Leiden
2311JN,88,,Levendaal,Leiden
2311JN,104,,Levendaal,Leiden
2311JJ,161,,Levendaal,Leiden
2311JR,166,,Levendaal,Leiden
2311JK,177,,Levendaal,Leiden
2314TH,26,,Lingestraat,Leiden
2314TH,30,,Lingestraat,Leiden
2313GE,86,,Lorentzkade,Leiden
2316HW,3,,Lusthoflaan,Leiden
2332RM,108,,Maansteenpad,Leiden
2332RM,110,,Maansteenpad,Leiden
2332RM,118,,Maansteenpad,Leiden
2332RM,120,,Maansteenpad,Leiden
2316VS,45,,Maredijk,Leiden
2316HB,31,,Maresingel,Leiden
2316HD,53,,Maresingel,Leiden
2316HE,64,,Maresingel,Leiden
2331HZ,44,,Margo Antinkstraat,Leiden
2334CW,25,,Mariënpoelstraat,Leiden
2334CX,45,,Mariënpoelstraat,Leiden
2334CX,47,,Mariënpoelstraat,Leiden
2334CX,49,,Mariënpoelstraat,Leiden
2316EJ,9,,Marnixstraat,Leiden
2316EN,18,,Marnixstraat,Leiden
2316EK,33,,Marnixstraat,Leiden
2316ST,14,,Mauritsstraat,Leiden
2315GR,27,,Medusastraat,Leiden
