46,8223DP,Zwartewater,Lelystad
51,8223DP,Zwartewater,Lelystad
69,8232AK,Schouw 39,Lelystad
57,8232AK,Schouw 39,Lelystad
59,8232AK,Schouw 39,Lelystad
44,8232AE,Schouw 39,Lelystad
46,8232AE,Schouw 39,Lelystad
49,8232AK,Schouw 39,Lelystad
51,8232AK,Schouw 39,Lelystad
54,8232AG,Schouw 39,Lelystad
56,8232AG,Schouw 39,Lelystad
41,8232AK,Schouw 39,Lelystad
42,8232AE,Schouw 39,Lelystad
27,8232AJ,Schouw 39,Lelystad
29,8232AJ,Schouw 39,Lelystad
33,8232AJ,Schouw 39,Lelystad
34,8232AE,Schouw 39,Lelystad
36,8232AE,Schouw 39,Lelystad
38,8232AE,Schouw 39,Lelystad
39,8232AK,Schouw 39,Lelystad
40,8232AE,Schouw 39,Lelystad
12,8232AE,Schouw 39,Lelystad
14,8232AE,Schouw 39,Lelystad
15,8232AJ,Schouw 39,Lelystad
16,8232AE,Schouw 39,Lelystad
18,8232AE,Schouw 39,Lelystad
19,8232AJ,Schouw 39,Lelystad
20,8232AE,Schouw 39,Lelystad
22,8232AE,Schouw 39,Lelystad
23,8232AJ,Schouw 39,Lelystad
9,8232AJ,Schouw 39,Lelystad
66,8232AB,Schouw 38,Lelystad
67,8232AD,Schouw 38,Lelystad
68,8232AB,Schouw 38,Lelystad
70,8232AB,Schouw 38,Lelystad
1,8232AJ,Schouw 39,Lelystad
3,8232AJ,Schouw 39,Lelystad
6,8232AE,Schouw 39,Lelystad
7,8232AJ,Schouw 39,Lelystad
8,8232AE,Schouw 39,Lelystad
63,8232AD,Schouw 38,Lelystad
42,8232AA,Schouw 38,Lelystad
46,8232AA,Schouw 38,Lelystad
48,8232AA,Schouw 38,Lelystad
50,8232AA,Schouw 38,Lelystad
56,8232AB,Schouw 38,Lelystad
58,8232AB,Schouw 38,Lelystad
61,8232AD,Schouw 38,Lelystad
62,8232AB,Schouw 38,Lelystad
40,8232AA,Schouw 38,Lelystad
19,8232AC,Schouw 38,Lelystad
21,8232AC,Schouw 38,Lelystad
23,8232AC,Schouw 38,Lelystad
29,8232AD,Schouw 38,Lelystad
33,8232AD,Schouw 38,Lelystad
35,8232AD,Schouw 38,Lelystad
37,8232AD,Schouw 38,Lelystad
39,8232AD,Schouw 38,Lelystad
15,8232AC,Schouw 38,Lelystad
16,8232AA,Schouw 38,Lelystad
1,8232AC,Schouw 38,Lelystad
3,8232AC,Schouw 38,Lelystad
8,8232AA,Schouw 38,Lelystad
9,8232AC,Schouw 38,Lelystad
12,8232AA,Schouw 38,Lelystad
130,8224ES,Delta,Lelystad
22,8226TG,Borggraaf,Lelystad
9,8225VG,Griend 11,Lelystad
30,8226NA,Merwede,Lelystad
51,8219PW,Hondsdraf,Lelystad
117,8226RE,Burgvliet,Lelystad
119,8226RE,Burgvliet,Lelystad
5,8226RC,Den Alerdinck,Lelystad
33,8226RW,Twickel,Lelystad
39,8226TB,Menkemaborg,Lelystad
19,8218PC,Emoeweg,Lelystad
21,8218PC,Emoeweg,Lelystad
279,8239DC,Apolloweg,Lelystad
86,8244AP,Schermer,Lelystad
88,8244AP,Schermer,Lelystad
115,8226TV,Pauwenburg,Lelystad
117,8226TV,Pauwenburg,Lelystad
129,8226TV,Pauwenburg,Lelystad
143,8226TV,Pauwenburg,Lelystad
145,8226TV,Pauwenburg,Lelystad
34,8226RX,De Klencke,Lelystad
47,8226TB,Menkemaborg,Lelystad
23,8244EJ,Workumstraat,Lelystad
103,8244GB,Hollandse Hout,Lelystad
85,8244GB,Hollandse Hout,Lelystad
39,8226TJ,Bouvigne,Lelystad
9,8224AB,Plaats,Lelystad
31,8226TB,Menkemaborg,Lelystad
102,8241CD,Albatroslaan,Lelystad
56,8241CD,Albatroslaan,Lelystad
58,8241CD,Albatroslaan,Lelystad
66,8241CD,Albatroslaan,Lelystad
5,8242BA,Kempenaar 01,Lelystad
31,8242BA,Kempenaar 01,Lelystad
9,8242BA,Kempenaar 01,Lelystad
15,8242BA,Kempenaar 01,Lelystad
64,8212VD,Plantage,Lelystad
65,8212VD,Plantage,Lelystad
51,8212VC,Plantage,Lelystad
52,8212VC,Plantage,Lelystad
53,8212VC,Plantage,Lelystad
39,8212VC,Plantage,Lelystad
40,8212VC,Plantage,Lelystad
43,8212VC,Plantage,Lelystad
44,8212VC,Plantage,Lelystad
46,8212VC,Plantage,Lelystad
49,8212VC,Plantage,Lelystad
32,8212VC,Plantage,Lelystad
34,8212VC,Plantage,Lelystad
35,8212VC,Plantage,Lelystad
36,8212VC,Plantage,Lelystad
25,8212VB,Plantage,Lelystad
27,8212VB,Plantage,Lelystad
29,8212VB,Plantage,Lelystad
31,8212VB,Plantage,Lelystad
185,8223GM,Bastion,Lelystad
161,8223GM,Bastion,Lelystad
165,8223GM,Bastion,Lelystad
169,8223GM,Bastion,Lelystad
173,8223GM,Bastion,Lelystad
177,8223GM,Bastion,Lelystad
179,8223GM,Bastion,Lelystad
181,8223GM,Bastion,Lelystad
154,8223GC,Bastion,Lelystad
157,8223GM,Bastion,Lelystad
132,8223GC,Bastion,Lelystad
134,8223GC,Bastion,Lelystad
136,8223GC,Bastion,Lelystad
140,8223GC,Bastion,Lelystad
144,8223GC,Bastion,Lelystad
148,8223GC,Bastion,Lelystad
16,8212VA,Plantage,Lelystad
17,8212VB,Plantage,Lelystad
20,8212VB,Plantage,Lelystad
21,8212VB,Plantage,Lelystad
23,8212VB,Plantage,Lelystad
24,8212VB,Plantage,Lelystad
11,8212VA,Plantage,Lelystad
13,8212VA,Plantage,Lelystad
1,8212VA,Plantage,Lelystad
2,8212VA,Plantage,Lelystad
4,8212VA,Plantage,Lelystad
5,8212VA,Plantage,Lelystad
8,8212VA,Plantage,Lelystad
10,8212VA,Plantage,Lelystad
137,8223WL,Langezand,Lelystad
138,8223WL,Langezand,Lelystad
125,8223WK,Langezand,Lelystad
129,8223WK,Langezand,Lelystad
130,8223WK,Langezand,Lelystad
132,8223WK,Langezand,Lelystad
133,8223WK,Langezand,Lelystad
134,8223WK,Langezand,Lelystad
122,8223WK,Langezand,Lelystad
110,8223WJ,Langezand,Lelystad
111,8223WJ,Langezand,Lelystad
113,8223WJ,Langezand,Lelystad
114,8223WJ,Langezand,Lelystad
118,8223WJ,Langezand,Lelystad
119,8223WJ,Langezand,Lelystad
121,8223WJ,Langezand,Lelystad
108,8223WJ,Langezand,Lelystad
95,8223WH,Langezand,Lelystad
96,8223WH,Langezand,Lelystad
98,8223WH,Langezand,Lelystad
99,8223WH,Langezand,Lelystad
100,8223WH,Langezand,Lelystad
102,8223WH,Langezand,Lelystad
103,8223WH,Langezand,Lelystad
105,8223WJ,Langezand,Lelystad
106,8223WJ,Langezand,Lelystad
93,8223WH,Langezand,Lelystad
81,8223WG,Langezand,Lelystad
82,8223WG,Langezand,Lelystad
83,8223WG,Langezand,Lelystad
84,8223WG,Langezand,Lelystad
86,8223WG,Langezand,Lelystad
87,8223WG,Langezand,Lelystad
89,8223WH,Langezand,Lelystad
90,8223WH,Langezand,Lelystad
91,8223WH,Langezand,Lelystad
79,8223WG,Langezand,Lelystad
60,8223WE,Langezand,Lelystad
61,8223WE,Langezand,Lelystad
62,8223WE,Langezand,Lelystad
64,8223WE,Langezand,Lelystad
65,8223WE,Langezand,Lelystad
66,8223WE,Langezand,Lelystad
69,8223WE,Langezand,Lelystad
70,8223WE,Langezand,Lelystad
58,8223WE,Langezand,Lelystad
45,8223WD,Langezand,Lelystad
46,8223WD,Langezand,Lelystad
47,8223WD,Langezand,Lelystad
48,8223WD,Langezand,Lelystad
50,8223WD,Langezand,Lelystad
