3,9735BA,Zilvermeer,Groningen
15,9745DH,De Held,Groningen
50,9734CG,Ruischerwaard,Groningen
48,9745DB,Jacob Schorerstraat,Groningen
40,9726CH,Kleine Badstraat,Groningen
97,9715PG,Sint Eustatiusstraat,Groningen
8,9712JX,Waagstraat,Groningen
54,9712HV,Grote Markt,Groningen
55,9712HV,Grote Markt,Groningen
34,9734CL,Damsterwaard,Groningen
37,9745DN,Jakob Israël de Haanstraat,Groningen
3,9712LW,Wipstraat,Groningen
750,9728HW,Henri Dunantlaan,Groningen
227,9723DG,Barkmolenstraat,Groningen
215,9723DG,Barkmolenstraat,Groningen
122,9722WS,Bloemersmaborg,Groningen
138,9734CT,De Waard,Groningen
13,9746AR,Oscar Wildestraat,Groningen
12,9734CK,Damsterwaard,Groningen
21,9734CL,Damsterwaard,Groningen
9,9745DN,Jakob Israël de Haanstraat,Groningen
110,9722WS,Bloemersmaborg,Groningen
55,9734CM,Damsterwaard,Groningen
75,9734CN,Damsterwaard,Groningen
15,9734CK,Damsterwaard,Groningen
20,9734CK,Damsterwaard,Groningen
72,9734CH,Ruischerwaard,Groningen
19,9734CK,Damsterwaard,Groningen
187,9723DE,Barkmolenstraat,Groningen
73,9715CJ,Bankastraat,Groningen
61,9734CM,Damsterwaard,Groningen
15,9723DA,Barkmolenstraat,Groningen
11,9734CK,Damsterwaard,Groningen
38,9745DL,Jakob Israël de Haanstraat,Groningen
43,9745DP,Jakob Israël de Haanstraat,Groningen
42,9712LR,Boterdiep,Groningen
19,9717CT,Nassaustraat,Groningen
17,9717CT,Nassaustraat,Groningen
15,9717CT,Nassaustraat,Groningen
13,9717CT,Nassaustraat,Groningen
11,9717CT,Nassaustraat,Groningen
9,9717CT,Nassaustraat,Groningen
7,9717CT,Nassaustraat,Groningen
124,9734CT,De Waard,Groningen
54,9746AS,Oscar Wildestraat,Groningen
1000,9724GD,Trompkade,Groningen
3,9723DA,Barkmolenstraat,Groningen
179,9723DE,Barkmolenstraat,Groningen
53,9734CM,Damsterwaard,Groningen
128,9722WS,Bloemersmaborg,Groningen
1,9747AS,Zernikeplein,Groningen
136,9734CT,De Waard,Groningen
85,9734CW,De Waard,Groningen
37,9723DA,Barkmolenstraat,Groningen
25,9734CL,Damsterwaard,Groningen
9,9734CV,De Waard,Groningen
60,9745DL,Jakob Israël de Haanstraat,Groningen
213,9723DG,Barkmolenstraat,Groningen
207,9723DG,Barkmolenstraat,Groningen
155,9723DD,Barkmolenstraat,Groningen
29,9745DC,Jacob Schorerstraat,Groningen
130,9734CT,De Waard,Groningen
1001,9721RV,Julianaweg,Groningen
177,9723DE,Barkmolenstraat,Groningen
165,9723DE,Barkmolenstraat,Groningen
62,9734CM,Damsterwaard,Groningen
185,9723DE,Barkmolenstraat,Groningen
728,9728HW,Henri Dunantlaan,Groningen
14,9734CK,Damsterwaard,Groningen
79,9717AZ,Wilhelminakade,Groningen
106,9722WS,Bloemersmaborg,Groningen
1002,9723AC,Winschoterdiep,Groningen
29,9734CL,Damsterwaard,Groningen
211,9723DG,Barkmolenstraat,Groningen
140,9722WS,Bloemersmaborg,Groningen
742,9728HW,Henri Dunantlaan,Groningen
181,9723DE,Barkmolenstraat,Groningen
18,9734CK,Damsterwaard,Groningen
59,9734CM,Damsterwaard,Groningen
35,9746AR,Oscar Wildestraat,Groningen
128,9734CT,De Waard,Groningen
43,9746AB,Anna Blamanstraat,Groningen
106,9734CT,De Waard,Groningen
183,9723DE,Barkmolenstraat,Groningen
112,9734CT,De Waard,Groningen
13,9734CK,Damsterwaard,Groningen
50,9723GE,Lintdal,Groningen
31,9716AC,Bedumerweg,Groningen
69,9745DP,Jakob Israël de Haanstraat,Groningen
65,9734CM,Damsterwaard,Groningen
76,9734CN,Damsterwaard,Groningen
171,9734CX,De Waard,Groningen
5,9734CK,Damsterwaard,Groningen
32,9734CL,Damsterwaard,Groningen
73,9745DP,Jakob Israël de Haanstraat,Groningen
118,9722WS,Bloemersmaborg,Groningen
167,9723DE,Barkmolenstraat,Groningen
79,9734CN,Damsterwaard,Groningen
28,9734CL,Damsterwaard,Groningen
63,9734CM,Damsterwaard,Groningen
19,9723DA,Barkmolenstraat,Groningen
40,9735BC,Zilvermeer,Groningen
748,9728HW,Henri Dunantlaan,Groningen
201,9723DG,Barkmolenstraat,Groningen
233,9723DG,Barkmolenstraat,Groningen
104,9734CT,De Waard,Groningen
120,9734CT,De Waard,Groningen
9,9711HW,Schuitemakersstraat,Groningen
231,9723DG,Barkmolenstraat,Groningen
66,9734CN,Damsterwaard,Groningen
77,9734CN,Damsterwaard,Groningen
48,9734CM,Damsterwaard,Groningen
788,9728HW,Henri Dunantlaan,Groningen
109,9718MX,Van Goghstraat,Groningen
758,9728HW,Henri Dunantlaan,Groningen
115,9715PG,Sint Eustatiusstraat,Groningen
60,9713AB,Eemskanaal,Groningen
171,9723DE,Barkmolenstraat,Groningen
141,9723DD,Barkmolenstraat,Groningen
116,9734CT,De Waard,Groningen
81,9715ER,Billitonstraat,Groningen
7,9746AR,Oscar Wildestraat,Groningen
1,9734CK,Damsterwaard,Groningen
25,9723DA,Barkmolenstraat,Groningen
199,9723DG,Barkmolenstraat,Groningen
54,9723GE,Lintdal,Groningen
62,9734BW,Mooiland,Groningen
27,9734BL,Zonland,Groningen
1,9711LP,Carolieweg,Groningen
48,9746AS,Oscar Wildestraat,Groningen
143,9723DD,Barkmolenstraat,Groningen
7,9723DA,Barkmolenstraat,Groningen
159,9723DE,Barkmolenstraat,Groningen
706,9728HW,Henri Dunantlaan,Groningen
71,9717AZ,Wilhelminakade,Groningen
219,9723DG,Barkmolenstraat,Groningen
1004,9728NG,Hoornsedijk,Groningen
437,9743PL,Aquamarijnstraat,Groningen
65,9745DP,Jakob Israël de Haanstraat,Groningen
57,9734CM,Damsterwaard,Groningen
108,9734CT,De Waard,Groningen
74,9734CN,Damsterwaard,Groningen
163,9723DE,Barkmolenstraat,Groningen
61,9745DP,Jakob Israël de Haanstraat,Groningen
45,9745DP,Jakob Israël de Haanstraat,Groningen
70,9734CN,Damsterwaard,Groningen
9,9727DC,Humsterlandlaan,Groningen
32,9745DK,Jakob Israël de Haanstraat,Groningen
51,9745DP,Jakob Israël de Haanstraat,Groningen
1086,9731CW,Beijumerweg,Groningen
75,9745DP,Jakob Israël de Haanstraat,Groningen
68,9734BW,Mooiland,Groningen
10,9726AD,Cascadeplein,Groningen
126,9734CT,De Waard,Groningen
132,9734CT,De Waard,Groningen
58,9746AS,Oscar Wildestraat,Groningen
59,9734CB,Eemswaard,Groningen
720,9728HW,Henri Dunantlaan,Groningen
49,9712LK,Boterdiep,Groningen
195,9723DE,Barkmolenstraat,Groningen
810,9728HW,Henri Dunantlaan,Groningen
157,9723DD,Barkmolenstraat,Groningen
20,9712RK,Violenhof,Groningen
798,9728HW,Henri Dunantlaan,Groningen
73,9724JD,Oliemulderstraat,Groningen
58,9734CM,Damsterwaard,Groningen
43,9724BJ,Mauritsstraat,Groningen
