48,5258NB,Julianastraat,Berlicum
10,5275KR,Kruidnagel,Den Dungen
11,5275KS,Kruidnagel,Den Dungen
12,5275KR,Kruidnagel,Den Dungen
14,5275KR,Kruidnagel,Den Dungen
16,5275KR,Kruidnagel,Den Dungen
18,5275KR,Kruidnagel,Den Dungen
77,5275BT,Litserstraat,Den Dungen
78,5275BX,Litserstraat,Den Dungen
79,5275BT,Litserstraat,Den Dungen
80,5275BX,Litserstraat,Den Dungen
81,5275BT,Litserstraat,Den Dungen
82,5275BX,Litserstraat,Den Dungen
83,5275BT,Litserstraat,Den Dungen
84,5275BX,Litserstraat,Den Dungen
85,5275BT,Litserstraat,Den Dungen
86,5275BX,Litserstraat,Den Dungen
87,5275BT,Litserstraat,Den Dungen
88,5275BX,Litserstraat,Den Dungen
90,5275BX,Litserstraat,Den Dungen
1,5258PT,Lochtsehoeve,Berlicum
2,5258PS,Lochtsehoeve,Berlicum
3,5258PT,Lochtsehoeve,Berlicum
4,5258PS,Lochtsehoeve,Berlicum
5,5258PT,Lochtsehoeve,Berlicum
6,5258PS,Lochtsehoeve,Berlicum
7,5258PT,Lochtsehoeve,Berlicum
8,5258PS,Lochtsehoeve,Berlicum
9,5258PT,Lochtsehoeve,Berlicum
10,5258PS,Lochtsehoeve,Berlicum
11,5258PT,Lochtsehoeve,Berlicum
12,5258PS,Lochtsehoeve,Berlicum
13,5258PT,Lochtsehoeve,Berlicum
14,5258PS,Lochtsehoeve,Berlicum
15,5258PT,Lochtsehoeve,Berlicum
16,5258PS,Lochtsehoeve,Berlicum
17,5258PT,Lochtsehoeve,Berlicum
18,5258PS,Lochtsehoeve,Berlicum
19,5258PT,Lochtsehoeve,Berlicum
20,5258PS,Lochtsehoeve,Berlicum
22,5258PS,Lochtsehoeve,Berlicum
24,5258PS,Lochtsehoeve,Berlicum
26,5258PS,Lochtsehoeve,Berlicum
28,5258PS,Lochtsehoeve,Berlicum
30,5258PS,Lochtsehoeve,Berlicum
32,5258PS,Lochtsehoeve,Berlicum
34,5258PS,Lochtsehoeve,Berlicum
36,5258PS,Lochtsehoeve,Berlicum
1,5258SN,Loofaert,Berlicum
7,5258SN,Loofaert,Berlicum
9,5258SN,Loofaert,Berlicum
11,5258SN,Loofaert,Berlicum
14,5258SN,Loofaert,Berlicum
15,5258SN,Loofaert,Berlicum
23,5258SN,Loofaert,Berlicum
25,5258SN,Loofaert,Berlicum
26,5258SN,Loofaert,Berlicum
27,5258SN,Loofaert,Berlicum
28,5258SN,Loofaert,Berlicum
30,5258SN,Loofaert,Berlicum
33,5258SN,Loofaert,Berlicum
37,5258SN,Loofaert,Berlicum
40,5258SN,Loofaert,Berlicum
41,5258SN,Loofaert,Berlicum
47,5258SN,Loofaert,Berlicum
50,5258SN,Loofaert,Berlicum
55,5258SN,Loofaert,Berlicum
57,5258SN,Loofaert,Berlicum
59,5258SN,Loofaert,Berlicum
61,5258SN,Loofaert,Berlicum
63,5258SN,Loofaert,Berlicum
65,5258SN,Loofaert,Berlicum
1,5271VC,Lookertstraat,Sint-Michielsgestel
2,5271VC,Lookertstraat,Sint-Michielsgestel
3,5271VC,Lookertstraat,Sint-Michielsgestel
4,5271VC,Lookertstraat,Sint-Michielsgestel
5,5271VC,Lookertstraat,Sint-Michielsgestel
6,5271VC,Lookertstraat,Sint-Michielsgestel
7,5271VC,Lookertstraat,Sint-Michielsgestel
8,5271VC,Lookertstraat,Sint-Michielsgestel
9,5271VC,Lookertstraat,Sint-Michielsgestel
1,5271ST,Loopsteegje,Sint-Michielsgestel
2,5271ST,Loopsteegje,Sint-Michielsgestel
2,5293NA,Loopstraat,Gemonde
4,5293NA,Loopstraat,Gemonde
1,5271XD,Maaskantje,Sint-Michielsgestel
3,5271XD,Maaskantje,Sint-Michielsgestel
4,5271XG,Maaskantje,Sint-Michielsgestel
5,5271XD,Maaskantje,Sint-Michielsgestel
6,5271XG,Maaskantje,Sint-Michielsgestel
7,5271XD,Maaskantje,Sint-Michielsgestel
8,5271XG,Maaskantje,Sint-Michielsgestel
9,5271XD,Maaskantje,Sint-Michielsgestel
10,5271XG,Maaskantje,Sint-Michielsgestel
11,5271XD,Maaskantje,Sint-Michielsgestel
12,5271XG,Maaskantje,Sint-Michielsgestel
14,5271XG,Maaskantje,Sint-Michielsgestel
16,5271XG,Maaskantje,Sint-Michielsgestel
18,5271XG,Maaskantje,Sint-Michielsgestel
19,5271XD,Maaskantje,Sint-Michielsgestel
20,5271XG,Maaskantje,Sint-Michielsgestel
22,5271XG,Maaskantje,Sint-Michielsgestel
23,5271XD,Maaskantje,Sint-Michielsgestel
24,5271XG,Maaskantje,Sint-Michielsgestel
25,5271XD,Maaskantje,Sint-Michielsgestel
26,5271XG,Maaskantje,Sint-Michielsgestel
27,5271XD,Maaskantje,Sint-Michielsgestel
28,5271XG,Maaskantje,Sint-Michielsgestel
29,5271XD,Maaskantje,Sint-Michielsgestel
30,5271XG,Maaskantje,Sint-Michielsgestel
31,5271XD,Maaskantje,Sint-Michielsgestel
32,5271XG,Maaskantje,Sint-Michielsgestel
34,5271XG,Maaskantje,Sint-Michielsgestel
35,5271XD,Maaskantje,Sint-Michielsgestel
36,5271XG,Maaskantje,Sint-Michielsgestel
37,5271XE,Maaskantje,Sint-Michielsgestel
38,5271XG,Maaskantje,Sint-Michielsgestel
39,5271XE,Maaskantje,Sint-Michielsgestel
40,5271XG,Maaskantje,Sint-Michielsgestel
41,5271XE,Maaskantje,Sint-Michielsgestel
42,5271XH,Maaskantje,Sint-Michielsgestel
43,5271XE,Maaskantje,Sint-Michielsgestel
44,5271XH,Maaskantje,Sint-Michielsgestel
45,5271XE,Maaskantje,Sint-Michielsgestel
46,5271XH,Maaskantje,Sint-Michielsgestel
47,5271XE,Maaskantje,Sint-Michielsgestel
48,5271XH,Maaskantje,Sint-Michielsgestel
49,5271XE,Maaskantje,Sint-Michielsgestel
50,5271XH,Maaskantje,Sint-Michielsgestel
51,5271XE,Maaskantje,Sint-Michielsgestel
52,5271XH,Maaskantje,Sint-Michielsgestel
54,5271XH,Maaskantje,Sint-Michielsgestel
56,5271XH,Maaskantje,Sint-Michielsgestel
57,5271XE,Maaskantje,Sint-Michielsgestel
58,5271XH,Maaskantje,Sint-Michielsgestel
59,5271XE,Maaskantje,Sint-Michielsgestel
60,5271XH,Maaskantje,Sint-Michielsgestel
61,5271XE,Maaskantje,Sint-Michielsgestel
63,5271XE,Maaskantje,Sint-Michielsgestel
64,5271XH,Maaskantje,Sint-Michielsgestel
66,5271XH,Maaskantje,Sint-Michielsgestel
68,5271XH,Maaskantje,Sint-Michielsgestel
70,5271XH,Maaskantje,Sint-Michielsgestel
74,5271XH,Maaskantje,Sint-Michielsgestel
76,5271XH,Maaskantje,Sint-Michielsgestel
78,5271XH,Maaskantje,Sint-Michielsgestel
80,5271XH,Maaskantje,Sint-Michielsgestel
1,5275CD,Malders,Den Dungen
